ep_reward_mean,policy_loss,approxkl,clipfrac,ep_len_mean,value_loss,fps,true_reward,n_updates,time_elapsed,total_timesteps,policy_entropy,serial_timesteps,explained_variance
5.02326337608989,-0.0025224066,0.027626764,0.302252,53.31,0.056393657,8242,0.13813445,2678,17859.456752300262,133900000,-4.1726613,1339000,0.9910223307088017
6.412500937509903,-0.005239153,0.022098651,0.273492,61.16,0.047262616,8429,0.13239641,2679,17866.089059591293,133950000,-4.1676574,1339500,0.9926074575632811
4.670072842014852,-0.0050815702,0.026822364,0.30127203,55.13,0.060570482,8175,0.1327037,2680,17872.66205573082,134000000,-4.1587048,1340000,0.990805865265429
5.479172207781521,-0.005645095,0.022984913,0.27435997,55.1,0.040624328,8409,0.13557117,2681,17879.27133822441,134050000,-4.1503453,1340500,0.9934723419137299
4.428422408483748,-0.005633212,0.025664907,0.288244,52.55,0.055887353,8229,0.13225357,2682,17885.82921385765,134100000,-4.1473384,1341000,0.9914882378652692
4.623301797563181,-0.004122181,0.021280682,0.26753396,55.57,0.027716653,8282,0.13230664,2683,17892.2587621212,134150000,-4.146972,1341500,0.9955818876624107
4.7467095133698605,-0.005346552,0.022873115,0.27645802,52.69,0.03931905,8093,0.13969733,2684,17898.799862623215,134200000,-4.1426086,1342000,0.9939833837561309
4.467988036445313,-0.004428484,0.023591977,0.28340796,51.72,0.034953542,8113,0.13170652,2685,17905.537529230118,134250000,-4.1401744,1342500,0.9942510849796236
5.461210235030449,-0.0066897417,0.022739256,0.27283394,59.98,0.05194223,8286,0.13389383,2686,17912.175316810608,134300000,-4.143241,1343000,0.9921708665788174
5.011444765199267,-0.0075448733,0.02152404,0.26324403,54.0,0.0316189,8364,0.13645563,2687,17918.773447752,134350000,-4.151113,1343500,0.9953086897730827
4.227602107800485,-0.0063564572,0.023755386,0.281508,52.98,0.05210247,7928,0.13531491,2688,17925.220895051956,134400000,-4.152685,1344000,0.9918285217136145
5.1836606628749,-0.005150263,0.021694439,0.26621795,55.01,0.033911455,8460,0.13608153,2689,17932.1683242321,134450000,-4.1573315,1344500,0.9946302049793303
5.119668393128887,-0.0047618067,0.025237875,0.29364395,57.94,0.06242251,7880,0.1314346,2690,17938.64946603775,134500000,-4.155288,1345000,0.9900591773912311
3.7651270713568374,-0.0042922813,0.02485001,0.29467204,49.67,0.062852286,8207,0.13366851,2691,17945.5473177433,134550000,-4.1493745,1345500,0.9906129175797105
3.6791508686693852,-0.0031722665,0.027501395,0.31264403,48.54,0.056123085,8293,0.13024755,2692,17952.166805505753,134600000,-4.1453304,1346000,0.9915287867188454
5.028636910566856,-0.007115929,0.023961738,0.28158402,50.58,0.06829724,8048,0.13592324,2693,17958.828461885452,134650000,-4.138641,1346500,0.9898300524801016
4.022181917404486,-0.0064375894,0.02182248,0.26629597,48.3,0.03832318,8145,0.13502169,2694,17965.5527074337,134700000,-4.1278524,1347000,0.9939081338234246
5.232700767361821,-0.008284314,0.02430003,0.27989608,55.98,0.050307088,8670,0.13551559,2695,17971.977157592773,134750000,-4.128644,1347500,0.9925664965994656
4.059805010175878,-0.0063385796,0.019976174,0.24960798,50.58,0.032362424,8392,0.13628817,2696,17978.146681785583,134800000,-4.136737,1348000,0.9948779945261776
4.9613935742151805,-0.0052141733,0.023734981,0.28633797,56.0,0.054158293,8489,0.13410561,2697,17984.674486875534,134850000,-4.132243,1348500,0.9919117745012045
