serial_timesteps,ep_len_mean,value_loss,clipfrac,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,n_updates,true_reward,time_elapsed,approxkl,fps,explained_variance
70000,34.04,0.00037267533,0.07951401,2.1486929976195097,-0.006355226,1.8121343,7000000,140,0.06326247,468.90642976760864,0.006539693,17326,0.9994868420180865
70500,30.66,0.00023270221,0.07829399,2.030826161727309,-0.0063302545,1.7769243,7050000,141,0.06571105,472.35074973106384,0.006456592,16322,0.9997334508225322
71000,33.05,0.000271625,0.073454,2.12807308152318,-0.0063490514,1.7495555,7100000,142,0.06561269,476.06030917167664,0.0061537107,14694,0.9996684562356677
71500,29.3,0.0022707172,0.09226397,1.9449793510884046,-0.004673723,1.7278525,7150000,143,0.06593042,479.97009539604187,0.0074378746,17260,0.9971971015911549
72000,31.82,0.0023304278,0.095963985,2.0360899056494235,-0.006237528,1.7146143,7200000,144,0.064556904,483.32312178611755,0.0075257258,15369,0.9971378361806273
72500,36.46,0.00023791262,0.076946005,2.4599709878861904,-0.0056648273,1.6827615,7250000,145,0.065332055,487.13576912879944,0.0063656773,16136,0.9997286034922581
73000,30.95,0.000195078,0.08169201,2.0577967804670334,-0.0056063766,1.6582727,7300000,146,0.06652148,490.669246673584,0.006582478,17750,0.9997757047240157
73500,33.5,0.00040367994,0.084502004,2.1105856219679118,-0.006610089,1.6391646,7350000,147,0.06648818,494.1225895881653,0.006797578,15452,0.9995199098775629
74000,29.66,0.0014089523,0.09430998,1.8914861930906772,-0.0068678465,1.6241466,7400000,148,0.066808656,497.99308609962463,0.007465021,16890,0.9980212044902146
74500,31.65,0.0014005171,0.085219994,2.0021215241402386,-0.006426589,1.6075737,7450000,149,0.06601827,501.28443336486816,0.006912267,15886,0.9981296636397019
75000,30.75,0.0009309314,0.08449799,2.0491000337153675,-0.0062026787,1.5771796,7500000,150,0.0663781,504.9760091304779,0.006883314,16782,0.9987245331285521
75500,27.58,0.00022844883,0.08050799,1.7610478490591048,-0.0056178635,1.5481089,7550000,151,0.06762048,508.5483920574188,0.006566057,17304,0.9997224984981585
76000,30.59,0.0005444752,0.093683995,2.0047464258223773,-0.006978829,1.5330106,7600000,152,0.068395905,512.0332744121552,0.007320855,17703,0.999269740015734
76500,31.2,0.00019469712,0.08190001,1.9298360747098924,-0.006314107,1.5061623,7650000,153,0.067594476,515.4632213115692,0.006658361,16765,0.999765426851809
77000,28.97,0.0002253563,0.08193199,1.867996199131012,-0.0065936334,1.4787636,7700000,154,0.06626313,518.9472601413727,0.0066297245,19971,0.9997189812129363
77500,32.59,0.00020978526,0.082488015,2.196218391433358,-0.0065725367,1.4490656,7750000,155,0.06667447,521.9819581508636,0.0067552,19114,0.9997640356159536
