fps,policy_loss,ep_reward_mean,total_timesteps,ep_len_mean,time_elapsed,clipfrac,value_loss,n_updates,policy_entropy,explained_variance,approxkl,serial_timesteps,true_reward
8235,-0.0048979335,4.569181761555737,193600000,53.9,25886.389129638672,0.26922402,0.05764854,3872,-3.2682188,0.9910523155704141,0.02295201,1936000,0.15677786
8004,-0.007109501,4.943427355143067,193650000,54.4,25893.016921043396,0.26067606,0.03573587,3873,-3.2658324,0.9939740868285298,0.02113242,1936500,0.15277529
7725,-0.0049522463,5.515799338003417,193700000,60.78,25899.77679514885,0.27456993,0.052530896,3874,-3.2753012,0.9920154055580497,0.023057092,1937000,0.15478621
7805,-0.0052024405,6.357698925681034,193750000,61.12,25906.840590953827,0.26545003,0.035196073,3875,-3.2856042,0.9943578150123358,0.021432128,1937500,0.15691637
7968,-0.005400004,6.043194676524872,193800000,59.04,25913.76926469803,0.26182798,0.042571947,3876,-3.286777,0.993446493986994,0.021450065,1938000,0.15686843
8063,-0.006801569,5.589990436618973,193850000,57.34,25920.3091237545,0.26388204,0.052475113,3877,-3.28963,0.9919222136959434,0.021988772,1938500,0.15475585
8313,-0.005562189,5.441071032945474,193900000,54.22,25926.944231033325,0.255744,0.046714578,3878,-3.2847595,0.9927042317576706,0.020988984,1939000,0.14623886
8233,-0.0068697794,4.370897798287915,193950000,51.34,25933.45151782036,0.27539596,0.05746614,3879,-3.2743793,0.9911281010136008,0.02322971,1939500,0.15290877
8132,-0.0063379346,5.516825631712563,194000000,60.38,25939.894807338715,0.255062,0.050745286,3880,-3.2730901,0.9919931748881936,0.021013318,1940000,0.1527198
7607,-0.0071246345,4.944353276931506,194050000,52.71,25946.526765584946,0.25922802,0.050417546,3881,-3.2799835,0.9921880052424967,0.022567622,1940500,0.15984993
7877,-0.006782579,5.32720913477242,194100000,59.99,25953.71586251259,0.24065404,0.040798582,3882,-3.2889402,0.9936725203879178,0.019103197,1941000,0.15538126
7936,-0.0075784447,5.274873692921974,194150000,57.93,25960.33533000946,0.26257,0.037978098,3883,-3.295975,0.9937485135160387,0.021537602,1941500,0.15302327
7969,-0.0066528236,4.763474435411481,194200000,52.3,25967.117960214615,0.25178802,0.038405117,3884,-3.2930965,0.9939411086961627,0.020249639,1942000,0.15270784
8066,-0.005274669,4.127179677380337,194250000,48.6,25974.018810510635,0.25407004,0.041128416,3885,-3.2855291,0.9936498831957579,0.02049715,1942500,0.1533974
7872,-0.0051571797,5.036858977787197,194300000,51.76,25980.674892663956,0.241868,0.021644153,3886,-3.2859902,0.9962032970506698,0.019129353,1943000,0.15842368
7648,-0.0077483584,5.888898762928911,194350000,60.48,25987.41887331009,0.265566,0.0733691,3887,-3.2831936,0.9887010594829917,0.022132449,1943500,0.1529418
8277,-0.0048993398,6.235295170780883,194400000,62.17,25994.413607120514,0.28141797,0.08046606,3888,-3.2715542,0.987740907818079,0.02433236,1944000,0.15396485
8310,-0.006915473,5.319882224684334,194450000,60.51,26000.950983285904,0.26427996,0.051319756,3889,-3.270166,0.9919169805943966,0.021476693,1944500,0.15027648
