fps,n_updates,value_loss,ep_reward_mean,approxkl,policy_loss,clipfrac,serial_timesteps,time_elapsed,policy_entropy,explained_variance,ep_len_mean,true_reward,total_timesteps
8162,4498,0.041227423,40.50287312923367,0.16201371,0.0005230993,0.36508194,2249000,30028.666524887085,-5.5327625,0.9838123917579651,498.84,0.08001658,224900000
8264,4499,0.22494364,36.749354121000685,0.15808757,-0.0037058962,0.29580396,2249500,30035.3146545887,-5.549988,0.9713415466248989,494.75,0.0680961,224950000
8249,4500,0.113713115,39.44849304281795,0.20112053,0.0024242783,0.43302596,2250000,30041.612926244736,-5.5772133,0.9795097969472408,495.04,0.07397586,225000000
7783,4501,0.07351754,41.15513747769461,0.123187505,-0.00016758998,0.42784387,2250500,30047.959597826004,-5.562713,0.9799835924059153,497.75,0.07947087,225050000
7779,4502,0.07428916,40.82290161344092,0.28540498,0.0030170428,0.37660995,2251000,30054.900091409683,-5.569043,0.9771688282489777,498.88,0.08063113,225100000
7807,4503,0.20266551,40.06798230096661,0.14380208,0.0013437887,0.52499396,2251500,30061.675404310226,-5.5607,0.9639486484229565,495.98,0.07581184,225150000
8071,4504,0.114863425,40.76474160518415,0.15457785,0.0008947059,0.43270195,2252000,30068.581545829773,-5.5309186,0.9660668782889843,497.46,0.07929852,225200000
7905,4505,0.0898132,39.61055724988142,0.10570438,5.7481513e-05,0.46783784,2252500,30075.245391845703,-5.532299,0.9712763708084822,498.31,0.07754179,225250000
7854,4506,0.10049299,38.16968522487586,0.43199444,0.00037612618,0.37071395,2253000,30081.78226041794,-5.5455174,0.9798579439520836,496.4,0.073043756,225300000
7719,4507,0.10095251,39.342611196170054,0.5975548,0.00038711636,0.36645398,2253500,30088.572332382202,-5.573636,0.9731546267867088,496.42,0.07549456,225350000
7901,4508,0.1619967,40.39858431339515,0.31873038,-0.00174673,0.38432,2254000,30095.481807231903,-5.6223826,0.9686439745128155,495.63,0.07622579,225400000
8050,4509,0.18082821,39.13944928915256,0.16944225,-0.00091054244,0.37327594,2254500,30102.376222848892,-5.6398606,0.9689202178269625,494.16,0.07286135,225450000
7767,4510,0.21181636,40.653781397521016,2.2305822,0.006223166,0.391428,2255000,30108.932423114777,-5.667713,0.9731041863560677,492.03,0.07224788,225500000
7835,4511,0.107771166,38.60445169411281,0.23157367,0.004257296,0.56850797,2255500,30115.95768237114,-5.6950407,0.974360479041934,497.1,0.07459964,225550000
7856,4512,0.110673636,40.81941518225963,0.1658464,0.0035765455,0.5515478,2256000,30122.571452617645,-5.6829534,0.9727787151932716,496.09,0.07759752,225600000
7612,4513,0.15438479,39.27835537141047,0.20727192,0.0061687417,0.518142,2256500,30129.47678208351,-5.645534,0.9701297096908092,496.37,0.07495613,225650000
7973,4514,0.17369801,39.04564336433932,0.41621223,-7.9043435e-05,0.45791218,2257000,30136.571405410767,-5.611716,0.9573049992322922,497.14,0.07566571,225700000
7945,4515,0.13574249,40.41239714350743,0.55665594,0.0032519393,0.44406605,2257500,30143.443241596222,-5.642243,0.9745505563914776,494.22,0.07527825,225750000
8073,4516,0.27362764,40.27193277487386,0.2432061,0.00079753203,0.3853461,2258000,30150.21324276924,-5.6699257,0.9638843610882759,493.48,0.07344342,225800000
