explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,fps,total_timesteps,clipfrac,time_elapsed,true_reward,n_updates,value_loss,approxkl,policy_entropy,policy_loss
0.9586309008300304,40500,1.87313396960315,59.24,8232,4050000,0.064803995,551.2362587451935,0.011432081,81,0.1871354,0.00565641,4.0667353,-0.00796995
0.9616358615458012,41000,2.0544454823460545,50.25,7919,4100000,0.05890001,557.8231489658356,0.009869821,82,0.17367682,0.005223368,4.053163,-0.0073613496
0.9637613333761692,41500,1.959178770984654,59.83,7840,4150000,0.06575,564.6317946910858,0.011599375,83,0.16469239,0.0057125813,4.0272465,-0.008577516
0.9585472755134106,42000,1.8251715944739408,53.05,7760,4200000,0.06236599,571.5059545040131,0.011227091,84,0.19001879,0.0054920143,4.006649,-0.007768874
0.9590461328625679,42500,1.7632486056324705,49.73,7682,4250000,0.058474,578.5331013202667,0.013220245,85,0.17737104,0.005287666,3.9962103,-0.0071779876
0.9654825106263161,43000,2.287397611390479,50.96,7767,4300000,0.057364,585.5371344089508,0.009591442,86,0.16151604,0.0052075237,3.980382,-0.0073963813
0.9592397101223469,43500,2.447971684289296,51.91,8069,4350000,0.06355399,592.4933450222015,0.012421841,87,0.18857116,0.0055506737,3.9516613,-0.007894794
0.9636016823351383,44000,2.139159083631639,46.92,8105,4400000,0.05916999,599.3109357357025,0.016706945,88,0.17596073,0.0053087734,3.925994,-0.00775361
0.9634693637490273,44500,1.9463889977163489,53.75,7797,4450000,0.061954,606.0846750736237,0.015603836,89,0.1785945,0.0054296334,3.9130085,-0.0075530703
0.9665034748613834,45000,2.7029432418974464,57.11,7911,4500000,0.07007002,613.0605535507202,0.015346492,90,0.1534991,0.0058760704,3.901816,-0.0084291175
0.9640337340533733,45500,2.3446400167028334,57.48,8128,4550000,0.06517201,619.8885209560394,0.014690298,91,0.15882264,0.0056292024,3.882312,-0.008109681
0.966842520982027,46000,3.3473398097378233,65.34,8152,4600000,0.056859992,626.5303163528442,0.019093394,92,0.17527242,0.0051593776,3.8609192,-0.0072350986
