ep_len_mean,fps,policy_loss,total_timesteps,ep_reward_mean,value_loss,clipfrac,approxkl,time_elapsed,n_updates,serial_timesteps,policy_entropy,explained_variance,true_reward
32.19,8432,0.005046293,13800000,1.345593923330307,1.38929845e-05,0.21213602,0.016927104,1800.9133756160736,276,138000,-2.4269114,0.9998796693034819,0.050369393
33.44,8316,-0.0011943934,13850000,1.4975378841161728,0.00013141449,0.18075399,0.014725848,1807.359671831131,277,138500,-2.4246118,0.9988273525377735,0.050449137
33.72,8418,0.00075590855,13900000,1.4899390158057213,9.905473e-05,0.17433201,0.0134341,1813.8404059410095,278,139000,-2.4050176,0.9991028093500063,0.05043533
32.48,8043,0.0025957406,13950000,1.3732332020998002,0.00028246173,0.15686601,0.011960335,1820.3299067020416,279,139500,-2.402737,0.9996931431232952,0.050383158
32.4,8440,0.0033507978,14000000,1.365520022213459,5.3827986e-05,0.15063,0.0112316515,1826.909336566925,280,140000,-2.4114046,0.9996917095850222,0.050379064
32.12,8392,0.0039318157,14050000,1.3393178075551986,2.581939e-05,0.13101801,0.0097894855,1833.222207069397,281,140500,-2.4312675,0.9998394995054696,0.050355714
32.14,8309,0.004074329,14100000,1.3414741468429565,1.2779852e-05,0.16324602,0.012072078,1839.5697875022888,282,141000,-2.4488332,0.9998915386750014,0.050368756
32.33,8469,0.0030656063,14150000,1.3589285346865654,2.2388846e-05,0.21098605,0.016370665,1846.3505644798279,283,141500,-2.4490993,0.9997833497036481,0.05037432
32.03,8352,0.001710163,14200000,1.330743021965027,3.5858786e-06,0.166264,0.01236722,1852.758139371872,284,142000,-2.4675202,0.9999650856625522,0.050328776
32.17,7930,0.0035913484,14250000,1.3440744477510451,1.1861983e-05,0.212668,0.016885474,1859.171638727188,285,142500,-2.4848533,0.9998919296413078,0.050351664
32.28,8207,0.0027314534,14300000,1.354815579354763,1.8999093e-05,0.195576,0.015189953,1866.218364238739,286,143000,-2.4863622,0.9998298003920354,0.050376583
32.02,8091,0.0004177945,14350000,1.3301406919956207,2.6498947e-06,0.17542398,0.013299047,1872.9853103160858,287,143500,-2.505908,0.9999762649640616,0.050313115
32.13,8341,0.003502574,14400000,1.3410372656583787,9.368006e-06,0.16150801,0.012168064,1879.8448510169983,288,144000,-2.5258195,0.9999148455754039,0.050353397
32.45,8027,0.001170101,14450000,1.3708451905846595,2.9205583e-05,0.18810004,0.013901979,1886.3436834812164,289,144500,-2.5296319,0.9997353801154532,0.05039535
32.09,8314,0.0069974596,14500000,1.3365321761369706,6.863749e-06,0.19719796,0.01635305,1893.133573770523,290,145000,-2.5449739,0.999935936764814,0.05035106
32.18,8394,0.0032383543,14550000,1.3451258870959282,1.2456044e-05,0.18047804,0.013189932,1899.7174561023712,291,145500,-2.5712528,0.9998874669981888,0.050367326
32.21,8038,0.004109843,14600000,1.3479126346111299,1.4473827e-05,0.21576801,0.016916985,1906.348792552948,292,146000,-2.5769062,0.9998693033703603,0.050374918
32.06,8190,0.0042031114,14650000,1.33374671459198,5.052195e-06,0.18423598,0.014460427,1913.027662038803,293,146500,-2.5921562,0.999954692171741,0.050325897
32.16,8042,0.005800932,14700000,1.3430075961351395,1.1500629e-05,0.225492,0.018609628,1919.7701766490936,294,147000,-2.6212623,0.9998979266310926,0.050357837
32.01,8120,0.0006646324,14750000,1.328901448249817,1.9504807e-06,0.17315198,0.014137319,1926.5602593421936,295,147500,-2.657666,0.9999816552299308,0.05031687
32.0,8232,-0.0010016458,14800000,1.328040869832039,1.287903e-06,0.17948599,0.014454902,1933.1518671512604,296,148000,-2.695246,0.9999882969768805,0.050310932
32.02,8245,0.003807454,14850000,1.3299349707365036,2.5456723e-06,0.20483002,0.017527983,1939.8426702022552,297,148500,-2.731095,0.9999772433948237,0.050324112
32.17,8098,0.004888884,14900000,1.3446157690882683,1.2077225e-05,0.231408,0.018822894,1946.7017495632172,298,149000,-2.7580664,0.9998929734429112,0.050382666
32.64,7859,-0.00037950676,14950000,1.388651949763298,4.1242445e-05,0.20745802,0.016303727,1953.7241377830505,299,149500,-2.7547193,0.9996231288532726,0.050416313
32.02,7854,0.0017252536,15000000,1.3300889045000077,2.491945e-06,0.173742,0.013516029,1960.5504806041718,300,150000,-2.764316,0.9999772183018649,0.050347786
32.13,8349,0.005821515,15050000,1.3410931769013406,9.488114e-06,0.23809399,0.01913316,1967.3831114768982,301,150500,-2.8014712,0.999915528940619,0.050372783
32.65,7968,0.0025723905,15100000,1.389911178946495,5.0951072e-05,0.223456,0.018080411,1974.1259512901306,302,151000,-2.811552,0.9996222608315293,0.050418183
