total_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,fps,time_elapsed,clipfrac,policy_entropy,serial_timesteps,ep_len_mean,policy_loss,value_loss,true_reward
4950000,0.0059953616,99,0.9881160035729408,1.6514939852655517,7925,662.602959394455,0.070503995,3.3928409,49500,53.12,-0.008409691,0.008210505,-0.005867179
5000000,0.0059904195,100,0.9862723695114255,1.3958639413578202,7709,669.3335475921631,0.070604004,3.3588617,50000,53.62,-0.008645366,0.0083067585,-0.0065708263
5050000,0.0059104003,101,0.9879322433844209,0.9631797706770885,8028,676.3743546009064,0.06857399,3.3262699,50500,54.02,-0.008816727,0.0074113966,-0.010846688
5100000,0.005700301,102,0.9878829848021269,1.8549776241855216,8117,683.145209312439,0.06635401,3.3027723,51000,58.99,-0.008457595,0.0081229415,-0.0054267957
5150000,0.006105463,103,0.9870559945702553,0.9517737111145107,7934,689.829461812973,0.071033984,3.2710416,51500,56.87,-0.009405221,0.007853462,-0.01133202
5200000,0.005885137,104,0.9859811430796981,1.9133785017294576,7762,696.6788289546967,0.06815,3.2346227,52000,52.18,-0.008686396,0.00884479,-0.00587009
5250000,0.005849643,105,0.986767671070993,1.3278201820972755,8012,703.5680458545685,0.068565995,3.203898,52500,45.21,-0.008667715,0.007926989,-0.007916295
5300000,0.006304222,106,0.9875759985297918,1.0401261275557045,7891,710.2754557132721,0.07633,3.174714,53000,60.51,-0.008785464,0.008540112,-0.005866663
5350000,0.0062204124,107,0.9863499393686652,1.4829463229875546,8025,716.898500919342,0.073624015,3.1459122,53500,52.74,-0.0074788686,0.008459788,-0.0035338693
5400000,0.0056502675,108,0.987963106483221,2.166552805313768,7699,723.637229681015,0.065823995,3.1307497,54000,51.91,-0.008213295,0.007920858,-0.0068109496
5450000,0.0061760177,109,0.9857279919087887,1.3847067817937933,7358,730.4170825481415,0.073634,3.1122537,54500,59.21,-0.009232996,0.008329615,-0.0032958447
5500000,0.0058015226,110,0.987583770416677,1.6251512497340446,7835,737.7696261405945,0.06797399,3.0864215,55000,54.66,-0.008060308,0.0076159453,-0.0072851665
5550000,0.0056100427,111,0.9872729163616896,2.1013471148489042,8078,744.5622313022614,0.06488199,3.0648878,55500,61.68,-0.008080081,0.008768517,-0.0052093775
5600000,0.005899827,112,0.9869124488905072,1.6396306866966188,8015,750.9712686538696,0.070273995,3.0404198,56000,61.16,-0.008924468,0.008854416,-0.008904616
5650000,0.0058975206,113,0.9876390201970935,1.9103166183512803,7651,757.7758145332336,0.06922599,3.0152578,56500,68.13,-0.008565427,0.008552575,-0.005937219
5700000,0.0064065494,114,0.9871085966005921,1.9909731456596638,7579,764.9592339992523,0.076611996,2.981661,57000,60.28,-0.008847261,0.008351216,-0.004456541
5750000,0.0061958567,115,0.9878189554437995,2.1079680474429914,7891,771.9793496131897,0.07460199,2.957068,57500,59.94,-0.009236835,0.008189775,0.00043765982
5800000,0.0061573116,116,0.9882269725203514,1.3845814321554644,8196,778.717244386673,0.074076,2.9381254,58000,56.29,-0.009402053,0.0077544977,-0.007422027
5850000,0.00621189,117,0.9874244760721922,1.297505131172038,7573,785.2561981678009,0.074333996,2.9130852,58500,59.18,-0.009051405,0.008124673,-0.0044215894
5900000,0.006414827,118,0.9880662159994245,1.7989190563013109,7951,792.298840045929,0.076408,2.8827474,59000,62.69,-0.009456021,0.008440673,-0.0035688558
5950000,0.0062178182,119,0.9880744190886617,2.494326260703092,7922,799.1907713413239,0.074877985,2.862646,59500,51.34,-0.008467262,0.00809507,-0.0055384706
6000000,0.0065646474,120,0.9880606550723314,2.298424511847916,7606,806.1490075588226,0.08007001,2.8426495,60000,56.48,-0.009021569,0.00856892,-0.0053707594
6050000,0.0063177133,121,0.9890636196359992,2.061435358590097,7839,813.2099215984344,0.076552,2.8217883,60500,61.66,-0.009517283,0.008212995,-0.005839575
6100000,0.0062591215,122,0.9881853656843305,1.957259132752515,7845,820.1229655742645,0.07593599,2.8055677,61000,66.39,-0.009146739,0.00819794,-0.004127064
6150000,0.0063646506,123,0.9890948589891195,1.469545407808473,8107,827.0548527240753,0.078624,2.7857974,61500,67.12,-0.009231956,0.007976751,-0.003371709
6200000,0.0063392706,124,0.9895539097487926,2.0416742502061243,7825,833.7701373100281,0.07625399,2.7588024,62000,58.1,-0.008335901,0.007817562,-0.00053447095
6250000,0.0062548877,125,0.9882834609597921,1.6051429557433585,8054,840.7440173625946,0.07476801,2.7298572,62500,66.93,-0.008864792,0.008468055,-0.007879515
6300000,0.0063052434,126,0.9892906295135617,1.8367347570906714,8030,847.2107791900635,0.076248,2.7064037,63000,65.22,-0.009004539,0.0077747814,-0.0025866823
6350000,0.006304834,127,0.9899121103808284,2.29905144550401,8010,854.025276184082,0.07630199,2.6849642,63500,65.72,-0.008657924,0.0069654165,-0.0032043036
