n_updates,fps,policy_entropy,true_reward,value_loss,approxkl,total_timesteps,ep_reward_mean,serial_timesteps,explained_variance,policy_loss,time_elapsed,clipfrac,ep_len_mean
2136,7678,-5.1972346,0.10377633,0.08916319,0.024801593,106800000,9.573832686658097,1068000,0.9815274961292744,-0.0037839008,14300.41269826889,0.29029804,111.07
2137,8237,-5.193026,0.10798446,0.11453363,0.026839651,106850000,9.245687419432507,1068500,0.9791378416121006,-0.0029850563,14307.526752233505,0.30202997,99.9
2138,8191,-5.1924524,0.10526538,0.07109168,0.023241546,106900000,10.406197903542925,1069000,0.9855677261948586,-0.0016851778,14314.187579631805,0.27945998,116.6
2139,8274,-5.1991854,0.108548164,0.09048132,0.022000661,106950000,7.582570781887771,1069500,0.9814991038292646,-0.0041657616,14320.911302566528,0.265468,85.63
2140,8120,-5.199735,0.100969434,0.13276286,0.027956182,107000000,8.304569424436922,1070000,0.974918270483613,-0.003715341,14327.57907962799,0.30691996,94.71
2141,8002,-5.2059875,0.10418252,0.12297998,0.02517528,107050000,8.614026837696583,1070500,0.9751742724329233,-0.0036288693,14334.21400976181,0.28907397,97.55
2142,8043,-5.2105923,0.10496627,0.09645684,0.025269685,107100000,8.446349106939088,1071000,0.9796920586377382,-0.002102957,14340.96941280365,0.291182,98.59
2143,8071,-5.214758,0.101522304,0.11158132,0.026048345,107150000,8.370311447187996,1071500,0.9775829408317804,-0.002633198,14347.847090959549,0.29253003,93.83
2144,8380,-5.2109857,0.10417595,0.12140955,0.024299389,107200000,7.778416469917284,1072000,0.9768904913216829,-0.0030794945,14354.579282045364,0.28243598,91.37
2145,7843,-5.206468,0.10355101,0.1121884,0.024946423,107250000,8.658180769220927,1072500,0.9782404936850071,-0.0031350944,14361.036360740662,0.28638196,100.12
2146,8229,-5.2146435,0.10435785,0.09031838,0.024800206,107300000,8.424177500533988,1073000,0.9817194752395153,-0.0034441387,14367.875048875809,0.28697798,99.85
2147,8008,-5.221202,0.10609624,0.0980455,0.027162474,107350000,8.955135721863336,1073500,0.9803941715508699,-0.0025272463,14374.527212381363,0.305744,98.36
2148,8157,-5.2149634,0.103819765,0.1091961,0.025345178,107400000,10.816631703932435,1074000,0.980204263702035,-0.0023545204,14381.44096827507,0.28958404,110.01
