ep_len_mean,serial_timesteps,true_reward,ep_reward_mean,total_timesteps,policy_entropy,policy_loss,n_updates,time_elapsed,clipfrac,approxkl,fps,value_loss,explained_variance
278.25,57500,0.008528382,-0.9616682330967796,5750000,5.803603,-0.0007571339,115,242.5063853263855,0.009037999,0.0014496207,24048,0.9991959,0.8219867497682571
320.44,58000,0.0029135575,-1.9959861532855154,5800000,5.805194,-0.0009679676,116,244.65537571907043,0.0148519995,0.0020583551,23797,1.0754783,0.8389779180288315
278.8,58500,0.011187179,0.04215854827371004,5850000,5.8070154,-0.0008705151,117,246.82723808288574,0.008861999,0.0016556947,23982,0.9683844,0.8384266495704651
279.34,59000,0.016286168,1.5345812891263448,5900000,5.8098474,-0.0009320116,118,249.0101010799408,0.016353998,0.0023124735,23844,0.818612,0.8437871783971786
301.61,59500,0.015752055,2.766554811490778,5950000,5.8112197,-0.0009505361,119,251.18628692626953,0.022502,0.0025158993,23906,0.82800436,0.8459902405738831
263.59,60000,0.021549027,4.511499463075024,6000000,5.81345,-0.00088467204,120,253.35574221611023,0.015263999,0.0022044748,23980,0.6961258,0.8601840287446976
300.62,60500,0.012271434,1.442220725045572,6050000,5.815558,-0.0008727599,121,255.5100016593933,0.009094,0.0017560091,23767,0.84052336,0.870691180229187
307.05,61000,0.016406707,3.4340884169247876,6100000,5.81807,-0.0007142711,122,257.6876630783081,0.018701999,0.002417138,23880,0.75557506,0.8775494918227196
333.05,61500,0.008550999,0.4789769896445216,6150000,5.8211803,-0.00061168906,123,259.86285948753357,0.029294003,0.003018942,23480,0.85090923,0.8882826045155525
276.8,62000,0.008829881,2.3492434077905546,6200000,5.824041,-0.0006526614,124,262.0857560634613,0.010972001,0.0018199419,23638,0.869867,0.8905767276883125
324.97,62500,0.023430059,4.485454977283126,6250000,5.8258224,-0.0005554996,125,264.27483010292053,0.011116001,0.0017807411,23903,0.632599,0.8941340819001198
353.22,63000,0.025147378,6.249285999209783,6300000,5.8276987,-0.00044638664,126,266.4381992816925,0.017734,0.002503943,23850,0.5268723,0.9030804485082626
366.85,63500,0.026317218,6.4554789817145455,6350000,5.82883,-0.0015842151,127,268.6022570133209,0.017778,0.002230535,23793,0.51623917,0.9087579697370529
343.8,64000,0.025759052,6.0012773281900005,6400000,5.828906,-0.0008385147,128,270.7713420391083,0.012572,0.0019314351,23820,0.5433282,0.9122536182403564
340.51,64500,0.034200218,9.11367743987852,6450000,5.8286505,-0.0009452885,129,272.9348967075348,0.016384,0.002220647,23150,0.42749923,0.9071694314479828
347.38,65000,0.04102014,11.97675187851236,6500000,5.8279505,-0.0014090552,130,275.1666352748871,0.018004,0.0021561382,23928,0.3902706,0.8995455503463745
