n_updates,explained_variance,policy_entropy,total_timesteps,serial_timesteps,ep_len_mean,policy_loss,value_loss,fps,true_reward,clipfrac,ep_reward_mean,time_elapsed,approxkl
2248,0.9902939330786467,-6.825344,112400000,1124000,9.22,0.004434266,0.0065379636,8043,0.09916792,0.27660197,0.406362448069558,14824.214148044586,0.024562476
2249,0.9939887700602412,-6.8298736,112450000,1124500,8.63,0.0034845872,0.004073847,8117,0.09928635,0.24401802,0.31730605218035635,14831.095283031464,0.0199982
2250,0.9933073702268302,-6.834652,112500000,1125000,9.22,0.003811765,0.004453667,8254,0.09915024,0.24274199,0.34233437167597003,14837.729048967361,0.019801639
2251,0.9923492143861949,-6.8385377,112550000,1125500,8.45,0.0045036557,0.004755863,8213,0.09923915,0.27042204,0.3283124484057771,14844.29556965828,0.023028461
2252,0.9913639472797513,-6.8369246,112600000,1126000,10.48,0.003588247,0.0058392305,8179,0.099180505,0.26145208,0.4994966084882617,14850.84890961647,0.021072466
2253,0.9928297745063901,-6.8316717,112650000,1126500,7.54,0.0031563642,0.004691182,8287,0.09925165,0.22904003,0.1752748542674817,14857.465942144394,0.01831357
2254,0.9895629258826375,-6.825513,112700000,1127000,10.05,0.004500799,0.0069994195,8147,0.09929104,0.27139202,0.5073739994794596,14863.973948955536,0.023589823
2255,0.9907018821686506,-6.8325987,112750000,1127500,8.92,0.0035550513,0.0062897354,8077,0.09923953,0.25096595,0.35536042456369615,14870.685889959335,0.022109924
2256,0.9905770029872656,-6.8365498,112800000,1128000,8.66,0.0026369903,0.006163846,7978,0.09931315,0.25694,0.3833132335476694,14877.438774585724,0.021927042
2257,0.9932590038515627,-6.828182,112850000,1128500,10.02,0.0031339398,0.0045784656,8252,0.09918659,0.23787001,0.4158127878405503,14884.193230628967,0.019454874
2258,0.9934459095820785,-6.8123794,112900000,1129000,7.47,0.0034139184,0.0042202277,8254,0.09923206,0.25178003,0.18248611961753342,14890.851357221603,0.019899005
2259,0.9925051596947014,-6.8015175,112950000,1129500,7.81,0.0034055612,0.004877103,8189,0.0991666,0.24568994,0.21980802791251336,14897.482541322708,0.018809628
2260,0.9908916037529707,-6.809453,113000000,1130000,7.05,0.0033713698,0.0056723547,8212,0.09921794,0.23119806,0.17443228673102568,14904.18636250496,0.018516267
2261,0.9933819104917347,-6.810878,113050000,1130500,7.37,0.0031352,0.0044369437,8212,0.09942381,0.25859797,0.22206538711907342,14910.589635133743,0.023102945
2262,0.9926668489351869,-6.806963,113100000,1131000,9.31,0.003468825,0.0048685004,8226,0.099204294,0.263014,0.4063393654601532,14917.234223604202,0.02388038
2263,0.9897388722747564,-6.8210406,113150000,1131500,10.08,0.0037582966,0.006655344,8023,0.09933325,0.269694,0.5340991183367442,14923.800073385239,0.027286123
2264,0.9934038165956736,-6.8235044,113200000,1132000,7.74,0.0029980256,0.0043694465,8047,0.099236034,0.23331001,0.23561054052406688,14930.634206533432,0.019503994
2265,0.9923509890213609,-6.8208594,113250000,1132500,9.51,0.002708583,0.0051098545,8404,0.09932438,0.252792,0.4158696806369699,14937.479190826416,0.020694792
2266,0.9915762525051832,-6.8247857,113300000,1133000,8.75,0.0032844103,0.0056183483,8052,0.09928964,0.26844397,0.3825440976358368,14944.021272182465,0.024159499
2267,0.9910229248926044,-6.8323565,113350000,1133500,9.89,0.00502329,0.0058801174,8201,0.09926731,0.275488,0.5052038317424012,14950.660245418549,0.026309157
2268,0.9915352826938033,-6.846491,113400000,1134000,7.89,0.0017506578,0.0056347167,8245,0.09922387,0.21935199,0.26419688315625534,14957.38398885727,0.016757008
2269,0.9926306726410985,-6.855514,113450000,1134500,6.84,0.0034438213,0.0049755354,8326,0.099276796,0.256118,0.17253031201922567,14964.041052818298,0.021627817
2270,0.9921486685052514,-6.8433747,113500000,1135000,6.9,0.004096094,0.0050335466,8656,0.09916937,0.2788659,0.16723002940881998,14970.671489953995,0.02508773
2271,0.9924124544486403,-6.839451,113550000,1135500,9.56,0.00205736,0.005060127,8486,0.09917444,0.203312,0.48293595322174954,14976.926176786423,0.015897902
2272,0.9914933927357197,-6.8385067,113600000,1136000,8.95,0.004225604,0.0056460206,8041,0.0991921,0.24532801,0.42393358009081566,14983.310483694077,0.021548277
2273,0.991802872158587,-6.837322,113650000,1136500,8.29,0.0044179084,0.006001024,8138,0.099175006,0.28441998,0.35722523280448515,14990.07517695427,0.02387172
2274,0.9915500357747078,-6.8453197,113700000,1137000,6.81,0.0028823242,0.005691359,8002,0.09921229,0.26184803,0.1754844334325753,14996.79855132103,0.023223478
2275,0.9924023947678506,-6.8441815,113750000,1137500,7.77,0.0042824484,0.005147947,8089,0.09938931,0.25219202,0.32204432976519454,15003.665110826492,0.022737613
2276,0.9917772440239787,-6.8289747,113800000,1138000,7.94,0.0036659979,0.005646363,8195,0.09929675,0.2371,0.27912762023857796,15010.37465596199,0.01908633
2277,0.9909725319594145,-6.82414,113850000,1138500,8.25,0.00461545,0.0060322974,8270,0.09922276,0.28795397,0.35708671236847295,15016.945000171661,0.025697296
2278,0.9916612105444074,-6.8241715,113900000,1139000,7.68,0.0036792695,0.0057175024,8607,0.09917161,0.28116593,0.29756007111020155,15023.550956010818,0.025608575
2279,0.9919626507908106,-6.8324633,113950000,1139500,8.62,0.004016167,0.0052260067,8321,0.09925931,0.23873204,0.36178095337672855,15029.863291978836,0.019945646
2280,0.992486487608403,-6.824315,114000000,1140000,7.38,0.0044758227,0.0049999403,7972,0.09928534,0.26459,0.16160423641471425,15036.225549697876,0.021416511
2281,0.9922721027396619,-6.8259826,114050000,1140500,7.84,0.0040788604,0.005242979,8127,0.09927717,0.270734,0.2714212275476893,15042.816184282303,0.023237668
