serial_timesteps,approxkl,total_timesteps,time_elapsed,ep_len_mean,n_updates,ep_reward_mean,value_loss,explained_variance,policy_loss,fps,clipfrac,policy_entropy,true_reward
54000,0.0061383042,5400000,354.5974850654602,498.79,108,37.47893056323274,0.1688826,0.9391834251582623,-0.005029693,17662,0.072282,3.3332376,0.074065775
54500,0.009209163,5450000,358.04724192619324,496.98,109,38.49503871250581,0.1867921,0.9398381784558296,-0.0048133032,16869,0.12711799,3.2923465,0.074464
55000,0.006481554,5500000,361.49741315841675,499.53,110,38.05734224445794,0.14795747,0.9278832003474236,-0.0051085125,18189,0.077970006,3.2549713,0.075739585
55500,0.00564639,5550000,364.80571150779724,500.0,111,39.09553188809412,0.09705243,0.8989995270967484,-0.004218668,20222,0.062358,3.204399,0.07819107
56000,0.005257694,5600000,367.7482075691223,497.61,112,38.70584364480163,0.14275752,0.9420680850744247,-0.004570739,16388,0.056710005,3.1647437,0.07540655
56500,0.006663919,5650000,371.4013202190399,499.25,113,39.73604571279569,0.08293904,0.9448270946741104,-0.0044873804,18120,0.08098599,3.1262085,0.07895315
57000,0.0056733433,5700000,374.54623675346375,496.45,114,40.36896307899602,0.09301299,0.9637130312621593,-0.0042186035,15977,0.062830016,3.0840282,0.07802568
57500,0.006161638,5750000,378.1773076057434,497.9,115,39.27594229170152,0.1151372,0.9561664797365665,-0.0042146742,15530,0.07278201,3.0432336,0.07648132
58000,0.009588776,5800000,381.8724491596222,498.91,116,38.359807593466705,0.17239423,0.930716760456562,-0.0047713863,15988,0.13393001,3.0086188,0.075575344
58500,0.0056753634,5850000,385.56468415260315,499.3,117,39.692985573674086,0.09163081,0.9370488077402115,-0.0050453474,18558,0.062814005,2.9618597,0.078846164
59000,0.008380955,5900000,388.6517758369446,498.29,118,37.58646802116702,0.13876618,0.9591798298060894,-0.0043863445,16244,0.11325199,2.9256868,0.073548794
59500,0.0058543193,5950000,392.09321665763855,500.0,119,40.36323673951944,0.05016185,0.9480289593338966,-0.005455249,19650,0.065578006,2.8898304,0.08072648
60000,0.0068532084,6000000,395.085750579834,500.0,120,41.45447606623335,0.036975116,0.9522300399839878,-0.005173396,18244,0.08386002,2.8403776,0.08290894
60500,0.0062622274,6050000,398.41042494773865,498.94,121,40.18963728888979,0.047250878,0.9679187647998333,-0.0054889377,19770,0.073893994,2.8054643,0.079363726
61000,0.0069326777,6100000,401.5166642665863,500.0,122,41.03827268294881,0.037595503,0.9530728906393051,-0.0054683024,16421,0.084489994,2.759384,0.08207655
61500,0.012460278,6150000,405.0816571712494,500.0,123,40.516826716688826,0.11738558,0.8953383564949036,-0.004709771,16701,0.17234401,2.7189078,0.081033655
62000,0.0058852793,6200000,408.6733601093292,499.4,124,40.62455035692112,0.0663162,0.9486777596175671,-0.004212412,16452,0.065432,2.6898758,0.080757275
62500,0.0063197766,6250000,412.2880129814148,498.18,125,39.900952022729626,0.086030155,0.965298805385828,-0.005450698,19895,0.074533984,2.6567504,0.078373544
63000,0.0065207295,6300000,415.2577769756317,500.0,126,40.22036138028139,0.05700547,0.949955128133297,-0.0045802873,16847,0.080934,2.6325314,0.08044073
63500,0.010691735,6350000,418.76447439193726,498.8,127,40.30260736288183,0.109657995,0.9344144612550735,-0.005405503,16650,0.14919001,2.6049476,0.079593614
64000,0.006598985,6400000,422.2537965774536,499.36,128,40.38665495084712,0.05524959,0.9673058465123177,-0.005179596,20876,0.07968399,2.5717955,0.080322176
64500,0.0111660175,6450000,425.0531747341156,498.71,129,42.161030434166186,0.08751926,0.9259643107652664,-0.0043525645,18131,0.15795799,2.547574,0.08332876
65000,0.0074062427,6500000,428.0783383846283,499.41,130,41.27125466156025,0.03897548,0.9637367352843285,-0.0057821465,19742,0.08991401,2.5060437,0.081999436
65500,0.008260465,6550000,431.02292227745056,499.44,131,41.320791984847034,0.06435165,0.9383269920945168,-0.004675662,19744,0.111017965,2.458029,0.08220131
66000,0.006015899,6600000,434.05680298805237,499.43,132,40.97018671545346,0.058579717,0.9454994425177574,-0.0045154793,20843,0.069626,2.4189935,0.08151875
66500,0.010604634,6650000,436.87974071502686,498.36,133,40.804541395757276,0.083426274,0.9556138925254345,-0.004678203,17780,0.15271202,2.3871186,0.080181725
67000,0.005534208,6700000,439.9464385509491,496.13,134,40.31997932848603,1.6496919,0.731586754322052,-0.007439186,17061,0.046432003,2.375608,0.07353054
67500,0.0078607295,6750000,443.5048861503601,499.43,135,41.82418763674643,0.045033347,0.9487524181604385,-0.0047868355,15673,0.10388204,2.362173,0.08319753
68000,0.007776346,6800000,447.10259532928467,498.77,136,41.3161732949711,0.052916117,0.9619191214442253,-0.005229309,17994,0.100292005,2.3265212,0.08167944
68500,0.0060381712,6850000,450.4803924560547,499.39,137,41.170888306912836,0.046334676,0.9586962163448334,-0.0046093673,16097,0.07160599,2.2962942,0.08183336
69000,0.010960605,6900000,454.20949482917786,499.41,138,42.02347551846624,0.057183705,0.9477294199168682,-0.0052704476,18105,0.15341201,2.285545,0.08356518
69500,0.0060690264,6950000,457.3425462245941,499.55,139,40.814082096595975,0.05625783,0.9569172151386738,-0.0043768734,18122,0.07044801,2.2599442,0.081179485
70000,0.007018213,7000000,460.7185027599335,498.87,140,41.63695002228424,0.05832924,0.9507519118487835,-0.004699005,17003,0.08692602,2.2261825,0.08232102
70500,0.006744526,7050000,464.2533667087555,498.71,141,40.80736845736923,0.111529395,0.941936869174242,-0.005361961,16273,0.08102999,2.2054853,0.080484256
