n_updates,true_reward,serial_timesteps,explained_variance,time_elapsed,ep_reward_mean,fps,policy_entropy,approxkl,value_loss,policy_loss,ep_len_mean,total_timesteps,clipfrac
994,0.13104261,497000,0.876394085586071,6756.410224676132,1.9547235632681987,7985,-6.6118274,0.025864678,2.554294,-7.0418806e-05,47.13,49700000,0.29825997
995,0.12176041,497500,0.846260741353035,6762.907889127731,1.4590751260792603,7900,-6.605752,0.0277611,3.4359143,-9.203799e-05,40.78,49750000,0.311968
996,0.11232153,498000,0.907591387629509,6769.731268644333,2.8291504842790527,8075,-6.5999694,0.02554901,2.0803218,-0.0010315088,47.78,49800000,0.29948807
997,0.13036975,498500,0.8807019591331482,6776.188491106033,1.8544547560965292,7787,-6.5906177,0.026290748,2.5019877,0.0005001978,47.38,49850000,0.30593604
998,0.12693246,499000,0.8377324491739273,6783.16402387619,2.476474012484541,7983,-6.588521,0.02821039,3.6120996,0.0018159373,45.42,49900000,0.32006595
999,0.122308575,499500,0.8599654585123062,6789.957524776459,2.4122452962578245,8143,-6.5780888,0.027157577,3.0095005,-2.5347343e-05,45.55,49950000,0.31147406
1000,0.116194695,500000,0.8679625540971756,6796.685868740082,2.2378109162640976,8106,-6.5653157,0.027965361,2.8034003,0.0015606679,44.2,50000000,0.31874
1001,0.13359575,500500,0.867264062166214,6803.255142450333,2.2388164938601403,8165,-6.559619,0.026873017,2.6712756,5.389514e-05,45.68,50050000,0.30821002
1002,0.12759028,501000,0.8515191525220871,6809.932828426361,1.8775393440159678,7867,-6.5623217,0.027751608,3.2026095,0.0013643333,51.69,50100000,0.31404397
1003,0.11485075,501500,0.866271510720253,6816.852704524994,1.6524787694431142,7661,-6.5587854,0.029729733,2.9855845,0.0030752812,52.51,50150000,0.33098996
1004,0.105780296,502000,0.8889380916953087,6823.915962696075,2.218787127454998,7912,-6.5544763,0.024396652,2.437672,-0.0024449145,51.87,50200000,0.29060596
1005,0.11948536,502500,0.8599648922681808,6830.784937620163,1.5247882051116903,8226,-6.5535626,0.027963525,2.9534712,-0.0008221338,46.79,50250000,0.31268194
1006,0.124650106,503000,0.8790787160396576,6837.355865240097,2.426041663112555,8063,-6.551766,0.026580648,2.5968494,-0.0010308691,48.46,50300000,0.30991396
1007,0.1256003,503500,0.8660620450973511,6844.146100282669,2.177409935893447,8152,-6.550078,0.027116511,2.9840913,0.00013625923,50.4,50350000,0.31019202
1008,0.124671444,504000,0.8794137239456177,6850.751626729965,2.1545016169754674,7679,-6.544966,0.022966923,2.603198,-0.0021737476,50.92,50400000,0.280182
1009,0.12248464,504500,0.8720138072967529,6857.679615736008,2.715613424908661,7605,-6.533246,0.028230958,2.7763624,0.00057807215,48.91,50450000,0.317446
1010,0.12144954,505000,0.8681085109710693,6864.782689809799,1.923606550504628,8152,-6.528563,0.025386877,2.835325,-0.00025838977,43.62,50500000,0.29877195
1011,0.12504059,505500,0.8747829645872116,6871.262228488922,1.8695515145726314,8061,-6.531187,0.027010968,2.7555203,0.0006079978,47.01,50550000,0.30551797
1012,0.11753709,506000,0.8679051995277405,6877.934688091278,1.4415577875070449,8118,-6.5387816,0.027270876,2.8014421,0.00013493303,42.59,50600000,0.31075597
1013,0.12164637,506500,0.8528802841901779,6884.711011648178,2.0774713725110634,8126,-6.540401,0.025066417,3.1411383,-0.0007905108,52.79,50650000,0.29484805
1014,0.12034634,507000,0.8742839395999908,6891.266075134277,1.5879831125780766,7990,-6.542436,0.02820756,2.6949527,0.0014348604,44.25,50700000,0.31494
1015,0.1197303,507500,0.8648626804351807,6898.026583909988,2.6319325361750088,7882,-6.542152,0.029665437,2.8434234,0.0008044006,55.04,50750000,0.32776394
1016,0.11484287,508000,0.8554783910512924,6905.002244949341,1.7535932309692726,8103,-6.537114,0.030986471,3.045469,0.0024075366,46.38,50800000,0.3389541
1017,0.12572484,508500,0.8799568936228752,6911.516592741013,1.6763250312698075,7732,-6.5393786,0.028114932,2.67842,-0.00018724002,43.96,50850000,0.32017204
1018,0.12418771,509000,0.8815952092409134,6918.4819169044495,1.6677948610330349,8188,-6.5478234,0.024649518,2.5748138,0.00041673702,50.78,50900000,0.29464194
1019,0.12565684,509500,0.8580008149147034,6925.075759649277,2.0115855193143215,7910,-6.5558057,0.027282862,3.1831598,0.00078550354,43.99,50950000,0.31275
1020,0.121021084,510000,0.8830548524856567,6931.99414730072,2.7730187839576685,7918,-6.5614557,0.029861536,2.4274416,0.0012709688,47.15,51000000,0.32803595
1021,0.1347569,510500,0.8478513807058334,6938.876180887222,2.2602721016661964,7804,-6.565477,0.0278478,3.2875946,0.00081374263,50.55,51050000,0.31446597
1022,0.122365676,511000,0.8447986096143723,6945.841281175613,2.233607305762998,8004,-6.5669208,0.02957206,3.296449,0.0007850808,46.22,51100000,0.32697988
1023,0.119700655,511500,0.8577807396650314,6952.6753215789795,1.312129806367011,7679,-6.5691423,0.026811551,2.9952927,-0.0013077536,46.07,51150000,0.30802798
1024,0.12525684,512000,0.8841078504920006,6959.562781333923,1.7735617997812005,7814,-6.568961,0.026387567,2.3949425,0.00066797785,45.39,51200000,0.30408996
1025,0.12595578,512500,0.8752502575516701,6966.524903297424,1.6143528605356188,8010,-6.5600195,0.0263724,2.8562708,0.0012290437,49.96,51250000,0.30414
1026,0.13167228,513000,0.8585622608661652,6973.010332584381,2.570273803253094,7743,-6.5581875,0.028286185,3.0508802,0.0011822063,53.35,51300000,0.31886798
1027,0.12655783,513500,0.8564573228359222,6980.015911817551,1.6317671782519028,7613,-6.558764,0.026555717,3.1702955,-0.0002486617,45.9,51350000,0.30289403
1028,0.11592628,514000,0.8687271028757095,6987.151615858078,2.2169830387995173,8241,-6.5561,0.028943365,2.8255267,-0.00017445264,44.27,51400000,0.32125393
