fps,serial_timesteps,explained_variance,time_elapsed,policy_loss,ep_len_mean,total_timesteps,n_updates,clipfrac,approxkl,true_reward,policy_entropy,ep_reward_mean,value_loss
8087,259000,0.9488003291189671,3464.9482476711273,-0.0044678925,56.38,25900000,518,0.20654197,0.015524776,0.13783164,-2.7574613,4.567728796680894,0.33618745
8199,259500,0.9573122709989548,3471.735797405243,-0.0037067246,58.52,25950000,519,0.21571799,0.016111065,0.13587508,-2.7676327,4.575022009807726,0.2859212
7981,260000,0.9291661903262138,3478.340143442154,-0.003890608,55.49,26000000,520,0.22394396,0.017476749,0.13797864,-2.7799256,3.6706826559003094,0.50824845
8104,260500,0.9398446828126907,3485.10497879982,-0.0036077783,58.17,26050000,521,0.22721596,0.017687863,0.13601501,-2.7850313,3.9525377777450195,0.43037423
7916,261000,0.9432411566376686,3491.6685914993286,-0.0026320114,50.96,26100000,522,0.21888798,0.016820008,0.14428052,-2.7926474,4.08580611374171,0.39531767
8274,261500,0.8762261345982552,3498.304224252701,-0.0017489339,49.33,26150000,523,0.24904396,0.01971554,0.14267488,-2.8085842,3.8663240629789652,0.9261677
7983,262000,0.9641463719308376,3504.8696146011353,-0.003991714,56.42,26200000,524,0.21351601,0.01621209,0.14160289,-2.8213396,4.632129513455584,0.22591364
8353,262500,0.9504083171486855,3511.5415649414062,-0.0034658874,60.86,26250000,525,0.21451803,0.016197106,0.14017431,-2.8244398,4.798158752755262,0.35247985
8196,263000,0.9481474906206131,3517.871296644211,-0.004014514,64.57,26300000,526,0.21842805,0.016781975,0.13654104,-2.8368134,5.033594784533634,0.35286132
8115,263500,0.9515126757323742,3524.5691735744476,-0.00514691,61.35,26350000,527,0.21677002,0.016332224,0.14060329,-2.8449328,5.555394897531369,0.32798085
7922,264000,0.9328640699386597,3531.2565619945526,-0.0034668061,59.74,26400000,528,0.20707397,0.015535844,0.1348947,-2.8421082,4.260131933326902,0.4855821
8083,264500,0.9255319759249687,3538.141592502594,-0.0033003422,58.66,26450000,529,0.21781401,0.016864032,0.14102758,-2.8490524,4.7628975642238585,0.5408666
8132,265000,0.9557626247406006,3544.8944725990295,-0.0038496694,63.49,26500000,530,0.20873798,0.01569799,0.1375715,-2.8571594,4.731763102344558,0.30245867
8241,265500,0.9658351168036461,3551.5775887966156,-0.005529121,55.03,26550000,531,0.20676601,0.015610421,0.13893496,-2.8629503,4.516624484392451,0.22788362
8240,266000,0.8705635815858841,3558.0427758693695,-0.0011991729,54.08,26600000,532,0.24126211,0.018572196,0.14060697,-2.882458,4.523019683428792,1.0035926
7958,266500,0.9619003646075726,3564.6923820972443,-0.0052489196,55.45,26650000,533,0.20230001,0.015100633,0.13701211,-2.9050732,4.527973987739242,0.26595202
7799,267000,0.9388229176402092,3571.447449684143,-0.0030031474,56.98,26700000,534,0.23326796,0.018200118,0.1403298,-2.9105868,4.222262216991294,0.45677352
8038,267500,0.9445151388645172,3578.312385082245,-0.0030073873,53.81,26750000,535,0.212792,0.016244272,0.13984284,-2.905714,4.038733932226823,0.414225
8071,268000,0.9387755282223225,3585.0814418792725,-0.0029385004,51.05,26800000,536,0.21782406,0.016595017,0.14446545,-2.910249,3.7464938536882983,0.43927285
8222,268500,0.953495554625988,3591.7576854228973,-0.004484672,66.46,26850000,537,0.22426201,0.01728586,0.13712029,-2.9342904,5.806628520061058,0.35156333
8211,269000,0.9522611945867538,3598.2733347415924,-0.0033534586,54.3,26900000,538,0.22373801,0.016837819,0.1493206,-2.9444883,4.613721741838308,0.34028083
8220,269500,0.9678638614714146,3604.783515930176,-0.0057056355,54.18,26950000,539,0.210932,0.016081126,0.14137968,-2.958473,4.021886622407619,0.22738744
