true_reward,explained_variance,time_elapsed,policy_loss,value_loss,policy_entropy,n_updates,clipfrac,ep_reward_mean,fps,ep_len_mean,total_timesteps,approxkl,serial_timesteps
-0.475944,0.10516136884689331,563.1511261463165,-0.00023396744,144.32639,5.305489,126,3.6e-05,-35.05105942320368,11895,80.18,6300000,0.00012134863,63000
-0.4458606,0.11407005786895752,567.4182665348053,-0.00021151904,116.147865,5.305451,127,1e-05,-24.23591199804079,10541,81.98,6350000,9.671315e-05,63500
-0.40514812,0.14464032649993896,572.219420671463,-0.00028926,78.64972,5.305823,128,2.1999998e-05,-11.323776226559207,11015,79.78,6400000,7.825388e-05,64000
-0.37551868,0.17066282033920288,576.8121209144592,-0.0003483502,49.382637,5.3064384,129,5.6e-05,-16.45595180403401,11636,70.91,6450000,0.00012945474,64500
-0.41700956,0.16730713844299316,581.165139913559,8.983833e-05,75.73226,5.3064833,130,0.0,-26.99331003872123,11734,80.88,6500000,7.859333e-05,65000
-0.5167651,0.14214599132537842,585.4798090457916,-0.00013194009,151.528,5.3060927,131,0.0,-33.41770111831531,10841,90.65,6550000,5.527326e-05,65500
-0.37566367,0.16347622871398926,590.1544454097748,-0.0002067436,59.920845,5.305994,132,0.0,-18.333427162611954,11353,68.11,6600000,3.9454393e-05,66000
-0.48231888,0.1631799340248108,594.6141364574432,-0.00012505708,112.553024,5.3053465,133,2e-06,-30.73497228400333,11864,80.71,6650000,6.4548905e-05,66500
-0.4257253,0.17478197813034058,598.8904738426208,-0.00013156424,92.60719,5.304972,134,0.0,-21.815551749535697,11917,83.08,6700000,2.2811262e-05,67000
-0.41654548,0.16414415836334229,603.1393511295319,-0.0001455207,99.962364,5.305193,135,0.0,-19.10262243198169,11243,84.19,6750000,5.2823096e-05,67500
-0.4040845,0.17441731691360474,607.6415474414825,-0.00021678602,85.788734,5.305144,136,4e-06,-13.964586626646105,10888,72.36,6800000,6.277897e-05,68000
-0.43418613,0.1575823426246643,612.2868444919586,-0.0003111801,126.26674,5.304599,137,4e-06,-17.65378228328582,11657,67.15,6850000,0.00013361039,68500
-0.45143136,0.18362927436828613,616.6314573287964,-0.00024736417,111.322205,5.304347,138,0.0,-17.900075940628508,12219,73.6,6900000,0.00010376748,69000
-0.45999828,0.17112308740615845,620.7778375148773,-0.00020074118,135.32126,5.30453,139,4e-06,-22.367855003781028,12606,80.8,6950000,7.758239e-05,69500
-0.403814,0.22404348850250244,624.8003416061401,-0.0001474782,77.146835,5.3048162,140,0.0,-24.632821684209485,11526,77.96,7000000,3.8090897e-05,70000
-0.37374148,0.2396286129951477,629.1930005550385,-0.00027952646,63.608562,5.3055735,141,2e-06,-23.885918866511393,11545,86.15,7050000,7.981167e-05,70500
-0.44647902,0.1995064616203308,633.5834658145905,-0.0002772297,128.28052,5.306273,142,0.0,-16.64674306462967,12545,80.34,7100000,0.00012094468,71000
-0.49897853,0.15725290775299072,637.6292157173157,-5.773782e-05,205.66995,5.3064575,143,0.0,-50.86719086932215,11599,95.45,7150000,6.757663e-05,71500
-0.45630473,0.1986437439918518,641.9919774532318,-0.00021265514,141.71675,5.306485,144,0.0,-57.785004512284175,11810,98.75,7200000,3.423706e-05,72000
-0.3553913,0.2696819305419922,646.2815532684326,-0.000325043,55.99185,5.306727,145,8e-06,-16.354563349405343,11151,78.55,7250000,6.6931825e-05,72500
-0.36610568,0.2438299059867859,650.8353562355042,-0.00014332359,70.136185,5.30731,146,0.0,-18.813239780283094,11168,70.15,7300000,6.706618e-05,73000
-0.43052888,0.2221331000328064,655.3714962005615,-0.00030518218,124.489296,5.308303,147,5.9999998e-06,-16.13634981391519,10369,66.03,7350000,0.00010321567,73500
-0.4127153,0.24189776182174683,660.2500290870667,-0.00027825305,103.50913,5.309074,148,4e-06,-18.398091330736605,12109,70.97,7400000,8.363258e-05,74000
-0.38022003,0.2742413878440857,664.438470363617,-0.0003981202,71.33995,5.3089395,149,5.5999997e-05,-22.501593969002716,10540,77.07,7450000,0.00012772794,74500
-0.37451747,0.3473198413848877,669.2598178386688,-0.00015931188,55.84746,5.308097,150,4e-06,-28.934137281573484,11155,96.14,7500000,7.019456e-05,75000
-0.36275676,0.3183059096336365,673.7972571849823,-0.0003222304,58.652092,5.3074923,151,0.0,-21.781770746273686,11091,79.42,7550000,0.00011438399,75500
-0.40151098,0.2689110040664673,678.3605766296387,-0.000320767,101.06059,5.3075566,152,4e-06,-26.044975688205724,10968,86.62,7600000,0.00010472608,76000
-0.4219565,0.2543935179710388,682.9905247688293,-9.280729e-05,125.439514,5.3077555,153,0.0,-49.71290749697377,12153,102.37,7650000,9.465772e-05,76500
-0.33464077,0.3354647159576416,687.1660416126251,-0.0005121705,53.469765,5.3081913,154,1e-05,-18.423584988118897,10406,87.66,7700000,0.00010625263,77000
-0.41263965,0.2819403409957886,692.0336887836456,5.5492827e-05,107.82711,5.3090744,155,2.6e-05,-22.843569765505478,10695,88.98,7750000,9.863181e-05,77500
-0.35111624,0.30440521240234375,696.7614324092865,-0.00040544165,61.665997,5.3096666,156,2e-06,-21.919827372927944,10926,84.61,7800000,5.079742e-05,78000
-0.4303414,0.30015063285827637,701.3914263248444,4.1842024e-05,112.822716,5.3098288,157,1e-05,-33.19618420705829,11046,94.2,7850000,0.000100461395,78500
-0.38757148,0.2582666277885437,705.9746558666229,-0.0002052846,108.180885,5.309658,158,0.0,-11.45004633452223,12484,76.93,7900000,4.5191056e-05,79000
-0.40045598,0.3668707609176636,710.0466191768646,-0.00040448093,74.12996,5.309529,159,0.0,-41.26463237182348,10781,93.71,7950000,9.621988e-05,79500
-0.37404835,0.31276440620422363,714.7506093978882,-0.00025628784,77.486404,5.309409,160,0.0,-6.690920207013269,11110,74.23,8000000,8.780599e-05,80000
-0.3117728,0.4162871241569519,719.3117589950562,-0.0007375654,35.599422,5.3095007,161,4.9999995e-05,-17.15496290690351,11427,87.08,8050000,0.0001726569,80500
-0.353907,0.29742860794067383,723.7432398796082,-0.00028473025,84.21403,5.309601,162,9e-05,-11.22073227482253,11750,65.83,8100000,0.00017997998,81000
-0.29598016,0.4027562141418457,728.0533845424652,-0.00088852795,29.803782,5.3095903,163,9.5999996e-05,-7.571309318889219,10255,80.98,8150000,0.00022546583,81500
-0.26641992,0.5521799623966217,732.9860923290253,-0.0012382927,11.712138,5.3092475,164,0.00317,-11.964569228862764,11089,78.96,8200000,0.0008217689,82000
-0.2721934,0.5026174187660217,737.5542764663696,-0.00057075743,17.289303,5.309806,165,0.00017400002,-19.282144389876922,11095,88.94,8250000,0.00039651277,82500
-0.24073239,0.6474328339099884,742.1228375434875,-0.0011554795,4.704136,5.3114257,166,0.003926,-5.09694585580421,11579,73.02,8300000,0.0010262916,83000
-0.22114047,0.6515607237815857,746.5092377662659,-0.0014925556,2.4851239,5.313319,167,0.01678,-3.2136106960085273,11880,74.46,8350000,0.0021882784,83500
-0.21671712,0.6042757630348206,750.7736632823944,-0.0009542142,2.5834172,5.3136187,168,0.0127759995,-5.613286770910454,10631,75.76,8400000,0.0017773422,84000
-0.21494281,0.5525615215301514,755.5410108566284,-0.0008068259,1.7946231,5.3122377,169,0.007674,-1.7791458978486117,10472,71.24,8450000,0.0014283045,84500
