total_timesteps,serial_timesteps,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,explained_variance,approxkl,policy_loss,fps,value_loss,clipfrac,n_updates,time_elapsed
5600000,56000,10.517472064559243,210.33,0.05353698,5.0128517,0.9187453761696815,0.0027404719,-0.0017762436,10025,0.109456584,0.021786,112,566.1568665504456
5650000,56500,10.214484142722846,201.89,0.053837188,5.003419,0.9202273860573769,0.0030105913,-0.0019133028,10036,0.11325461,0.024942,113,571.2524008750916
5700000,57000,10.911728429478421,213.69,0.05372568,4.994746,0.9249917194247246,0.0027749217,-0.0023950425,10018,0.10907699,0.023968,114,576.3205306529999
5750000,57500,11.512942295171724,234.76,0.052355338,4.987715,0.9264501482248306,0.002903961,-0.0019238878,10041,0.10825616,0.023155998,115,581.3801956176758
5800000,58000,11.951605068789009,237.41,0.052720748,4.9818563,0.9261433407664299,0.003259839,-0.0020884431,10128,0.10922363,0.029332,116,586.4472694396973
5850000,58500,11.842019349426009,233.82,0.049546357,4.975929,0.9272835552692413,0.0034308638,-0.0028073904,10037,0.12816952,0.030648002,117,591.4523031711578
5900000,59000,12.792403490949887,269.54,0.049809545,4.9674044,0.9313938394188881,0.0034155245,-0.0019530138,10047,0.1079175,0.030828,118,596.511599779129
5950000,59500,14.265288996200956,294.67,0.050553024,4.958549,0.9285656660795212,0.0039617,-0.0021107155,10035,0.09852648,0.040364005,119,601.5520782470703
6000000,60000,14.302235692693612,298.76,0.049491078,4.9491014,0.9285366162657738,0.0036109432,-0.0019184243,10037,0.111648455,0.03384,120,606.6017518043518
6050000,60500,15.075909581390478,299.7,0.05110329,4.9418116,0.9282271265983582,0.0036814504,-0.0019410679,10159,0.09719427,0.035401996,121,611.662770986557
6100000,61000,14.920087437474244,285.21,0.052486237,4.933139,0.9325640052556992,0.004083407,-0.0023466714,10058,0.10852005,0.040696003,122,616.6572616100311
6150000,61500,14.104664509412906,271.18,0.05154669,4.9225903,0.9326328933238983,0.0035829819,-0.0021718757,10015,0.107009575,0.034153998,123,621.7105717658997
6200000,62000,17.0469944418267,338.56,0.052032392,4.909753,0.9298481866717339,0.0042373054,-0.0014721283,10013,0.102459885,0.045537997,124,626.8134937286377
6250000,62500,18.717379153743405,355.78,0.053019598,4.8995104,0.9290300160646439,0.0026315842,-0.0019741706,9995,0.09051021,0.020544,125,631.8839766979218
6300000,63000,19.049523139579577,350.16,0.05483487,4.8887053,0.9275054186582565,0.0028344926,-0.0020211602,10047,0.09306046,0.022515997,126,636.9537205696106
6350000,63500,20.238467761599708,374.66,0.05441417,4.8792043,0.9345368817448616,0.0029979795,-0.0021074205,10013,0.08777468,0.024728,127,641.9991254806519
6400000,64000,20.631276267157137,388.8,0.05246382,4.8719788,0.9333602264523506,0.0035629862,-0.0020913822,9979,0.092657045,0.033916,128,647.0864346027374
6450000,64500,20.639341375112163,381.54,0.053340264,4.864639,0.9352158680558205,0.003134253,-0.0017926885,10095,0.08815797,0.026039999,129,652.1647219657898
6500000,65000,21.97483148886632,413.18,0.05328793,4.856121,0.9368632361292839,0.0029353364,-0.0017236139,9973,0.07957281,0.0235,130,657.1923170089722
