serial_timesteps,fps,policy_loss,approxkl,ep_reward_mean,n_updates,time_elapsed,total_timesteps,true_reward,ep_len_mean,explained_variance,value_loss,clipfrac,policy_entropy
2120500,8277,-0.0042671575,0.028359396,1.845992881233833,4241,28635.385417461395,212050000,0.030967029,57.55,0.9760455004870892,0.013260531,0.307316,-5.8840504
2121000,7732,-0.0033822844,0.028525455,1.8073034151684988,4242,28642.077659606934,212100000,0.03080264,54.34,0.9824323691427708,0.009903271,0.309764,-5.886658
2121500,7703,-0.0038611332,0.02789285,1.729325154453545,4243,28649.191784858704,212150000,0.031113103,55.5,0.9833227638155222,0.010221592,0.30762795,-5.8840804
2122000,8109,-0.0056981076,0.025922036,1.7980137689389812,4244,28656.13582968712,212200000,0.031468663,56.23,0.9808521326631308,0.01103688,0.29261196,-5.883752
2122500,7928,-0.0037586358,0.028474635,1.9812152858505578,4245,28662.880671977997,212250000,0.030712036,57.99,0.9793642535805702,0.011588812,0.31203607,-5.8871183
2123000,7985,-0.0049367114,0.027563574,1.6035912674860446,4246,28669.788651943207,212300000,0.03191449,50.9,0.9808196388185024,0.011406484,0.30219603,-5.8811283
2123500,7910,-0.003743777,0.030804472,1.9551528140976007,4247,28676.414259433746,212350000,0.031525407,60.37,0.9761609975248575,0.014287924,0.32494995,-5.8740087
2124000,8061,-0.004676484,0.027476521,2.30923340130772,4248,28683.243993759155,212400000,0.03200929,62.71,0.9825497083365917,0.009817842,0.30348206,-5.882837
2124500,8211,-0.00413533,0.028849568,1.6612400329407684,4249,28690.094144821167,212450000,0.03014678,50.83,0.9789792858064175,0.0117887175,0.312498,-5.879438
2125000,7874,-0.0035226976,0.031007698,2.1649310642047204,4250,28696.81610918045,212500000,0.030863386,57.79,0.9786869157105684,0.013004225,0.32514003,-5.8797655
2125500,8006,-0.0054298155,0.02604573,1.8921706628346147,4251,28703.768644571304,212550000,0.03142369,61.58,0.9841259568929672,0.009093952,0.29098403,-5.8807235
2126000,7946,-0.0042616595,0.027597701,2.067937785725735,4252,28710.63550066948,212600000,0.030961059,62.54,0.9825812485069036,0.010351195,0.30643806,-5.8760576
2126500,8211,-0.0027780256,0.02894727,1.5250906096886683,4253,28717.518326997757,212650000,0.03065585,52.62,0.9837646484375,0.0094656395,0.31177995,-5.8774357
2127000,8178,-0.0032010092,0.02975111,1.6216053653879499,4254,28724.218496084213,212700000,0.029704567,51.68,0.9782700855284929,0.012495287,0.31761402,-5.876377
2127500,8078,-0.0048103095,0.027951157,1.7210032959646195,4255,28730.976068019867,212750000,0.030266477,55.95,0.978794276714325,0.012161187,0.31076398,-5.869522
2128000,7947,-0.002915472,0.029563904,1.674681992031492,4256,28737.695927858353,212800000,0.03205375,47.08,0.9823243096470833,0.0102720335,0.31877202,-5.859737
2128500,7915,-0.004254595,0.026605587,1.528700592534151,4257,28744.615573883057,212850000,0.030803237,46.97,0.9831989798694849,0.009138037,0.29842204,-5.8631806
2129000,7989,-0.004933394,0.02758842,1.896593853728409,4258,28751.649779081345,212900000,0.030459968,54.82,0.9817190449684858,0.010163653,0.30291,-5.8573155
2129500,8341,-0.003499395,0.028485758,1.5904783219666934,4259,28758.210048913956,212950000,0.030715615,51.13,0.9804951157420874,0.011272274,0.310146,-5.848635
2130000,8272,-0.004920155,0.026346581,1.7375111155744525,4260,28764.668138980865,213000000,0.031834245,52.22,0.9832684360444546,0.009887592,0.29725996,-5.855356
2130500,8055,-0.004262371,0.026688978,1.7183175551180647,4261,28771.327080011368,213050000,0.031801585,54.17,0.9810973480343819,0.011558753,0.30385405,-5.866269
2131000,7945,-0.0046762545,0.025896627,2.0126297939220965,4262,28778.140991449356,213100000,0.030699573,57.23,0.9822824485599995,0.010182148,0.28914195,-5.8727837
2131500,8225,-0.0049573905,0.027961051,1.5047771063190885,4263,28784.937653779984,213150000,0.030489229,48.74,0.9825739022344351,0.010501379,0.307662,-5.874216
2132000,7752,-0.0035318204,0.028283477,1.8407762667481438,4264,28791.504376888275,213200000,0.030747466,52.69,0.9808460436761379,0.011496958,0.30986598,-5.8784285
2132500,8502,-0.0041473587,0.02573375,1.6044018310069077,4265,28798.595005750656,213250000,0.032099668,52.29,0.9820475410670042,0.010586738,0.29211205,-5.890606
2133000,7864,-0.0038186347,0.027697487,1.7393646983487998,4266,28805.08709836006,213300000,0.031859923,52.63,0.9828255083411932,0.009970194,0.30469394,-5.9032025
2133500,8285,-0.002961748,0.03037537,1.9677211237839582,4267,28812.16876244545,213350000,0.03071407,54.16,0.9822454061359167,0.010251564,0.325572,-5.917515
2134000,8112,-0.0038421259,0.02900893,1.6882168930587795,4268,28818.728442668915,213400000,0.031416386,52.56,0.9811803586781025,0.011196761,0.31706595,-5.9248376
2134500,8002,-0.0039558527,0.03004354,1.866726773885748,4269,28825.558199882507,213450000,0.031053256,53.92,0.9789706524461508,0.011902734,0.32281798,-5.922247
2135000,7785,-0.0018239972,0.030112412,1.8441499281222058,4270,28832.301062822342,213500000,0.030995544,59.66,0.9816748928278685,0.01024219,0.32108992,-5.9179993
2135500,8283,-0.0052375467,0.026610572,1.55673767515902,4271,28839.3474547863,213550000,0.02975385,53.53,0.9791689962148666,0.011716528,0.3003379,-5.9179497
2136000,7916,-0.0026565504,0.028512487,2.1010948831318093,4272,28846.043459177017,213600000,0.032729957,60.71,0.9787705838680267,0.01215306,0.31484994,-5.9203777
2136500,8236,-0.0033435111,0.029120315,1.6129246610626433,4273,28852.961253881454,213650000,0.029753517,54.18,0.9791950676590204,0.011221886,0.31554002,-5.915397
2137000,8109,-0.0054101236,0.026211621,1.6036394015647237,4274,28859.619834423065,213700000,0.030384399,54.49,0.9822288677096367,0.010041885,0.29540798,-5.912306
2137500,7828,-0.0039981916,0.028542748,1.8481254324527254,4275,28866.400508880615,213750000,0.031224588,56.39,0.9797051921486855,0.0113622155,0.31304008,-5.9164486
2138000,7739,-0.003279432,0.030425332,1.914498286741291,4276,28873.41017127037,213800000,0.03123357,56.84,0.9820595625787973,0.010825643,0.32457793,-5.9111004
