fps,time_elapsed,approxkl,policy_entropy,value_loss,explained_variance,clipfrac,serial_timesteps,ep_len_mean,n_updates,ep_reward_mean,policy_loss,true_reward,total_timesteps
7746,24857.70102906227,0.026297214,-5.5903883,0.021885525,0.9957609167322516,0.30126008,1834000,48.46,3668,1.6516863736898812,-0.005505568,0.0068871593,183400000
7918,24864.588793039322,0.02536139,-5.5914974,0.013383677,0.9973660418763757,0.2979101,1834500,48.03,3669,1.5268742786754592,-0.0048335334,0.008412099,183450000
8009,24871.32869076729,0.026385982,-5.5977507,0.0197232,0.9961262815631926,0.302546,1835000,52.58,3670,1.6273110659180656,-0.0033658338,0.007127609,183500000
7839,24878.08781862259,0.026887758,-5.6059017,0.018290922,0.996418789960444,0.3098921,1835500,51.32,3671,1.3206000192672127,-0.0037502393,0.0037328883,183550000
7743,24885.061559438705,0.027856063,-5.598278,0.023536054,0.995106696151197,0.310432,1836000,48.33,3672,1.0807284487695779,-0.0036502301,0.0035596574,183600000
7727,24892.144395828247,0.026897755,-5.5927014,0.01712311,0.9966883335728198,0.30430004,1836500,42.87,3673,1.4843697212281404,-0.0054777516,0.004907397,183650000
7919,24899.040957927704,0.023805318,-5.592228,0.013763036,0.9973716561216861,0.28644997,1837000,49.34,3674,1.0183630669493504,-0.003698204,0.0071933107,183700000
8059,24905.875856399536,0.025787564,-5.5985856,0.017434966,0.9964098799973726,0.29526794,1837500,40.64,3675,0.7821607196374952,-0.0034095123,0.0029787493,183750000
7884,24912.55378484726,0.025814839,-5.5979023,0.017342485,0.9965183907188475,0.29836598,1838000,40.5,3676,0.9832037498565478,-0.00528063,0.013489846,183800000
7978,24919.284509897232,0.025995567,-5.6006536,0.017883737,0.996409042738378,0.29929,1838500,44.68,3677,1.1407359677698985,-0.0049648723,0.0041438094,183850000
7956,24926.097808361053,0.028494291,-5.6087947,0.024263367,0.9952318859286606,0.31279403,1839000,47.47,3678,1.2352097781715565,-0.003183229,0.0044151032,183900000
7991,24932.758665800095,0.026071288,-5.6042805,0.024572756,0.9954144638031721,0.30216601,1839500,43.31,3679,1.0089927630589954,-0.0037601637,0.0050139436,183950000
7931,24939.619246006012,0.026519194,-5.609635,0.018671647,0.9966307645663619,0.30441996,1840000,47.0,3680,1.3686590362830975,-0.004497448,0.0037563578,184000000
7989,24946.497111082077,0.024277236,-5.614478,0.01376954,0.9973155108746141,0.28764203,1840500,44.13,3681,0.9394268326200472,-0.0037458993,0.0062140087,184050000
7869,24953.27654671669,0.029290957,-5.6097484,0.020940594,0.995897981338203,0.32041997,1841000,49.57,3682,1.2853610148716894,-0.0036312246,0.0050248248,184100000
8028,24960.17201733589,0.024284424,-5.6113396,0.017687403,0.9965324872173369,0.28887,1841500,46.31,3683,1.2219417806598722,-0.004661588,0.007641922,184150000
7613,24966.91218662262,0.029375916,-5.62258,0.020578232,0.9961213297210634,0.32088006,1842000,49.68,3684,1.289410904638644,-0.0024654786,0.007967587,184200000
8069,24973.756234407425,0.026568705,-5.629561,0.0122122,0.997507173800841,0.30403996,1842500,44.49,3685,1.3608664814016083,-0.0030818728,0.0046592033,184250000
7776,24980.182052135468,0.02722389,-5.63515,0.020351969,0.9961176649667323,0.3110959,1843000,47.99,3686,1.0076729957499537,-0.004287287,0.004972869,184300000
8078,24987.12980031967,0.028111503,-5.6326585,0.021593442,0.9959293957799673,0.318246,1843500,47.13,3687,1.3005809694178607,-0.003128727,0.0066892863,184350000
7897,24993.804019212723,0.025672846,-5.634225,0.01748464,0.9964946822728962,0.29786602,1844000,48.21,3688,1.173878559577024,-0.004145295,0.005151106,184400000
7729,25000.619951486588,0.026052153,-5.6385083,0.014572623,0.9972535276319832,0.30196404,1844500,49.45,3689,1.5290137868372675,-0.0027891544,0.008637989,184450000
7825,25007.63587832451,0.026777176,-5.6329494,0.018681154,0.9963848870247602,0.30883008,1845000,40.87,3690,0.22894166559024598,-0.0051437807,0.008483811,184500000
7915,25014.477916002274,0.028290257,-5.6334047,0.01750729,0.9967699474655092,0.31634197,1845500,47.18,3691,1.2005089804077942,-0.003383062,0.0070512537,184550000
7761,25021.266290664673,0.02860038,-5.636486,0.021157928,0.9958929168060422,0.31800604,1846000,44.89,3692,0.8478774368153904,-0.004562221,0.0066804322,184600000
7963,25028.307349920273,0.025957618,-5.629184,0.020930355,0.9960026773624122,0.302286,1846500,50.86,3693,1.13026081418393,-0.004767714,0.0066644805,184650000
7965,25035.136565685272,0.02635633,-5.625183,0.014590123,0.9972609933465719,0.30492994,1847000,49.51,3694,1.040511443207979,-0.004108885,0.0073287366,184700000
8227,25041.863226413727,0.026925208,-5.6216426,0.015722914,0.9968720234464854,0.308786,1847500,43.8,3695,0.9611703946104535,-0.0056342157,0.001672174,184750000
7837,25048.253474235535,0.02739293,-5.6166406,0.018766861,0.9964129105210304,0.3098919,1848000,43.56,3696,0.9282871915297801,-0.0032720692,0.00827692,184800000
8047,25055.25161910057,0.024165673,-5.6245284,0.015693234,0.996908783679828,0.28689402,1848500,47.19,3697,1.0234386039256698,-0.0040446734,0.0075647347,184850000
7700,25062.053218603134,0.023568923,-5.6191974,0.016614735,0.99666932458058,0.28045204,1849000,40.9,3698,1.2322239728311615,-0.004813817,0.004081671,184900000
7875,25069.060667037964,0.027541175,-5.610632,0.024454022,0.9952558474615216,0.31277803,1849500,42.03,3699,0.6743238366737568,-0.0040634465,0.0016133257,184950000
8007,25075.978832244873,0.02693161,-5.605026,0.021460135,0.9958287798799574,0.307688,1850000,45.36,3700,0.960011123895556,-0.0050342623,0.005900913,185000000
7819,25082.63148164749,0.024425322,-5.5967464,0.016680274,0.9966098319273442,0.28706595,1850500,46.25,3701,0.5297981228922345,-0.0049951016,0.00532461,185050000
7865,25089.432569503784,0.024990944,-5.5970654,0.018764202,0.9962479693349451,0.29378593,1851000,45.67,3702,1.5085265088516462,-0.00359552,0.0045693982,185100000
7934,25096.295611858368,0.026071738,-5.5972376,0.017291907,0.9965616327244788,0.30093598,1851500,43.05,3703,1.121332995023804,-0.0033115312,0.0049861525,185150000
8066,25103.081726312637,0.026317006,-5.59791,0.015137259,0.9969415236264467,0.30200803,1852000,40.95,3704,1.4453434188572647,-0.0045440476,0.0070752716,185200000
7880,25109.69710302353,0.027515061,-5.6004972,0.017354863,0.9964941756334156,0.30960196,1852500,48.13,3705,0.9413349466716227,-0.0036482788,0.0024579926,185250000
8000,25116.46819782257,0.027628466,-5.6048107,0.018087795,0.9964260808192194,0.30890197,1853000,41.37,3706,0.963656122792745,-0.0037028545,0.003110865,185300000
7956,25123.209298610687,0.026690943,-5.5994124,0.016989402,0.9965725254733115,0.30511197,1853500,45.27,3707,1.2371921269293307,-0.0040341523,0.006595975,185350000
7908,25129.854700565338,0.026551627,-5.595278,0.020261455,0.9961444537620991,0.303486,1854000,43.71,3708,0.6636195753373454,-0.004504446,0.0043134415,185400000
8030,25136.57043480873,0.024477292,-5.6040735,0.016490696,0.9967160203959793,0.28665397,1854500,50.59,3709,1.421976315605316,-0.00391028,0.008326584,185450000
7991,25143.364310264587,0.02598968,-5.5990157,0.017025907,0.9964909609407187,0.29906195,1855000,43.63,3710,0.46247645667874165,-0.0047042645,0.0057345107,185500000
7983,25150.186940431595,0.027518261,-5.590689,0.018462306,0.996306111337617,0.31147403,1855500,47.88,3711,1.0459398073123884,-0.0029871808,0.0030497708,185550000
7851,25156.91974067688,0.024684949,-5.59012,0.019053917,0.9962341946084052,0.29078397,1856000,42.94,3712,0.978806502673724,-0.0043214564,0.0058798427,185600000
7655,25163.929901361465,0.02667701,-5.588447,0.015972275,0.9969805153086782,0.30613992,1856500,50.84,3713,1.5999246766613395,-0.003065032,0.0038329575,185650000
7949,25170.731096744537,0.026679229,-5.592501,0.02046559,0.9960354911163449,0.305836,1857000,47.85,3714,0.9601791495154975,-0.0032821428,0.006394385,185700000
7637,25177.52113199234,0.023991162,-5.599197,0.013094297,0.9973491742275655,0.28651595,1857500,42.05,3715,0.7416165528541387,-0.005329667,0.0077743153,185750000
7873,25184.661598920822,0.026260367,-5.611515,0.016672565,0.9967969437129796,0.30118006,1858000,40.12,3716,0.43833584370277096,-0.0045064758,0.006212302,185800000
7873,25191.317620277405,0.0280922,-5.61907,0.013642261,0.9974152175709605,0.315314,1858500,49.53,3717,1.3576345360083268,-0.004879541,0.009371265,185850000
7942,25198.29032278061,0.027731473,-5.6193233,0.020087056,0.995978235732764,0.31072408,1859000,44.14,3718,0.8454963994437276,-0.0028114978,0.008325296,185900000
7998,25205.199658870697,0.025308387,-5.6197047,0.01585965,0.9970473744906485,0.295752,1859500,49.23,3719,1.1965253584584934,-0.0052637355,0.005184123,185950000
7660,25211.957339525223,0.0275107,-5.6163554,0.015915617,0.9970158606301993,0.310494,1860000,43.77,3720,0.7407154364242524,-0.004120328,0.0027534883,186000000
8055,25219.075628757477,0.023744686,-5.6100645,0.011977335,0.9976312834769487,0.28508994,1860500,44.34,3721,1.1667227603827268,-0.005398925,0.010308813,186050000
7846,25225.90859913826,0.025263455,-5.604745,0.01610106,0.9969051950611174,0.29125798,1861000,41.23,3722,1.1788312064244293,-0.0054341466,0.005798746,186100000
7808,25232.81932258606,0.025920786,-5.5980253,0.028082531,0.9949922636151314,0.29874396,1861500,49.61,3723,1.1956858665808159,-0.004524619,0.0060578804,186150000
8112,25239.813675165176,0.027027361,-5.58701,0.018917399,0.9962021238170564,0.30604407,1862000,45.22,3724,1.1710866936115325,-0.0051250565,0.0071070343,186200000
8134,25246.331342458725,0.028257566,-5.583421,0.019717298,0.9962565137539059,0.315988,1862500,46.18,3725,1.021340248758861,-0.00564424,0.005506355,186250000
7812,25253.0358440876,0.026341055,-5.5806336,0.013989352,0.9972408905159682,0.30493802,1863000,47.23,3726,1.4646928572464821,-0.0032593245,0.0041000824,186300000
7911,25259.92277288437,0.025768198,-5.5842695,0.017739767,0.9966292327735573,0.30044997,1863500,46.89,3727,0.8882906658571301,-0.0043717665,0.005312735,186350000
7951,25266.545438289642,0.028999655,-5.5867596,0.023404673,0.995529712177813,0.3197619,1864000,49.03,3728,1.5792284080223453,-0.003234,0.0077464636,186400000
7804,25273.23395729065,0.02888567,-5.5869136,0.017231937,0.9964510542340577,0.31904003,1864500,47.69,3729,1.3601512120034858,-0.0016605845,0.004441139,186450000
7714,25280.188591003418,0.024707949,-5.584769,0.015070379,0.9969393834471703,0.29282403,1865000,48.0,3730,0.8353822969888278,-0.004386972,0.0034712437,186500000
7958,25287.121571302414,0.026653586,-5.5844865,0.020155001,0.9961225513834506,0.30610004,1865500,50.73,3731,0.9256136702763978,-0.0040903254,0.0021426668,186550000
7838,25293.881789445877,0.027014615,-5.5775404,0.016591849,0.9967023376375437,0.30740404,1866000,46.26,3732,1.4650980662666826,-0.004113344,0.008582312,186600000
8242,25300.74140238762,0.026701678,-5.5801973,0.015736502,0.9969202969223261,0.30487794,1866500,47.43,3733,1.0653337721114804,-0.005351627,0.00039656536,186650000
8359,25307.256987810135,0.027938599,-5.590085,0.021952124,0.9958497271873057,0.31452802,1867000,53.11,3734,1.5478739822899934,-0.004269291,0.0061547356,186700000
8002,25313.682946443558,0.026759615,-5.588555,0.020554975,0.9958811737596989,0.303248,1867500,45.98,3735,0.9107732419884996,-0.004575941,0.005778237,186750000
8031,25320.59628009796,0.028758865,-5.5853467,0.021029983,0.9960118625313044,0.3164839,1868000,46.58,3736,1.0316088538378516,-0.002560608,0.0045400993,186800000
7916,25327.21543955803,0.026811708,-5.589165,0.020436144,0.9960442152805626,0.30536607,1868500,48.0,3737,1.2330320374758503,-0.004584212,0.00925526,186850000
7672,25334.092408657074,0.025048599,-5.593758,0.016528914,0.9967506837565452,0.29532796,1869000,48.03,3738,1.3890414653594416,-0.0043888753,0.0061131925,186900000
8236,25341.119754314423,0.02786807,-5.6004004,0.01962129,0.9963429472409189,0.311408,1869500,42.85,3739,1.3656723359616263,-0.004385887,0.0049297563,186950000
8072,25347.650905370712,0.024166798,-5.6100297,0.015868226,0.9970020158216357,0.287728,1870000,46.55,3740,1.1423662830816101,-0.005706613,0.006132214,187000000
8236,25354.30173921585,0.027631937,-5.6171327,0.021787347,0.9955319268628955,0.30844194,1870500,49.27,3741,1.4865643529295993,-0.005541671,0.006572984,187050000
8194,25360.8410320282,0.026410973,-5.623517,0.020623319,0.9962097369134426,0.30161405,1871000,49.01,3742,1.2589074486048775,-0.004568717,0.0043576066,187100000
8083,25367.384835481644,0.025417235,-5.6200013,0.017225849,0.9966248883865774,0.29640803,1871500,38.62,3743,1.037499382739543,-0.006109407,0.0050784205,187150000
8314,25374.016461133957,0.024900919,-5.6165233,0.014152826,0.9972301244270056,0.29349595,1872000,46.88,3744,1.3274596190721057,-0.0044004335,0.008909491,187200000
8315,25380.319122076035,0.026434552,-5.6114573,0.019661495,0.996148663572967,0.30434397,1872500,46.14,3745,0.8836632770194046,-0.00443834,0.0039171083,187250000
7903,25386.821848154068,0.02798818,-5.606563,0.014949692,0.9970002830959857,0.31163198,1873000,45.48,3746,0.9851567435235046,-0.0028049243,0.004597231,187300000
8292,25393.663705825806,0.025646653,-5.5968013,0.015938777,0.9968501185066998,0.29961002,1873500,46.22,3747,1.140526559764876,-0.005341283,0.005732553,187350000
8220,25399.96569609642,0.02885384,-5.587755,0.020329291,0.9959154655225575,0.32039598,1874000,46.77,3748,0.6573405696126065,-0.0040047043,0.0041194702,187400000
7971,25406.507038116455,0.024141736,-5.5771184,0.013961733,0.9973898113239557,0.28722602,1874500,45.29,3749,0.7224721059661533,-0.004703546,0.0032714768,187450000
7969,25413.267997980118,0.025985928,-5.5621934,0.01851676,0.9963868272025138,0.30040205,1875000,47.27,3750,1.091949948718393,-0.005253823,0.00023105416,187500000
8134,25419.937671899796,0.025872689,-5.5601974,0.01475957,0.9972959773149341,0.300846,1875500,47.14,3751,1.3393163353229829,-0.003090175,0.0034600697,187550000
8030,25426.709906101227,0.026631033,-5.562197,0.019947873,0.9963769128080457,0.30594197,1876000,46.63,3752,1.5735146509963578,-0.003086154,0.0051968577,187600000
7782,25433.527238368988,0.026437288,-5.5637755,0.013824939,0.9973668351303786,0.30462602,1876500,50.04,3753,1.4112440643626019,-0.004845715,0.0058552967,187650000
7717,25440.460782289505,0.028054135,-5.5633855,0.023361718,0.9954462423920631,0.311708,1877000,46.44,3754,1.6746942493026926,-0.004805177,0.0037981656,187700000
7868,25447.442443847656,0.025573125,-5.5586376,0.017626008,0.9966606358066201,0.29822,1877500,48.91,3755,1.714174146380674,-0.005223602,0.005619531,187750000
