fps,value_loss,true_reward,clipfrac,policy_entropy,explained_variance,approxkl,serial_timesteps,n_updates,ep_len_mean,time_elapsed,policy_loss,total_timesteps,ep_reward_mean
8260,0.18099508,0.065512106,0.05367999,3.3774698,0.9691470004618168,0.0052668746,64500,129,495.32,860.1404511928558,-0.0044675334,6450000,34.663062127233076
8254,0.18690407,0.06779828,0.07727,3.330234,0.9654551632702351,0.0063547515,65000,130,494.22,866.7700898647308,-0.005629599,6500000,36.45242065674938
8202,0.13529521,0.06646644,0.09089197,3.289822,0.9790033027529716,0.007105966,65500,131,494.17,873.3820903301239,-0.0056777555,6550000,35.70173679480353
7923,0.17247011,0.0644034,0.077088006,3.2634385,0.9776429384946823,0.006304692,66000,132,491.34,879.9362237453461,-0.0045810607,6600000,36.12729830535747
8343,0.14138374,0.06921269,0.102198,3.2500727,0.9704690016806126,0.0075814356,66500,133,495.08,886.7158894538879,-0.004661404,6650000,36.56252522461302
8062,0.18999368,0.065771565,0.07182999,3.2310836,0.9737098328769207,0.0060451096,67000,134,491.22,893.2470095157623,-0.004586013,6700000,36.52302069991763
8230,0.17343764,0.071277715,0.04391801,3.2125382,0.9694236349314451,0.004550387,67500,135,493.3,899.9689660072327,-0.0047262907,6750000,38.520593420754615
8028,0.39367145,0.06862332,0.06785,3.2068155,0.9457676485180855,0.0061671305,68000,136,491.33,906.5252435207367,-0.0055717058,6800000,38.36324562971171
7873,0.15462607,0.07377383,0.111050025,3.1972537,0.963205736130476,0.0081663225,68500,137,497.34,913.0310347080231,-0.005772531,6850000,37.93099614074079
8004,0.33722827,0.06749438,0.059676003,3.1753998,0.948807779699564,0.005610168,69000,138,492.85,919.8962087631226,-0.0057593035,6900000,37.10713647552664
8376,0.18417215,0.06822766,0.05327799,3.1703722,0.9733328428119421,0.005081631,69500,139,492.42,926.6628792285919,-0.005021365,6950000,37.679089101688604
8109,0.22745746,0.07016122,0.094656,3.1599197,0.9563517831265926,0.007303778,70000,140,495.32,932.9782121181488,-0.0053848876,7000000,37.27310457889758
7967,0.101457216,0.072752014,0.086352006,3.1398094,0.979181308299303,0.006897243,70500,141,495.93,939.6161229610443,-0.0041868077,7050000,38.12251103866813
8619,0.16051346,0.07508499,0.09519798,3.1291337,0.957835216075182,0.007320248,71000,142,496.44,946.3601353168488,-0.004261036,7100000,38.857634032517474
8228,0.07865002,0.07432232,0.066010006,3.1237702,0.9806111454963684,0.0057644695,71500,143,496.39,952.7153422832489,-0.005146642,7150000,38.609432937958516
8195,0.12748224,0.07355193,0.078702,3.111618,0.9710422474890947,0.006433567,72000,144,496.16,959.2527549266815,-0.0048987614,7200000,38.4060102023304
8350,0.1080019,0.07582814,0.048104003,3.0864346,0.9708224851638079,0.0048671844,72500,145,495.9,965.8500971794128,-0.005070826,7250000,39.65740118538299
