time_elapsed,ep_reward_mean,policy_loss,value_loss,approxkl,total_timesteps,fps,true_reward,n_updates,explained_variance,policy_entropy,serial_timesteps,clipfrac,ep_len_mean
854.0581188201904,1.405694402700933,-0.0053944113,0.009071082,0.0059054224,6400000,8107,0.052926484,128,0.9883457012474537,2.6610882,64000,0.068664,34.06
860.7479565143585,1.468321678330958,-0.0048101395,0.010244366,0.0057267994,6450000,8250,0.053569898,129,0.9869965398684144,2.6478631,64500,0.06776,33.69
867.2269546985626,1.2741184402963244,-0.0046011684,0.010373418,0.005412027,6500000,8184,0.05221518,130,0.9873763415962458,2.6461008,65000,0.06132999,31.03
873.9324927330017,1.3098057411197601,-0.00462001,0.010571872,0.0056742155,6550000,8290,0.05412385,131,0.9864632515236735,2.638063,65500,0.065976,32.15
880.5654590129852,1.6701008490146843,-0.004964767,0.01027969,0.005752244,6600000,8048,0.054057743,132,0.9866018677130342,2.6216877,66000,0.067232,33.89
887.3981909751892,1.4821504180687157,-0.0052179517,0.0108323665,0.0059335153,6650000,8031,0.05463602,133,0.9856405202299356,2.6003542,66500,0.06901401,34.47
894.2821118831635,1.564974856514891,-0.0051780767,0.008124875,0.006073483,6700000,8073,0.054241564,134,0.9894254598766565,2.5874298,67000,0.073510006,32.15
901.0062170028687,1.8453754065697716,-0.0047601624,0.009703539,0.006394099,6750000,8217,0.053786587,135,0.9874940300360322,2.5706854,67500,0.076451994,34.26
907.7886559963226,1.5557603375303233,-0.0045922385,0.010283207,0.0056487946,6800000,7928,0.052356273,136,0.9875015318393707,2.5503478,68000,0.064908,31.81
914.6443519592285,1.3763704895898194,-0.0048035774,0.01051226,0.0063350513,6850000,7841,0.05265748,137,0.9865815714001656,2.5286202,68500,0.076381996,33.95
921.6098444461823,1.6427517265360438,-0.0042011794,0.011437224,0.0060798395,6900000,8013,0.05470163,138,0.9863765258342028,2.5038435,69000,0.072088,35.43
928.4928348064423,1.199014270668438,-0.004704888,0.010375244,0.005637017,6950000,8179,0.05361981,139,0.9871357241645455,2.4799519,69500,0.064633995,34.17
935.1647427082062,1.4964763551700162,-0.005592591,0.009461086,0.0061485684,7000000,7985,0.052420367,140,0.9880880648270249,2.4585123,70000,0.073422015,38.15
941.9993455410004,1.4898852189586522,-0.00473259,0.009427853,0.005636556,7050000,8184,0.053332154,141,0.9882161756977439,2.4336946,70500,0.06478398,32.6
