fps,ep_reward_mean,serial_timesteps,value_loss,time_elapsed,explained_variance,total_timesteps,ep_len_mean,true_reward,n_updates,policy_entropy,approxkl,clipfrac,policy_loss
15143,0.4552431738376617,34000,6.704985e-05,225.4909942150116,0.9994281360413879,3400000,15.27,0.055090807,68,3.0094223,0.005476273,0.06026801,-0.004310705
18605,0.6324111163616181,34500,7.0331036e-05,229.45258688926697,0.9994020375306718,3450000,18.16,0.055469826,69,2.9636075,0.006166975,0.071006,-0.004619646
17294,0.7985991191864014,35000,6.973054e-05,232.7814371585846,0.9993983763852157,3500000,20.49,0.055807788,70,2.914338,0.006158629,0.06885598,-0.00510753
14345,0.9779707992076874,35500,7.205233e-05,236.21642112731934,0.9993697888567112,3550000,22.83,0.056247164,71,2.8704782,0.0058042277,0.065363996,-0.0042346176
16712,1.1924423030018807,36000,7.693087e-05,240.3407666683197,0.9993270292761736,3600000,25.34,0.056710336,72,2.827226,0.005488155,0.058087997,-0.0038306864
16298,1.3602625234425068,36500,7.8955476e-05,243.80899095535278,0.9993103165179491,3650000,27.19,0.05705926,73,2.7896445,0.0047005448,0.045871995,-0.0022133363
17563,1.429339527785778,37000,7.9508216e-05,247.24861598014832,0.9993025187286548,3700000,27.85,0.057223134,74,2.7515411,0.0047152583,0.045868002,-0.0024071764
16458,1.396769026964903,37500,7.9242636e-05,250.73837280273438,0.9993053351645358,3750000,27.46,0.05720201,75,2.716253,0.0047059967,0.046998,-0.0019685456
17192,1.4164656735211612,38000,8.0321886e-05,254.34930539131165,0.9993029031320475,3800000,27.39,0.057288624,76,2.692302,0.0045083133,0.045236006,-0.001763638
15899,1.495005539804697,38500,7.746994e-05,257.8294575214386,0.9993321093497798,3850000,28.4,0.05737582,77,2.6776938,0.0045029046,0.044897996,-0.0017592927
16463,1.4904893021285535,39000,8.326164e-05,261.6687321662903,0.9992727293283679,3900000,28.35,0.057386998,78,2.6610608,0.004697265,0.047437992,-0.0022911036
17498,1.4952696396410465,39500,0.00010266372,265.2758343219757,0.9993143572937697,3950000,28.5,0.057359785,79,2.6397257,0.0045816284,0.044312,-0.00220837
18758,1.4633182045817374,40000,8.1524224e-05,268.6002793312073,0.9992927685962059,4000000,28.14,0.057331543,80,2.6182673,0.004709972,0.047594,-0.0023402006
19658,1.456337086185813,40500,7.9597055e-05,271.708696603775,0.9993075956590474,4050000,28.18,0.05730585,81,2.6002097,0.004375931,0.042099997,-0.0015660222
18279,1.4518736831843853,41000,7.914177e-05,274.8944761753082,0.9993170899688266,4100000,27.91,0.057316806,82,2.5851183,0.0047662687,0.04957599,-0.0014939171
13993,1.4295750184357165,41500,8.002683e-05,278.13466477394104,0.9993165392079391,4150000,27.92,0.05723652,83,2.5545864,0.00441476,0.04111001,-0.0014676782
16667,1.3851280514895916,42000,7.931568e-05,282.24266028404236,0.9993337212945335,4200000,27.45,0.057168067,84,2.5175288,0.0049696187,0.050999995,-0.0016218616
16623,1.3548673430085183,42500,7.263124e-05,285.8454132080078,0.9993672065320425,4250000,27.08,0.057144757,85,2.478446,0.004611575,0.043796,-0.002178954
18885,1.396646756082773,43000,7.595527e-05,289.3999283313751,0.9993408903246745,4300000,27.57,0.05719623,86,2.4410748,0.0050223786,0.052155994,-0.0017899073
18509,1.4558736388385296,43500,7.9572375e-05,292.4790663719177,0.9993175978306681,4350000,28.18,0.057326026,87,2.413244,0.004768613,0.049789988,-0.002119209
18517,1.4264803017675876,44000,8.1103935e-05,295.78998589515686,0.9993158706347458,4400000,27.85,0.05725989,88,2.3886538,0.004923942,0.050981995,-0.0019949635
16428,1.4256014227867126,44500,8.021248e-05,299.0706055164337,0.9993328808923252,4450000,27.73,0.057303976,89,2.3682127,0.0049685594,0.05327799,-0.0019104346
17630,1.3474017465114594,45000,8.145815e-05,302.7357873916626,0.9993319101049565,4500000,26.99,0.057147887,90,2.339802,0.0047012507,0.045934007,-0.0013531555
18935,1.3750493335723877,45500,9.240908e-05,305.97713255882263,0.9993399158120155,4550000,27.28,0.05720748,91,2.3075879,0.0044209473,0.042862006,-0.0016284424
20629,1.3599733075499534,46000,7.664233e-05,309.33675050735474,0.9992798435851,4600000,27.14,0.057146408,92,2.2773666,0.0045332396,0.044389993,-0.0019308729
15075,1.3785630078613758,46500,7.497851e-05,312.3586356639862,0.9993542928132229,4650000,27.35,0.057239316,93,2.2499669,0.0049361927,0.050704002,-0.001860982
17142,1.308165219426155,47000,7.146335e-05,316.2109680175781,0.9993804703117348,4700000,26.46,0.057125695,94,2.2185702,0.0052138907,0.055917997,-0.0011287099
18020,1.3439305606484413,47500,7.212598e-05,319.5869309902191,0.9993784119142219,4750000,26.94,0.05715509,95,2.1861253,0.005099371,0.054145996,-0.0017187814
17182,1.3641309383511544,48000,7.3468655e-05,322.9185347557068,0.9993631059187464,4800000,27.16,0.05722874,96,2.1675217,0.004850147,0.050316,-0.0017222508
16132,1.3514077623188496,48500,7.260995e-05,326.430006980896,0.9993755056057125,4850000,27.03,0.057240304,97,2.1395195,0.0052512516,0.055735998,-0.0016943164
19623,1.3723586794734002,49000,7.50775e-05,329.8631250858307,0.999348625424318,4900000,27.25,0.057225518,98,2.1027277,0.0051634563,0.054959998,-0.0016603859
17769,1.286211066544056,49500,7.1418195e-05,332.90849781036377,0.9993980959407054,4950000,26.31,0.05708558,99,2.0626748,0.004981893,0.050070003,-0.0017098674
16776,1.3350017240643501,50000,8.372067e-05,336.35522842407227,0.999349718738813,5000000,26.81,0.05720206,100,2.0273771,0.0052522,0.056755986,-0.0018164788
17223,1.3634327879548074,50500,7.42003e-05,339.673136472702,0.9993619221495464,5050000,27.12,0.05727926,101,1.9926906,0.005386039,0.058639992,-0.0013323785
19118,1.292236948311329,51000,6.919514e-05,343.0559091567993,0.9994068263913505,5100000,26.35,0.05715752,102,1.9556093,0.0056119524,0.061540022,-0.0013848497
16442,1.385292497575283,51500,8.09364e-05,346.076712846756,0.9993161904276349,5150000,27.35,0.05733363,103,1.9212413,0.0052576186,0.056642,-0.0016412085
16643,1.336772785782814,52000,7.530002e-05,349.66759514808655,0.9993471800116822,5200000,26.82,0.057208434,104,1.8913611,0.005380311,0.059307985,-0.0011889137
15239,1.3113961499929427,52500,7.5890355e-05,353.21695947647095,0.9993636305443943,5250000,26.54,0.057187635,105,1.862139,0.0053332066,0.057645988,-0.0018558683
20186,1.2455682942271233,53000,6.419712e-05,357.00095534324646,0.9994485738570802,5300000,25.81,0.057071283,106,1.8190477,0.005650642,0.059938002,-0.0025560812
20331,1.3030144280195237,53500,7.301631e-05,359.9252460002899,0.9993765968247317,5350000,26.44,0.05722584,107,1.7793924,0.0051899226,0.056153994,-0.001388124
17029,1.2409500613808633,54000,6.1758685e-05,362.95986890792847,0.9994705279823393,5400000,25.75,0.05709752,108,1.7434001,0.0053496887,0.057862006,-0.0024281444
16928,1.292087229192257,54500,7.124449e-05,366.42800974845886,0.9994023684412241,5450000,26.31,0.05720437,109,1.7062292,0.0047537633,0.04725001,-0.0015138075
16721,1.2272091764211654,55000,6.167581e-05,369.97329664230347,0.9994903465267271,5500000,25.58,0.057128634,110,1.6667662,0.006116371,0.070176,-0.0017575551
15583,1.3240110567212104,55500,8.007165e-05,373.6540060043335,0.9993745652609505,5550000,26.66,0.057286188,111,1.6385444,0.0052504563,0.056891993,-0.0017815483
18208,1.2481058284640312,56000,6.97732e-05,377.5371344089508,0.9994689804734662,5600000,25.83,0.057174418,112,1.613971,0.0049759164,0.051776,-0.0014001399
18137,1.2754426148533822,56500,6.620461e-05,380.8219938278198,0.9994372373912483,5650000,26.11,0.057212345,113,1.584968,0.0057393233,0.06508401,-0.001100774
20215,1.3237895983457566,57000,7.382162e-05,384.1010890007019,0.9993651419063099,5700000,26.66,0.057316806,114,1.5568798,0.0056649763,0.06465199,-0.0024209758
20007,1.2078838422894478,57500,5.4965956e-05,387.1427822113037,0.99953376679332,5750000,25.36,0.05711032,115,1.5253009,0.0058844117,0.06635401,-0.0025244514
18097,1.239099299609661,58000,6.5053886e-05,390.32924008369446,0.9994797362596728,5800000,25.72,0.05715803,116,1.494405,0.0049523665,0.051774003,-0.00144742
21219,1.2449085450172424,58500,6.2176965e-05,393.46348237991333,0.9994657362112775,5850000,25.77,0.057196874,117,1.4620672,0.0058486164,0.066626,-0.0012754253
18255,1.2216517870128154,59000,5.7669786e-05,396.42824125289917,0.9995064132963307,5900000,25.51,0.057157524,118,1.4225616,0.0059589962,0.06811999,-0.0008870252
19591,1.227343381345272,59500,5.6641646e-05,399.7124981880188,0.9995171326445416,5950000,25.57,0.05720262,119,1.3893304,0.0058918805,0.06760999,-0.0009315183
18634,1.2035361117124557,60000,5.1076455e-05,402.59894466400146,0.9995603878633119,6000000,25.3,0.05715279,120,1.3517948,0.006028656,0.07018601,-0.0020107112
18338,1.3096061569452286,60500,7.637851e-05,405.7076680660248,0.9993601115420461,6050000,26.5,0.05734859,121,1.3236507,0.0061890287,0.07436799,-0.002432115
18437,1.200745893716812,61000,5.2195435e-05,408.87815403938293,0.9995540533855092,6100000,25.27,0.057170127,122,1.2883983,0.005699319,0.063017994,-0.0014790657
20377,1.3112023374438286,61500,7.701338e-05,412.18226385116577,0.9993461857666261,6150000,26.51,0.057382606,123,1.2592809,0.0058068214,0.067706004,-0.002186229
19214,1.2356528821587562,62000,5.9907077e-05,415.24730944633484,0.9994862123858184,6200000,25.67,0.057251982,124,1.2387692,0.0065596616,0.079621986,-0.0007810877
14433,1.2454551553726196,62500,6.0820366e-05,418.42949509620667,0.9994817829574458,6250000,25.78,0.05726061,125,1.2158909,0.0058753993,0.06820199,-0.0012904789
16533,1.2038033086061477,63000,6.3555955e-05,422.4630126953125,0.9995693654054776,6300000,25.31,0.057214163,126,1.1873012,0.0056431633,0.062714,-0.00086215703
19184,1.2411048477888107,63500,6.136262e-05,426.06445264816284,0.9994613211601973,6350000,25.74,0.05726582,127,1.1657101,0.0055312216,0.06294601,-0.0006005348
18657,1.2108541542291642,64000,5.5170374e-05,429.2102210521698,0.9995421193598304,6400000,25.39,0.057242244,128,1.1428906,0.006131774,0.071752,-0.0012562214
18023,1.2047930586338043,64500,5.1151575e-05,432.46977138519287,0.9995664549351204,6450000,25.31,0.05726,129,1.1120574,0.0061171977,0.071947984,-0.0003663608
17544,1.2116654598712921,65000,5.2817155e-05,435.67361640930176,0.9995575484354049,6500000,25.39,0.05727329,130,1.0762862,0.0056058047,0.06314999,-0.0009767235
20710,1.1657136464118958,65500,4.293776e-05,439.0841226577759,0.9996338775963522,6550000,24.87,0.05720977,131,1.0362889,0.006602849,0.080333985,-0.0023032713
20798,1.2385671001672744,66000,6.415174e-05,441.9325270652771,0.9994772442732938,6600000,25.7,0.05733018,132,1.0053535,0.00595603,0.069178,-0.0020806468
20414,1.2062883386015892,66500,5.3284744e-05,444.8173666000366,0.9995603366696741,6650000,25.33,0.05728148,133,0.9663274,0.006097315,0.070678,-0.0014272416
19232,1.1482999294996261,67000,3.545223e-05,447.7888493537903,0.9997002362797502,6700000,24.67,0.0572025,134,0.9192497,0.0066519086,0.07937401,-0.0025362433
20411,1.2020210868120194,67500,5.5161185e-05,450.9609925746918,0.9995530638552736,6750000,25.28,0.057316132,135,0.883122,0.0062605,0.07535,-4.203614e-05
17553,1.2207927948236466,68000,5.8428268e-05,453.88401222229004,0.9995157014636789,6800000,25.49,0.057351124,136,0.8535074,0.006174592,0.07247401,-0.0011965812
19988,1.197917750775814,68500,4.955865e-05,457.15506291389465,0.9995798607706092,6850000,25.24,0.05731567,137,0.81261253,0.00627611,0.074016,-0.0010254445
16448,1.1443300461769104,69000,3.4258148e-05,459.96579337120056,0.9997095707512926,6900000,24.63,0.057195526,138,0.77881277,0.0071879984,0.09097199,-0.0021243002
17469,1.2164288938045502,69500,5.6773955e-05,463.60140085220337,0.9995164804859087,6950000,25.43,0.0573809,139,0.7451223,0.005970074,0.069429986,-0.000785557
18536,1.2300892293453216,70000,6.1661034e-05,467.135853767395,0.9994623193633743,7000000,25.58,0.057429574,140,0.71548265,0.007349268,0.092522,-0.0005250308
17045,1.2172005945444107,70500,5.5916247e-05,470.54415464401245,0.9995292098319624,7050000,25.45,0.057377316,141,0.6933403,0.0066157756,0.081426,-0.0013172884
20424,1.1839326256513596,71000,5.4605156e-05,474.1127736568451,0.9996013093623333,7100000,25.07,0.057355467,142,0.67618674,0.006641832,0.08185202,-0.00010888026
19378,1.1452500063180924,71500,3.585182e-05,477.1773977279663,0.9996728464611806,7150000,24.63,0.057279702,143,0.6521593,0.0070935762,0.087960005,-0.0013050813
16888,1.1955350117385388,72000,7.408242e-05,480.3223235607147,0.9995694298413582,7200000,25.19,0.057387,144,0.6226139,0.006652094,0.08068799,-0.00090001815
18684,1.1997449961304665,72500,5.3319847e-05,483.8632037639618,0.9995411145500839,7250000,25.25,0.05738871,145,0.59564745,0.0069548786,0.08620399,-0.0006135948
19489,1.1682610446214676,73000,4.293865e-05,487.0322515964508,0.9996395085763652,7300000,24.89,0.057352096,146,0.56709975,0.0067140674,0.08151398,-0.0006110002
19641,1.1642829343676566,73500,3.9832554e-05,490.1020085811615,0.9996615542913787,7350000,24.85,0.0573535,147,0.5337555,0.0076594856,0.097866,-0.00034018193
19464,1.1926180666685104,74000,4.9715964e-05,492.90824699401855,0.9995802277117036,7400000,25.16,0.057395577,148,0.5062628,0.0074459543,0.09568402,0.0003554833
19483,1.1796840739250183,74500,4.36529e-05,496.12749671936035,0.9996288709226064,7450000,25.01,0.057385385,149,0.48740277,0.007828176,0.10165399,0.00025399373
23960,1.178398396372795,75000,4.468428e-05,499.1141233444214,0.9996261589112692,7500000,25.0,0.05738797,150,0.46460125,0.006755166,0.083316,-0.00030309634
18703,1.150195785164833,75500,3.480089e-05,501.68888688087463,0.9997075871797279,7550000,24.67,0.057355758,151,0.43916112,0.0071101356,0.08912798,-0.00044836677
19052,1.1399515372514726,76000,3.8144408e-05,504.8929407596588,0.9997478756413329,7600000,24.56,0.057325915,152,0.41016635,0.007216571,0.08964399,-0.00088365306
17598,1.185733201801777,76500,4.950056e-05,508.16487765312195,0.999591531814076,7650000,25.08,0.057440948,153,0.3844636,0.007420999,0.093244016,0.0002117233
17094,1.1620016169548035,77000,3.7678376e-05,511.44378781318665,0.9996830283489544,7700000,24.8,0.057409987,154,0.36496076,0.007338828,0.09363599,-0.00011408531
18018,1.1308551687002182,77500,2.6293194e-05,514.8159093856812,0.9997779562982032,7750000,24.45,0.05731456,155,0.33055672,0.007571768,0.095922,-0.0020122365
19530,1.1983226400613785,78000,5.2173855e-05,518.2804927825928,0.99955669027986,7800000,25.23,0.057457633,156,0.29910117,0.0073896176,0.09419198,-0.000953081
17039,1.1817762762308122,78500,4.686202e-05,521.3766913414001,0.9996103651064914,7850000,25.03,0.057462808,157,0.26832554,0.0075265504,0.09543404,-0.0004897529
16107,1.1395633792877198,79000,2.9036642e-05,524.9060628414154,0.9997535286820494,7900000,24.55,0.05737982,158,0.22509737,0.0072737457,0.088632,-0.0009175587
15773,1.1891001769900322,79500,5.0319377e-05,528.3985290527344,0.9995757057331502,7950000,25.12,0.05750159,159,0.1953258,0.0075643747,0.09791401,-0.000850066
15094,1.180643426179886,80000,4.7137357e-05,531.8567621707916,0.9995927590643987,8000000,25.02,0.057472177,160,0.17584258,0.007820518,0.10130603,-0.00043660082
19521,1.166405788064003,80500,4.2286385e-05,535.8534862995148,0.9996473707724363,8050000,24.87,0.057448447,161,0.15165,0.008109976,0.10554199,0.00029812616
18401,1.111089427471161,81000,1.8080153e-05,539.0990772247314,0.9998458088957705,8100000,24.23,0.05733467,162,0.1258965,0.009512519,0.121252015,-0.0031685266
17121,1.1392595142126083,81500,3.0996784e-05,542.4768710136414,0.9997526217775885,8150000,24.55,0.057412114,163,0.09013761,0.008531806,0.112338,-0.00032049284
20135,1.1726387545466423,82000,4.913787e-05,545.8388767242432,0.9996034034120385,8200000,24.93,0.057498515,164,0.056242805,0.008392425,0.11041,-2.5719967e-06
19214,1.1689850026369095,82500,4.1361298e-05,548.7929713726044,0.9996444529970177,8250000,24.89,0.05748302,165,0.033639207,0.007774308,0.098547995,-0.0002077112
16536,1.1730946332216263,83000,4.4285818e-05,551.9164726734161,0.9996314007730689,8300000,24.94,0.057480708,166,0.019686304,0.0068595638,0.08602199,-0.00058215705
16842,1.1284041070938111,83500,2.5549423e-05,555.5490984916687,0.999786664135172,8350000,24.43,0.05741662,167,-0.0010759813,0.009018062,0.11645604,-0.00059108535
