policy_entropy,approxkl,true_reward,explained_variance,policy_loss,time_elapsed,clipfrac,n_updates,serial_timesteps,fps,ep_len_mean,total_timesteps,value_loss,ep_reward_mean
3.7997098,0.005789574,0.021511301,0.972512299194932,-0.008640042,609.4882302284241,0.06769001,90,45000,8235,65.38,4500000,0.16020517,2.7958052766302717
3.7717927,0.005632109,0.02391943,0.9733133316040039,-0.007646738,616.0356061458588,0.064859994,91,45500,7792,54.13,4550000,0.13963105,2.3772316402668365
3.7403212,0.0057763527,0.019641066,0.9713836349546909,-0.008557582,623.0173056125641,0.065934,92,46000,7945,76.22,4600000,0.15820192,4.258370289114246
3.7194414,0.0054927487,0.02109382,0.9732676353305578,-0.008101959,629.8437914848328,0.06282999,93,46500,8430,61.6,4650000,0.14704609,2.559166683062067
3.7039564,0.005728758,0.017747,0.9717379361391068,-0.007812326,636.2182064056396,0.067632,94,47000,8127,56.99,4700000,0.1738274,2.3039790608700423
3.686727,0.005866741,0.024846429,0.9759249538183212,-0.008111376,642.7162079811096,0.069394,95,47500,8145,70.07,4750000,0.13828853,3.4768208415448316
3.6683462,0.0057467804,0.019828236,0.9748600777238607,-0.00824965,649.3143377304077,0.067959994,96,48000,8118,61.06,4800000,0.14982085,2.6823196809626095
3.644418,0.0061169155,0.02512047,0.9755568280816078,-0.008553147,656.0812990665436,0.07293001,97,48500,7829,73.2,4850000,0.13345349,3.8777227450328793
3.6247635,0.0052795005,0.022354871,0.9728943146765232,-0.0076874085,662.9821083545685,0.059438005,98,49000,8025,73.92,4900000,0.16487873,4.0672496983148445
3.6010067,0.0055168457,0.022808379,0.9760007672011852,-0.0077415984,669.8340775966644,0.062328003,99,49500,8199,71.56,4950000,0.1426459,3.4447042853930907
3.563555,0.0062554334,0.02398093,0.975691283121705,-0.008595725,676.2918272018433,0.07404802,100,50000,8274,76.5,5000000,0.14160036,4.088112832806655
3.536959,0.0061497926,0.027203647,0.9783353563398123,-0.009049279,682.895690202713,0.073132016,101,50500,7950,67.96,5050000,0.1393067,4.214788141048484
3.5209396,0.005968311,0.025069261,0.977953352034092,-0.008121323,689.5185058116913,0.07071799,102,51000,8414,81.29,5100000,0.14653644,4.473407626550252
3.5046384,0.0059875357,0.02550948,0.9779059048742056,-0.008506493,695.8149540424347,0.070893995,103,51500,8242,91.33,5150000,0.14598574,4.454829080110649
3.4872003,0.0056758435,0.021553919,0.9788358081132174,-0.008304189,702.4475762844086,0.065844,104,52000,8511,75.54,5200000,0.13536908,3.8124683255029232
3.4813087,0.005729182,0.026096497,0.9804454483091831,-0.008576339,708.8029458522797,0.067534015,105,52500,7994,70.66,5250000,0.12777211,3.71858978421762
3.46375,0.0057979077,0.026350977,0.982314107939601,-0.008595332,715.5479838848114,0.06695999,106,53000,8028,77.19,5300000,0.12516005,4.328307015596656
3.4395993,0.006084351,0.026589526,0.9815830159932375,-0.008657194,722.2851550579071,0.072404,107,53500,7939,82.99,5350000,0.121001266,3.663507841287101
3.4124851,0.0058678775,0.021205654,0.9781193099915981,-0.008476652,729.1347768306732,0.06822601,108,54000,7892,79.6,5400000,0.13864137,3.552537381401489
3.391312,0.005918808,0.021863403,0.9822345785796642,-0.008478808,736.0150561332703,0.07057998,109,54500,7650,82.64,5450000,0.11241269,3.8485556789205293
3.3713813,0.006091295,0.024135627,0.9801658671349287,-0.008136854,743.0422241687775,0.072602,110,55000,7983,86.42,5500000,0.12763116,4.558663462990153
3.3473196,0.006073403,0.028379444,0.9819519501179457,-0.008517171,749.9327611923218,0.07152799,111,55500,7733,84.79,5550000,0.12633322,4.617393207977584
3.3292174,0.005895929,0.025573023,0.9797582030296326,-0.008787926,756.80810546875,0.069418,112,56000,7804,95.56,5600000,0.13592091,4.648241522945391
3.309421,0.005829681,0.022857366,0.9792028423398733,-0.008215573,763.7321214675903,0.06911401,113,56500,8158,105.31,5650000,0.13106336,4.85523844290823
3.2890644,0.006033158,0.022686573,0.982933534309268,-0.007988543,770.3001902103424,0.07074199,114,57000,8030,103.62,5700000,0.11606866,5.214421774218099
3.2826447,0.006039481,0.024481405,0.9788794908672571,-0.008203309,777.1244983673096,0.07275999,115,57500,7830,114.18,5750000,0.14563385,4.200552571909939
3.2774115,0.006227115,0.024954254,0.9796680510044098,-0.008929264,784.1067073345184,0.075674,116,58000,7812,116.49,5800000,0.14282429,6.0791530148021415
3.2668083,0.0062061204,0.028005628,0.9804644677788019,-0.008801708,790.7949855327606,0.07435999,117,58500,8108,135.09,5850000,0.13147928,6.736303262812908
3.2517984,0.006448781,0.023144307,0.9804782122373581,-0.009033953,797.4795186519623,0.079006,118,59000,7898,142.06,5900000,0.12106576,5.762099251622712
3.2357266,0.0062387423,0.024645105,0.9778501596301794,-0.008397542,804.2965281009674,0.07603,119,59500,8297,168.16,5950000,0.13850662,6.69059994439609
3.2191727,0.0062029515,0.023448257,0.9776747860014439,-0.008576648,810.8617296218872,0.07403601,120,60000,7858,150.63,6000000,0.13169244,5.6721045780301935
3.2049537,0.006367651,0.02422151,0.9780641719698906,-0.008871057,817.7428884506226,0.07762798,121,60500,7987,152.68,6050000,0.1397276,6.038741610465077
3.1914039,0.006221624,0.0282949,0.981781255453825,-0.008777406,824.4348499774933,0.075165994,122,61000,8284,172.69,6100000,0.118593805,7.500267579908105
3.1700683,0.006197597,0.025504582,0.9817077182233334,-0.0089372,831.0723624229431,0.07432799,123,61500,8163,226.34,6150000,0.11104641,7.886137528479448
3.1452563,0.006240653,0.027141683,0.9766269642859697,-0.008826705,837.8197650909424,0.074858,124,62000,8268,223.58,6200000,0.13843305,8.562839394633375
3.126281,0.0060924143,0.029173955,0.9777085352689028,-0.00859892,844.4360754489899,0.072923996,125,62500,7848,236.32,6250000,0.12728377,9.200156574013745
3.1092374,0.0064152954,0.028734466,0.9773990530520678,-0.008803999,851.3135478496552,0.078113995,126,63000,8227,236.08,6300000,0.12208669,8.83534008608869
3.0966272,0.005870204,0.0303542,0.9800840653479099,-0.008625885,857.830334186554,0.06847601,127,63500,7942,292.78,6350000,0.1093292,10.576246680256846
3.0844562,0.0064866566,0.022902718,0.9759618528187275,-0.009494226,864.4911241531372,0.079912,128,64000,8040,288.51,6400000,0.1171687,8.313354529970447
3.0667744,0.0063620843,0.028707612,0.977341378107667,-0.0088511435,871.2967689037323,0.077148005,129,64500,8003,289.83,6450000,0.11380598,9.652419928322269
3.0490174,0.00610674,0.028928403,0.9694406520575285,-0.008839416,877.9998908042908,0.07242999,130,65000,8143,307.16,6500000,0.13902783,9.975625305629274
3.0287662,0.0062973867,0.02679867,0.9763634689152241,-0.009139065,884.6807181835175,0.07509599,131,65500,8290,338.11,6550000,0.1027113,9.404609583900529
3.0129783,0.0059114443,0.027431406,0.9736123625189066,-0.009096469,891.1643335819244,0.069019996,132,66000,7914,305.27,6600000,0.122706816,9.851360513601175
3.0080047,0.0060093505,0.030885717,0.9766657520085573,-0.008575453,898.0701718330383,0.07237801,133,66500,8105,307.61,6650000,0.11010402,10.343187995140688
2.9984467,0.0058308197,0.032776993,0.9779279418289661,-0.00867662,904.5166492462158,0.068638,134,67000,7931,324.04,6700000,0.10332438,11.571635814635066
