value_loss,true_reward,clipfrac,ep_len_mean,time_elapsed,policy_entropy,approxkl,ep_reward_mean,serial_timesteps,total_timesteps,policy_loss,fps,explained_variance,n_updates
0.0003050748,0.08545856,0.28070998,21.07,29062.86740231514,-7.22551,0.022941621,1.1069940295815468,2232500,223250000,-0.0005709981,8240,0.9995567848091014,4465
0.0028701662,0.08476546,0.383358,20.96,29069.31883621216,-7.2218256,0.04561918,1.0838537213206292,2233000,223300000,-0.0012171556,8104,0.9958022776991129,4466
0.0012641225,0.08566199,0.33509403,22.36,29075.96677184105,-7.229756,0.037370015,1.2919250503182411,2233500,223350000,0.0024015075,8022,0.9980385948438197,4467
0.0017198834,0.08508492,0.317428,19.9,29082.767778635025,-7.235933,0.036292158,1.0659834960103034,2234000,223400000,-0.0021731167,8437,0.9973584725521505,4468
0.00022741189,0.08654339,0.25496998,21.64,29089.098239660263,-7.2468605,0.01983604,1.204472335278988,2234500,223450000,-0.0009215161,8381,0.9996720897906926,4469
0.00023258684,0.086379394,0.26438597,21.85,29095.592893600464,-7.2520866,0.021269891,1.2425369942188262,2235000,223500000,-0.00014213657,8041,0.9996822698158212,4470
0.00021868087,0.08529491,0.274304,22.05,29102.261212348938,-7.2494087,0.022119047,1.212020474076271,2235500,223550000,0.0018749174,8463,0.9997006981575396,4471
0.00022584577,0.08648706,0.25496003,20.9,29108.770951986313,-7.2598696,0.020114778,1.2029517358541488,2236000,223600000,-0.0007663852,7923,0.9996900459518656,4472
0.00022823617,0.08616284,0.265156,20.07,29115.67121911049,-7.277301,0.021347746,1.1036339861154556,2236500,223650000,-0.0001976465,8274,0.9996843166882172,4473
0.00021919167,0.08587358,0.26543996,20.48,29122.18944478035,-7.285636,0.021228373,1.069416715502739,2237000,223700000,0.0011278036,8296,0.9997018153371755,4474
0.00022643876,0.08563446,0.26605806,23.38,29128.808129310608,-7.2889137,0.02133683,1.3367045310139656,2237500,223750000,0.0011624072,8284,0.9996916391828563,4475
0.0022368368,0.08514712,0.39992806,19.83,29135.46651148796,-7.284581,0.053051285,1.01027905523777,2238000,223800000,0.0035469423,8159,0.9970009364187717,4476
0.00026321647,0.08457476,0.270868,20.27,29142.221205472946,-7.272033,0.021999689,1.0485222950577735,2238500,223850000,0.00020725673,8062,0.999581110838335,4477
0.0010323414,0.08460825,0.335102,20.4,29148.779476881027,-7.2748823,0.03286387,1.0483696341514588,2239000,223900000,0.0016747834,8252,0.9985464661149308,4478
0.0029409912,0.086083844,0.37768996,21.94,29155.279218912125,-7.279099,0.050757233,1.234898572266102,2239500,223950000,1.892643e-05,8108,0.9956835969351232,4479
0.00283331,0.0867274,0.39550605,21.52,29161.949908018112,-7.2776737,0.04728552,1.1570606863498687,2240000,224000000,0.0025176925,8361,0.996124021243304,4480
0.0003441539,0.08502166,0.28267008,21.87,29168.422276973724,-7.2798376,0.0232373,1.2712977084517478,2240500,224050000,0.0009147498,8363,0.9994502816116437,4481
0.00025593504,0.08660345,0.28565,20.44,29174.86902999878,-7.291604,0.02327972,1.193553079366684,2241000,224100000,0.0017953208,8152,0.9996369691798463,4482
0.00025101827,0.0855184,0.27084005,18.95,29181.25204730034,-7.2896056,0.021933988,0.9197619137167931,2241500,224150000,0.0011631006,8259,0.9996433186752256,4483
0.0009902156,0.086504444,0.325868,22.32,29187.87335395813,-7.285416,0.029839206,1.2388680344820022,2242000,224200000,0.0008314839,8321,0.9984728031558916,4484
0.0014328926,0.08500928,0.344392,21.56,29194.338516950607,-7.288533,0.037831496,1.1674273532629014,2242500,224250000,0.002903987,8582,0.9979377961717546,4485
0.0002437137,0.085643984,0.266372,23.31,29200.715970754623,-7.287382,0.021234034,1.3486271706223487,2243000,224300000,0.00091770175,8542,0.9996271159325261,4486
0.0002274305,0.085560374,0.269044,20.13,29207.219814777374,-7.293411,0.021443063,1.0322551825642585,2243500,224350000,0.0016445182,8295,0.9996831615571864,4487
0.0016085414,0.08616534,0.310948,21.27,29213.700301647186,-7.293779,0.028939607,1.1351072418689727,2244000,224400000,-0.00020241238,8302,0.9980105315335095,4488
0.0012552068,0.08622146,0.32266998,20.63,29220.259227752686,-7.2959414,0.03191694,1.1525303354859353,2244500,224450000,0.0004840568,8545,0.9981581916799769,4489
0.0034163692,0.08515147,0.38538402,22.94,29226.674899339676,-7.297739,0.04591079,1.34533417314291,2245000,224500000,-0.0001834714,8559,0.9950046115554869,4490
0.0023640979,0.08655141,0.399874,21.51,29233.0868268013,-7.2950172,0.04573874,1.0283797293901444,2245500,224550000,0.0015408589,8322,0.9965981882996857,4491
0.0031597211,0.08481503,0.401936,20.3,29239.687589883804,-7.2902293,0.045610324,1.09602731525898,2246000,224600000,0.0018042333,8124,0.9953813077881932,4492
0.00030412202,0.08599787,0.274594,21.4,29246.40218281746,-7.2898664,0.02225231,1.1358008041977883,2246500,224650000,0.0020031375,8301,0.9994878388824873,4493
0.00025370272,0.08644276,0.281262,20.83,29252.837511777878,-7.2953815,0.02272919,1.1379504296183587,2247000,224700000,-0.00010730356,8281,0.9996414899651427,4494
0.004514561,0.084737636,0.445676,20.67,29259.093334913254,-7.2930884,0.07014017,1.055468819439411,2247500,224750000,0.002902259,8475,0.9939957046881318,4495
0.00027802528,0.086394474,0.27598804,19.88,29265.501463651657,-7.2969584,0.022414898,1.1694839581847192,2248000,224800000,0.0006464566,8077,0.9995689838251565,4496
0.00025180448,0.087494306,0.265946,22.33,29272.008861541748,-7.2993097,0.02127427,1.3426769483089447,2248500,224850000,-0.0009777736,8212,0.9996384231199045,4497
0.00024924154,0.08674669,0.26294604,22.73,29278.58434200287,-7.302915,0.021099055,1.4258221924304961,2249000,224900000,0.00056473305,8018,0.999652201164281,4498
0.0014215481,0.08575967,0.32503396,18.33,29285.348955869675,-7.307617,0.033129424,0.9264458334445953,2249500,224950000,-0.00024041347,8115,0.9979468157980591,4499
0.0002540057,0.08573192,0.265456,19.74,29292.088203668594,-7.316245,0.021255014,1.0784155839681626,2250000,225000000,0.00094781106,8148,0.9996526062604971,4500
0.0019705666,0.08582928,0.3529081,19.76,29298.915259599686,-7.317597,0.037084304,1.0700268211960793,2250500,225050000,0.00038405973,8136,0.9972453247755766,4501
