value_loss,true_reward,clipfrac,explained_variance,total_timesteps,ep_len_mean,time_elapsed,ep_reward_mean,policy_loss,fps,serial_timesteps,approxkl,policy_entropy,n_updates
0.1708067,0.018153843,0.060738,0.9625301249325275,4200000,61.77,557.9238674640656,2.748694260442426,-0.0074375565,8155,42000,0.005445201,3.8323984,84
0.16561535,0.018247958,0.060964003,0.9660923182964325,4250000,56.3,564.5615878105164,2.4418653849264955,-0.00790548,8312,42500,0.0053446405,3.80786,85
0.15437198,0.018561857,0.060756,0.9687230698764324,4300000,55.69,571.2314026355743,2.415349685296678,-0.007822219,8447,43000,0.005426541,3.7858377,86
0.1771568,0.0153258005,0.060803995,0.9642104543745518,4350000,58.55,577.6268413066864,2.357558078703005,-0.008048742,8220,43500,0.0054037394,3.761965,87
0.16355509,0.018582521,0.064354,0.969663929194212,4400000,62.47,584.0670628547668,3.0077463390722916,-0.008264803,8336,44000,0.0056251166,3.7369044,88
0.151903,0.017293708,0.061650004,0.970499174669385,4450000,64.73,590.5758943557739,4.111685054849077,-0.008029877,8075,44500,0.0054567866,3.7156348,89
0.15532622,0.025344808,0.061641995,0.9718576408922672,4500000,64.92,597.2072446346283,2.8184386970484048,-0.0080753965,8128,45000,0.005403129,3.7013288,90
0.18147355,0.021369351,0.063055985,0.9666485078632832,4550000,67.58,603.5957732200623,3.446172616784097,-0.007919488,8248,45500,0.005450553,3.6877236,91
0.16163561,0.020494688,0.06488199,0.9700758457183838,4600000,61.65,610.0664687156677,3.179260254116962,-0.0080209235,7995,46000,0.0056409347,3.6654623,92
0.17496094,0.022043072,0.06521799,0.9666350744664669,4650000,73.05,616.6764349937439,3.920800827417843,-0.007932741,8201,46500,0.005597992,3.6527348,93
0.14465481,0.021980088,0.06443,0.9744639303535223,4700000,71.89,623.2576787471771,4.169310175150458,-0.0077852923,8228,47000,0.005614558,3.6347134,94
0.162882,0.021863423,0.060414,0.9710526186972857,4750000,67.32,629.8277969360352,4.105328795522655,-0.008180692,7845,47500,0.005399096,3.605692,95
0.14803416,0.02093128,0.071766,0.9726734776049852,4800000,67.73,636.781938791275,2.9280000762898273,-0.008284646,8083,48000,0.006045194,3.5820506,96
0.14899862,0.02025872,0.06797599,0.9717255067080259,4850000,73.67,643.4780035018921,3.9170011123189763,-0.0076929345,8052,48500,0.0058614104,3.5543456,97
0.14789666,0.019638123,0.064394,0.9730515908449888,4900000,72.61,650.3150413036346,3.156599343261405,-0.008398499,7838,49000,0.005631936,3.5365982,98
0.13809747,0.020031204,0.06286601,0.9753047525882721,4950000,63.84,656.9821088314056,3.396518458931132,-0.007846631,8180,49500,0.0054968717,3.5219762,99
0.15365288,0.01966187,0.06615,0.974788598716259,5000000,62.29,663.4116168022156,2.857088712292316,-0.008193459,7869,50000,0.00568339,3.504502,100
0.1450826,0.022607662,0.07014,0.9755424112081528,5050000,65.41,670.1761765480042,3.758916734041413,-0.008163726,7993,50500,0.0059738695,3.481431,101
0.14378162,0.023845268,0.071749985,0.9753897096961737,5100000,71.95,676.9648904800415,4.119479100262979,-0.008041144,7959,51000,0.00600872,3.4616044,102
0.16092084,0.02059978,0.06689601,0.9703424051403999,5150000,77.52,683.6777312755585,4.377481191307598,-0.008420276,8117,51500,0.005733049,3.4419553,103
0.13867962,0.02155251,0.07628799,0.9764536712318659,5200000,72.03,690.3546516895294,4.223733056713245,-0.008799937,8200,52000,0.006305297,3.4246545,104
