true_reward,value_loss,policy_loss,fps,approxkl,ep_reward_mean,n_updates,policy_entropy,explained_variance,time_elapsed,clipfrac,ep_len_mean,serial_timesteps,total_timesteps
0.14831766,0.0011701928,-0.0002946591,8013,0.026968129,4.339258702407633,8388,-8.079028,0.9997979283798486,56277.4827709198,0.30800197,44.4,4194000,419400000
0.15198673,0.0012137202,0.0019027445,7952,0.027437506,6.57091321897864,8389,-8.08422,0.999795412455569,56284.22953629494,0.313856,56.49,4194500,419450000
0.15037896,0.001049007,0.001559916,7920,0.02836303,4.7982692776252955,8390,-8.084923,0.99983234120009,56291.10168671608,0.31819007,48.8,4195000,419500000
0.15132257,0.0012579508,0.0018859042,8121,0.030677583,5.153841787776469,8391,-8.073252,0.9997863037424395,56297.84758806229,0.33252606,50.17,4195500,419550000
0.14958715,0.0010743798,0.0016478183,7989,0.025708983,4.332016788944929,8392,-8.070085,0.9998212906939443,56304.4727473259,0.30342,42.38,4196000,419600000
0.14743939,0.0013852775,0.0035229707,8171,0.028998017,4.266373050973871,8393,-8.069583,0.9997778010438196,56311.10177755356,0.32307,47.34,4196500,419650000
0.15164988,0.0012298956,0.004025439,8187,0.02840095,5.332514938511504,8394,-8.066719,0.9997850469517289,56317.65710783005,0.31990397,49.51,4197000,419700000
0.14826652,0.0012166975,0.0020001873,7910,0.028270533,5.7453932753324075,8395,-8.062273,0.9997875338594895,56324.33518457413,0.315284,52.43,4197500,419750000
0.15095282,0.0011426139,0.0024122742,8416,0.028078593,5.402060472926096,8396,-8.063338,0.999807696469361,56331.16757774353,0.319618,50.02,4198000,419800000
0.14828266,0.0010913657,0.0009992206,8012,0.02737733,5.637098798076752,8397,-8.070441,0.9998061157821212,56337.598521232605,0.313396,51.92,4198500,419850000
0.14932448,0.0013545831,0.0017477871,8086,0.027120009,5.199308965668279,8398,-8.068571,0.9997725547145819,56344.36566185951,0.309802,50.9,4199000,419900000
0.14888793,0.0010913785,0.0012206968,7908,0.02758491,4.6708766934962656,8399,-8.062307,0.9998094522889005,56350.92076063156,0.3142,48.34,4199500,419950000
0.14415576,0.0012124911,0.0015787692,8178,0.028042935,3.8084231518475145,8400,-8.059334,0.9998057935590623,56357.67983388901,0.31604803,44.08,4200000,420000000
0.1484941,0.006039471,0.0012553261,8067,0.042146225,5.614423314035866,8401,-8.065856,0.9992445316165686,56364.171942949295,0.34725606,52.01,4200500,420050000
0.14754757,0.0012039248,-2.167414e-05,7641,0.02574155,6.378448201241672,8402,-8.068577,0.9997842710436089,56370.59997987747,0.29994205,56.53,4201000,420100000
0.15245584,0.001065993,0.00075586035,8296,0.026313307,4.984275829389535,8403,-8.0585,0.9998105973645579,56377.598315000534,0.301592,46.46,4201500,420150000
