policy_entropy,value_loss,serial_timesteps,n_updates,total_timesteps,policy_loss,clipfrac,explained_variance,ep_len_mean,ep_reward_mean,time_elapsed,approxkl,fps,true_reward
5.0967875,0.4255959,44500,89,4450000,-0.0013354573,0.021736,0.36179429292678833,21.36,-1.8385352333376068,388.86496329307556,0.0026834498,11190,-0.31541297
5.089123,0.40548524,45000,90,4500000,-0.0015441158,0.02734,0.34925001859664917,24.17,-2.0652871965753548,393.3939678668976,0.0030454404,11397,-0.31317312
5.079085,0.41176623,45500,91,4550000,-0.0012269651,0.023063999,0.3890008330345154,26.0,-2.203968838232745,397.8434491157532,0.0025958633,10327,-0.31036687
5.069096,0.39560774,46000,92,4600000,-0.0011411797,0.013293999,0.41492074728012085,25.97,-1.8865461957811749,402.7425720691681,0.0020531863,11916,-0.30802327
5.058198,0.3785333,46500,93,4650000,-0.0011691811,0.020576,0.45686012506484985,23.51,-2.0958646605932882,407.0057373046875,0.0027428295,11259,-0.30877417
5.049586,0.37099814,47000,94,4700000,-0.0010708153,0.018032001,0.43980324268341064,23.9,-1.992796056685911,411.5185720920563,0.0024897696,10507,-0.3109135
5.04284,0.3488409,47500,95,4750000,-0.0011952863,0.010976,0.4784148931503296,21.74,-1.6130936079117963,416.3364841938019,0.0018963128,12716,-0.30851445
5.0348425,0.33608192,48000,96,4800000,-0.0012918971,0.018518,0.5097462832927704,21.67,-1.420785396545034,420.343777179718,0.002424447,10675,-0.30455372
5.0273924,0.31247985,48500,97,4850000,-0.0011894696,0.014041999,0.538970559835434,21.88,-1.5353095997636956,425.09658789634705,0.0020926367,11628,-0.30478346
5.0164747,0.2980445,49000,98,4900000,-0.0013587435,0.022057999,0.5721168518066406,22.13,-1.5637909280794202,429.4622371196747,0.0026697118,11150,-0.30443558
5.006963,0.3002756,49500,99,4950000,-0.001051384,0.016204,0.5581622421741486,22.1,-1.3150238786896624,434.02093529701233,0.0024344753,11615,-0.30792317
4.995034,0.31099296,50000,100,5000000,-0.0011604808,0.016784001,0.54391810297966,20.29,-1.8583835862617162,438.386173248291,0.0023963354,12303,-0.3076555
4.9827676,0.27663523,50500,101,5050000,-0.0011569371,0.01256,0.5961005687713623,22.02,-1.3669385229577165,442.5104455947876,0.0018616596,11711,-0.30468893
4.973481,0.3047362,51000,102,5100000,-0.0011035441,0.01498,0.5516095459461212,18.74,-1.462696593685364,446.8396384716034,0.0023213045,12061,-0.3116854
4.9684095,0.28862533,51500,103,5150000,-0.0012694425,0.017026002,0.5831142961978912,19.29,-1.5151373761889408,451.0570845603943,0.002231849,12217,-0.30732167
4.962882,0.27965254,52000,104,5200000,-0.0011019269,0.016086001,0.5871388018131256,19.82,-1.2663819373311571,455.2134470939636,0.002415537,11528,-0.30638534
4.9561872,0.28697732,52500,105,5250000,-0.0013443197,0.018582,0.5844470858573914,22.96,-1.5394145087311153,459.6201272010803,0.0025272018,11360,-0.30633265
4.9455414,0.26096922,53000,106,5300000,-0.0013537552,0.021076,0.6160666346549988,19.96,-1.222968552451057,464.08218026161194,0.0027194552,12009,-0.30473602
4.935316,0.24999201,53500,107,5350000,-0.0010824811,0.00973,0.6411257386207581,24.44,-1.6324808474547716,468.3136010169983,0.0016406499,12309,-0.29987416
4.9257326,0.25755998,54000,108,5400000,-0.0012489178,0.017744001,0.6462718844413757,20.1,-1.5202635705144347,472.43857526779175,0.00243837,12293,-0.3015045
4.913961,0.26932752,54500,109,5450000,-0.0011305964,0.011678,0.6451017260551453,21.15,-1.2844582811920555,476.56626415252686,0.0018557279,11748,-0.2993091
4.903163,0.23905554,55000,110,5500000,-0.0012558703,0.014773999,0.6764167845249176,22.72,-1.5528057363495464,480.88088631629944,0.0021651872,11898,-0.29802588
4.8905225,0.25406164,55500,111,5550000,-0.0017153223,0.025914002,0.6634129583835602,21.03,-1.4742605315829131,485.14470386505127,0.003035416,11810,-0.29931515
4.8749695,0.2220681,56000,112,5600000,-0.0010718772,0.00968,0.6950764656066895,22.75,-1.4694519864254836,489.4389088153839,0.0018210321,11409,-0.29684213
4.8618913,0.2650456,56500,113,5650000,-0.0014374868,0.012372,0.6740989089012146,22.53,-1.3541556694521568,493.90960597991943,0.001993219,11614,-0.29948804
4.848034,0.22808857,57000,114,5700000,-0.0011846672,0.019218,0.7042577564716339,21.56,-1.3312025316528162,498.2746248245239,0.0026643414,11844,-0.29346994
4.8331575,0.22862211,57500,115,5750000,-0.0015608275,0.024032,0.7174797654151917,19.1,-0.9430032452827981,502.5581007003784,0.0028895838,11354,-0.2945427
4.820695,0.24445423,58000,116,5800000,-0.0015602119,0.018364001,0.6986678540706635,22.72,-1.4737055180389143,507.02997064590454,0.0023863981,11215,-0.29557884
4.812149,0.23942547,58500,117,5850000,-0.0016543329,0.023054,0.706645131111145,20.05,-1.3051244788879375,511.55148458480835,0.002763669,11291,-0.29554904
4.805235,0.21059458,59000,118,5900000,-0.0015032188,0.027864,0.7520322203636169,22.2,-1.3178348222770593,516.0432250499725,0.003139808,11660,-0.29029554
4.7952976,0.22781841,59500,119,5950000,-0.0011522865,0.01644,0.7325291037559509,24.67,-1.324103294714496,520.3955338001251,0.0024172303,12206,-0.2887341
4.7853146,0.23172572,60000,120,6000000,-0.0015165524,0.023184,0.730038583278656,22.7,-1.1231888778557733,524.5524942874908,0.002901735,11050,-0.2914417
4.7746477,0.22655287,60500,121,6050000,-0.0014115686,0.016234,0.7456246018409729,25.4,-1.6404105295917908,529.1484529972076,0.0022567776,12197,-0.28699017
4.7664247,0.22349438,61000,122,6100000,-0.0012279565,0.019674,0.7411322891712189,26.68,-1.4053391812921472,533.3134489059448,0.0026927984,11559,-0.28739452
4.755415,0.17752016,61500,123,6150000,-0.0017862096,0.030068,0.7906294167041779,29.57,-1.5424757080148992,537.6997065544128,0.0033095635,11421,-0.27981037
4.743127,0.19815038,62000,124,6200000,-0.0015218358,0.018864,0.7765531837940216,24.93,-1.4140230488110364,542.1387710571289,0.0024183022,11773,-0.2829728
4.7324095,0.1975421,62500,125,6250000,-0.0016610029,0.029128,0.784642681479454,26.37,-1.1254464479459967,546.4549522399902,0.0031867854,11139,-0.2808637
4.7236395,0.2190868,63000,126,6300000,-0.0014682449,0.024278,0.7673467695713043,28.56,-1.7787546331663544,551.0125796794891,0.0028035003,11643,-0.28101718
4.714224,0.20685704,63500,127,6350000,-0.001271969,0.022839999,0.7838776111602783,30.72,-1.4465158379036256,555.3710045814514,0.0028041652,11248,-0.2750329
4.704771,0.1936554,64000,128,6400000,-0.0012655205,0.021230001,0.7867581099271774,28.54,-1.6627501223104628,559.8862540721893,0.002584667,11359,-0.27935964
4.6974926,0.20120716,64500,129,6450000,-0.0011932227,0.013278,0.7917016297578812,27.42,-1.0836065536201023,564.3532984256744,0.0022727388,11485,-0.27534828
4.690355,0.18004589,65000,130,6500000,-0.0013616874,0.0136979995,0.8183595389127731,29.62,-1.4568865170214123,568.7671363353729,0.0018923559,11144,-0.27024266
4.6802135,0.20491858,65500,131,6550000,-0.001744126,0.028792,0.7980971485376358,29.14,-1.2121859446619054,573.3401114940643,0.0031459476,11813,-0.27491727
4.670976,0.20557126,66000,132,6600000,-0.0015069904,0.0149880005,0.7925420105457306,25.49,-1.3166232789573769,577.6355550289154,0.0023171776,10483,-0.2751294
4.659423,0.19425261,66500,133,6650000,-0.0017054115,0.02527,0.8064129799604416,26.82,-1.1699569818127202,582.4659345149994,0.0029838216,11695,-0.27231878
4.648313,0.20974295,67000,134,6700000,-0.0013474713,0.026392002,0.7945315986871719,26.78,-1.0320716399772756,586.8000538349152,0.0029391088,11807,-0.2717096
4.6365886,0.18615362,67500,135,6750000,-0.0015146062,0.017924,0.8242748975753784,24.48,-1.2456244685204547,591.1017408370972,0.002495441,11511,-0.2663604
4.6239634,0.18801603,68000,136,6800000,-0.001803919,0.028948003,0.8286785185337067,23.85,-0.9604841030542411,595.5045263767242,0.0031572755,11974,-0.26862368
4.610217,0.17876445,68500,137,6850000,-0.0017104866,0.025568,0.8307249397039413,25.87,-1.2464975791249753,599.7396221160889,0.0029294011,11588,-0.2677766
4.5998273,0.22382617,69000,138,6900000,-0.0013299503,0.018989999,0.8037516176700592,25.74,-1.0961973443276656,604.1238007545471,0.0024307682,10599,-0.26685274
4.5927076,0.17772797,69500,139,6950000,-0.0016584325,0.028032,0.8400459587574005,27.8,-1.1317195990499749,608.9073131084442,0.0030877353,11352,-0.2611978
4.5864954,0.20785639,70000,140,7000000,-0.0018011462,0.02813,0.8237264305353165,25.21,-1.0553374425858237,613.3695788383484,0.0029429183,11537,-0.26326847
4.57788,0.18890613,70500,141,7050000,-0.0016973537,0.02396,0.8380988836288452,25.86,-1.1773248778776177,617.7636840343475,0.0029597986,10666,-0.26032242
4.568434,0.16752866,71000,142,7100000,-0.0017420028,0.029492002,0.8602694422006607,25.4,-1.137684215781992,622.5112972259521,0.0032127176,11223,-0.25967595
4.5593367,0.22419217,71500,143,7150000,-0.0016522163,0.023768,0.8248210549354553,28.6,-1.2028810260745921,627.0294406414032,0.0027193604,11697,-0.25623813
4.54861,0.1895042,72000,144,7200000,-0.0017589483,0.022542,0.8443214744329453,26.03,-0.9693778995564025,631.3671164512634,0.0027571365,11489,-0.2581961
4.5360136,0.20964178,72500,145,7250000,-0.001259884,0.018463999,0.8427058458328247,28.18,-1.0875446385582472,635.779706954956,0.0024432666,11514,-0.25516763
4.524524,0.20277865,73000,146,7300000,-0.002162634,0.03158,0.8489033281803131,30.84,-0.983570974002514,640.1833453178406,0.0032992992,11124,-0.25349313
4.5105515,0.23151577,73500,147,7350000,-0.0019194769,0.027818,0.833457425236702,28.7,-1.0552225653217464,644.738926410675,0.0030468623,10651,-0.24893062
4.4962254,0.22323701,74000,148,7400000,-0.0015552678,0.022084,0.8357619196176529,29.16,-0.9705255278010009,649.4937200546265,0.002682285,11083,-0.2527401
4.484837,0.24319057,74500,149,7450000,-0.0010930635,0.0129120005,0.8241567015647888,29.15,-1.1075029448445093,654.0669233798981,0.0020772386,11620,-0.25191155
4.4735556,0.22123842,75000,150,7500000,-0.0024625394,0.033804,0.8352887332439423,28.36,-0.9019989460652869,658.4338712692261,0.0034893781,11299,-0.2546431
4.4557076,0.23305078,75500,151,7550000,-0.001842035,0.029328,0.8362015783786774,28.63,-1.1264444432804748,662.9183509349823,0.002970328,11785,-0.24902892
4.4394207,0.25064582,76000,152,7600000,-0.0017167379,0.02167,0.8397832065820694,29.86,-1.172034980389053,667.2327656745911,0.0026981689,11405,-0.24474174
4.422723,0.20041654,76500,153,7650000,-0.001883718,0.029776001,0.8665908873081207,30.15,-1.137927595063288,671.675538778305,0.0032611582,10576,-0.2436133
4.4069896,0.22860458,77000,154,7700000,-0.001802156,0.024095997,0.8569567054510117,27.7,-0.4330377765313824,676.4610130786896,0.002627857,10472,-0.2421521
4.3948183,0.26116204,77500,155,7750000,-0.0016564745,0.020094,0.8431154638528824,30.95,-1.0063242975820867,681.2962257862091,0.0027008273,11430,-0.24274834
4.381761,0.24202546,78000,156,7800000,-0.0021318216,0.038650002,0.8492661565542221,27.48,-1.0893313855788664,685.729282617569,0.0037628498,12283,-0.24419498
4.3691387,0.25235426,78500,157,7850000,-0.0019862219,0.029419998,0.8538765460252762,31.47,-0.8630930182630072,689.8616364002228,0.0031117797,11782,-0.23731795
4.360244,0.27120775,79000,158,7900000,-0.0016725927,0.024318,0.8419958204030991,29.59,-1.3877450060491539,694.174816608429,0.0028252318,12215,-0.24432498
