approxkl,fps,n_updates,ep_len_mean,clipfrac,total_timesteps,serial_timesteps,value_loss,ep_reward_mean,policy_loss,explained_variance,true_reward,time_elapsed,policy_entropy
0.007171883,8286,118,88.75,0.09141198,5900000,59000,0.00071375933,19.779062747098507,-0.00041809064,0.9999459187602042,0.2456508,759.8189036846161,2.3334472
0.007452303,8234,119,88.3,0.09544802,5950000,59500,0.0005344574,19.571194697413592,-0.00057010306,0.9999554749811068,0.24506707,766.2821552753448,2.3101935
0.006802223,8369,120,87.96,0.085078,6000000,60000,0.0005197768,19.402292694300414,-0.00033511515,0.9999556744987785,0.244899,772.8373022079468,2.2847574
0.0073471027,8309,121,88.17,0.09494199,6050000,60500,0.00053838437,19.506972698420284,-0.0013209677,0.9999580526236969,0.24521205,779.3388497829437,2.256464
0.0072143762,8587,122,88.54,0.091138,6100000,61000,0.00058167154,19.710763634424655,-0.00030972104,0.9999505579689867,0.2455675,785.9014167785645,2.2264557
0.0073922155,8104,123,88.1,0.09494399,6150000,61500,0.00048060028,19.520178105253727,0.0002442767,0.9999589468643535,0.24528734,792.2683627605438,2.2013035
0.006163289,8097,124,88.26,0.07298401,6200000,62000,0.00051723095,19.578453447911887,-0.00031927938,0.9999606277706334,0.24536638,798.9292223453522,2.175733
0.0073194318,8514,125,88.09,0.0912,6250000,62500,0.0005391714,19.50587435953319,-0.00096569344,0.9999509644367208,0.245312,805.6336793899536,2.138929
0.009522539,8212,126,88.19,0.126426,6300000,63000,0.00063518964,19.569073357991876,0.0012491667,0.9999559740354016,0.24542601,811.937087059021,2.1166668
0.0074101924,8306,127,88.64,0.09443999,6350000,63500,0.00064484164,19.7887231047079,-0.0006243932,0.999957252151944,0.24595115,818.627117395401,2.0941892
0.00793495,8141,128,88.84,0.10367597,6400000,64000,0.00061526755,19.88105255210772,0.0008326493,0.9999496877353522,0.24611677,824.9254846572876,2.0731542
0.0075119953,8010,129,88.58,0.09591201,6450000,64500,0.0006186349,19.75364981042221,6.782462e-05,0.9999525906932831,0.24593285,831.3738186359406,2.05017
0.0067853485,8506,130,88.85,0.085393995,6500000,65000,0.00084211305,19.881248412970454,0.00026273835,0.9999481423801626,0.24615541,837.9672737121582,2.025423
0.0073235007,7914,131,88.88,0.093982026,6550000,65500,0.0006188567,19.91416060298681,5.7521676e-05,0.999949192180793,0.246186,844.2787470817566,2.0100436
0.007923561,8413,132,88.6,0.102496,6600000,66000,0.00052852125,19.795330625772475,-0.00028047766,0.9999558980198344,0.24576263,850.9134087562561,1.9906508
0.008174727,8577,133,88.67,0.10887601,6650000,66500,0.0004782184,19.80882559331134,-0.00019848246,0.9999605110060656,0.24564606,857.3875780105591,1.9668531
0.0073025064,8426,134,88.69,0.093356,6700000,67000,0.0005232645,19.817849764917046,-0.0007773728,0.9999584867764497,0.24550602,863.757818698883,1.9444276
0.007676904,8250,135,88.45,0.098376,6750000,67500,0.00057623675,19.719292607661338,-0.0002544361,0.9999574469620711,0.24573512,870.31640625,1.9224299
0.008291054,8364,136,88.29,0.10943599,6800000,68000,0.00047530726,19.64758824326098,-0.00018947312,0.9999606735182169,0.2455731,876.8918077945709,1.8969852
0.007403917,8695,137,88.43,0.09446603,6850000,68500,0.00046987404,19.704395494759083,-0.00041860927,0.9999587942693324,0.24557264,883.453638792038,1.8713459
0.008869859,8038,138,88.35,0.11659002,6900000,69000,0.0004665574,19.674104964360595,0.00014388167,0.9999574829453195,0.24532957,889.5941367149353,1.8556371
0.009042156,8399,139,87.77,0.11999998,6950000,69500,0.0004407207,19.413557763602583,-0.00014247942,0.9999648277698725,0.24500358,896.1857249736786,1.8304378
0.0075032506,8422,140,87.74,0.097125985,7000000,70000,0.0004787905,19.41880894860253,-0.0001233421,0.9999666894145776,0.24533862,902.5364518165588,1.8069719
0.008232657,8450,141,88.32,0.10640799,7050000,70500,0.00072608836,19.68261569786817,0.00092662073,0.9999340155627578,0.24587053,908.9267764091492,1.7895236
0.0064810687,8535,142,87.84,0.07832399,7100000,71000,0.00056714145,19.467777864933012,-0.00032634896,0.9999498421238968,0.24538377,915.3592767715454,1.7799164
0.008716256,8762,143,88.15,0.116720006,7150000,71500,0.00050440367,19.611250429358332,0.00091597356,0.9999597681307932,0.24575137,921.6159422397614,1.7627764
0.00801895,8282,144,88.51,0.10471998,7200000,72000,0.0005095164,19.777226573023945,0.00032378684,0.9999575231886411,0.24605955,927.7034413814545,1.7354411
0.007964625,8453,145,88.18,0.10282799,7250000,72500,0.0005164499,19.601259213928135,0.0007519589,0.9999601167437504,0.2457831,934.2737700939178,1.7133671
0.00942424,8346,146,88.2,0.125054,7300000,73000,0.0004392963,19.622077376190575,0.0007258645,0.999963365648,0.24588476,940.8611047267914,1.6912715
0.008403423,8229,147,88.4,0.107757986,7350000,73500,0.0008943223,19.675909389853476,0.0007175123,0.9999591505111312,0.24587068,947.2931265830994,1.6670101
