serial_timesteps,policy_loss,approxkl,ep_reward_mean,n_updates,fps,ep_len_mean,explained_variance,true_reward,total_timesteps,clipfrac,value_loss,policy_entropy,time_elapsed
1246500,0.0035607722,0.1556928,36.48646580163134,2493,9944,470.43,0.98044160194695,0.048414756,124650000,0.469194,0.3645212,-4.046396,13755.683770179749
1247000,0.0026114348,0.17608124,35.084733379269146,2494,9934,466.73,0.9838053528219461,0.044035405,124700000,0.43730193,0.29791766,-4.0633717,13761.198934793472
1247500,-0.0009586036,0.1251258,33.57128297874855,2495,9887,453.35,0.9662244580686092,0.031165117,124750000,0.37224603,0.8320372,-4.056632,13766.660143852234
1248000,0.0048178267,0.16468973,34.49945568188072,2496,9874,460.62,0.9804016705602407,0.038715675,124800000,0.37491202,0.4221296,-4.061484,13772.166524887085
1248500,-0.0011571655,0.091439955,35.679155415986855,2497,9925,460.87,0.9787829592823982,0.03978584,124850000,0.3784699,0.4806294,-4.0560913,13777.814486980438
1249000,0.0015784625,0.11499181,36.302557029773794,2498,9937,464.2,0.9797301646322012,0.043597143,124900000,0.42989993,0.3988357,-4.0640864,13783.092354774475
1249500,-0.0005460249,0.147996,34.46392370967829,2499,9883,456.35,0.9768123533576727,0.036905088,124950000,0.4503219,0.5200517,-4.0624733,13788.601968288422
1250000,0.0019286376,0.23418455,36.312799613180644,2500,9903,463.2,0.9872207986190915,0.04222927,125000000,0.41961396,0.26345786,-4.0821605,13794.107189416885
1250500,0.00242453,0.14251633,33.318979780583646,2501,9883,463.26,0.9767504781484604,0.037469115,125050000,0.394222,0.49848205,-4.0905385,13799.572516202927
1251000,-0.0020126835,0.16326252,34.41358122414378,2502,9910,454.25,0.9813103266060352,0.031906504,125100000,0.343932,0.47047383,-4.1133347,13805.243732452393
1251500,0.0035979713,0.10260862,37.35955635619623,2503,9896,474.38,0.9824897032231092,0.054878537,125150000,0.44117406,0.25496647,-4.098732,13810.82552409172
1252000,-0.0006055838,0.106670894,35.22376554730141,2504,9949,463.38,0.981276948004961,0.04041621,125200000,0.37520805,0.38983077,-4.089586,13816.408341884613
1252500,0.0012168329,0.1527924,35.393722621961984,2505,9908,464.06,0.9712149146944284,0.042878743,125250000,0.43881598,0.5633723,-4.0793953,13821.897885084152
1253000,-0.0003581205,0.14960831,34.78751210697712,2506,9942,452.03,0.9833967201411724,0.03169009,125300000,0.32264793,0.41649953,-4.070158,13827.31866812706
1253500,0.004872266,0.11565433,36.01748924984298,2507,9919,467.16,0.9862422244623303,0.045273677,125350000,0.4814519,0.26088357,-4.0442586,13832.846658945084
1254000,0.0038149743,0.29692551,37.14301083083986,2508,9975,465.42,0.9837769903242588,0.046539854,125400000,0.387098,0.30540207,-4.0347466,13838.446984052658
1254500,0.0011553423,0.07648982,36.16657800155247,2509,9975,468.18,0.9761108346283436,0.04603823,125450000,0.42351195,0.45764774,-4.044472,13843.86927652359
1255000,0.0041570617,0.14508243,34.704805059302956,2510,9936,466.45,0.9815424736589193,0.043071885,125500000,0.46693194,0.35616454,-4.0381303,13849.48034286499
1255500,0.0114787035,0.17967376,36.64567695179919,2511,9950,465.02,0.985073197633028,0.045843102,125550000,0.4308721,0.27784735,-4.0226274,13854.990648984909
1256000,-0.00019724708,0.11778591,35.42609167982717,2512,9915,460.46,0.9833803083747625,0.039821114,125600000,0.37676594,0.36792767,-3.9986548,13860.603464841843
1256500,-0.0022310065,0.17729451,38.22575401032862,2513,9958,469.96,0.9767847880721092,0.052379824,125650000,0.36366794,0.3772165,-4.018213,13866.307392597198
1257000,4.975099e-05,0.1486191,34.64741665604319,2514,9932,465.41,0.974073976278305,0.04127719,125700000,0.42477393,0.54466075,-4.0517964,13871.786694049835
1257500,0.001805345,0.15145515,37.27497682404293,2515,9889,473.63,0.9846154134720564,0.052710377,125750000,0.4423861,0.2334143,-4.075837,13877.270716667175
1258000,0.0001783923,0.08838855,33.98526808629808,2516,9985,458.87,0.985644587315619,0.035225548,125800000,0.36785802,0.31443402,-4.0437093,13882.868365764618
1258500,0.0018986249,0.09918281,35.76980570715683,2517,9927,467.66,0.9799204487353563,0.0452043,125850000,0.39031208,0.3757619,-4.031142,13888.355256557465
1259000,0.0009597607,0.11961176,37.36018681539093,2518,9935,474.59,0.9747873861342669,0.05527561,125900000,0.3941959,0.37216952,-4.0196047,13893.933319091797
1259500,3.6348887e-05,0.09818765,36.489058058552615,2519,9923,472.87,0.9856592649593949,0.052157022,125950000,0.45648208,0.21948002,-4.01724,13899.554399967194
1260000,0.0015691917,0.08083767,37.21760307143859,2520,9866,471.04,0.9842535331845284,0.05147487,126000000,0.42810184,0.25941917,-4.0098515,13905.126940488815
1260500,-0.0013182804,0.19519287,36.35620884130168,2521,9912,467.81,0.9845390096306801,0.046542622,126050000,0.4441199,0.27185056,-4.0387864,13910.79651093483
1261000,0.004711169,0.09791578,34.436891759079806,2522,9904,472.95,0.984453434124589,0.0467888,126100000,0.41265205,0.2650775,-4.052206,13916.321399211884
1261500,0.00071754144,0.16666962,35.33770584976988,2523,9898,474.6,0.9800314623862505,0.050010126,126150000,0.37231797,0.33561096,-4.054445,13921.792668581009
1262000,0.0008024392,0.08542782,37.23605071216217,2524,9888,470.04,0.9837907496839762,0.05206343,126200000,0.41419002,0.25677454,-4.07328,13927.447314023972
1262500,0.0014383618,0.20573138,35.179858800087274,2525,9919,463.72,0.9823821764439344,0.041846793,126250000,0.38391805,0.34135735,-4.0704575,13932.784322977066
1263000,0.005343642,0.11610705,37.668725445746766,2526,9902,488.46,0.9852052228525281,0.0659689,126300000,0.43159997,0.1275842,-4.0666027,13938.049914598465
1263500,-0.002078937,0.17252427,35.74194831033414,2527,9874,460.88,0.9713388215750456,0.03937176,126350000,0.37410808,0.6512964,-4.0460987,13943.697953224182
1264000,-0.0005108442,0.30096778,35.2896889496768,2528,9922,462.87,0.978111632168293,0.040884327,126400000,0.34280202,0.45594364,-4.043794,13949.224504232407
1264500,0.0014218368,0.13801618,35.09077058071776,2529,9916,460.86,0.9918084088712931,0.038702928,126450000,0.36751798,0.17159127,-4.040069,13954.601413965225
1265000,-0.0014112531,5.6285386,35.982928005055925,2530,9968,470.5,0.9586584605276585,0.04566937,126500000,0.284964,0.85580575,-4.0424666,13959.99015879631
1265500,-0.0029231356,0.11015892,35.23500795235794,2531,9917,470.28,0.9760564919561148,0.04606444,126550000,0.36117,0.46398377,-4.0843062,13965.452759027481
1266000,0.0026088005,0.12547286,38.02629237252438,2532,9943,471.85,0.9916677800938487,0.05357081,126600000,0.44504002,0.12299528,-4.103065,13971.00356912613
1266500,0.0009867199,0.12289411,37.20535866729013,2533,9926,470.3,0.9840135425329208,0.05147255,126650000,0.42439383,0.2691306,-4.0738063,13976.620616197586
1267000,-0.002058267,1.2832582,35.12855763901332,2534,9955,476.68,0.9353089556097984,0.048015118,126700000,0.3414661,1.2720457,-4.092415,13982.199241638184
1267500,-0.0030299274,0.15949085,33.696884056820444,2535,9921,457.06,0.9770310875028372,0.03304935,126750000,0.37785608,0.5499964,-4.1223235,13987.489099025726
1268000,0.0002927604,0.10218805,33.819674041306044,2536,9911,469.89,0.9871277073398232,0.04243868,126800000,0.38825202,0.253094,-4.154511,13993.039907693863
1268500,-0.0026196712,0.23608871,34.586409547349405,2537,9945,462.98,0.9802622608840466,0.03805896,126850000,0.328282,0.42938274,-4.176378,13998.519012928009
1269000,-0.00011035256,0.123413175,35.06969278839715,2538,9936,463.49,0.988392997533083,0.041209374,126900000,0.36780205,0.24240601,-4.1848006,14004.086928367615
1269500,-0.001438332,0.16322348,34.87826937885876,2539,9917,463.23,0.9584113098680973,0.038716912,126950000,0.42561394,0.93777496,-4.1692214,14009.543993234634
1270000,0.0043542376,0.31262666,35.175294707406735,2540,9910,465.4,0.9814123641699553,0.042999256,127000000,0.44060603,0.3496135,-4.15857,14015.146004199982
1270500,0.00017812323,0.18359612,33.54723727371916,2541,9909,476.73,0.9835837967693806,0.04825443,127050000,0.36859807,0.2825357,-4.1486306,14020.53393983841
1271000,0.0037020945,0.101528905,35.26346023510953,2542,9936,470.64,0.9856698289513588,0.047148697,127100000,0.48554793,0.25112435,-4.12992,14026.107918977737
1271500,-0.001182003,0.15672016,35.382184150804406,2543,9911,460.99,0.9658175557851791,0.038742386,127150000,0.40731993,0.7770266,-4.1331325,14031.725615978241
1272000,0.0024860955,0.19471695,33.66731620406781,2544,9860,472.23,0.9831971302628517,0.044707157,127200000,0.38891792,0.31745124,-4.141897,14037.168213129044
1272500,0.0034906426,0.18663687,37.55657989894664,2545,9905,477.18,0.973137091845274,0.05783125,127250000,0.48804188,0.3718051,-4.1358943,14042.772991895676
1273000,0.0015206166,0.32329276,34.08192369760505,2546,9881,471.71,0.9768706578761339,0.045924064,127300000,0.40350002,0.38994685,-4.1515026,14048.294840335846
1273500,-0.001072433,0.5360048,35.658012341782424,2547,9896,473.6,0.9636488631367683,0.04799079,127350000,0.32696995,0.6684452,-4.1824408,14053.9804251194
1274000,0.002611228,0.1187581,33.74938525882775,2548,9900,469.91,0.9852506332099438,0.043464042,127400000,0.51456195,0.27368978,-4.1814146,14059.26495885849
1274500,0.0010680417,0.13965161,34.676470414746184,2549,9878,468.0,0.9820590503513813,0.041812237,127450000,0.395412,0.3699758,-4.1743946,14064.914746761322
1275000,-0.0060901265,0.38092804,35.52824255662049,2550,9887,470.4,0.9340177327394485,0.04325301,127500000,0.34921196,1.5973411,-4.2056246,14070.477616786957
1275500,0.002478451,0.12684342,35.21120186007556,2551,9883,468.29,0.9837524592876434,0.04581971,127550000,0.39859,0.29270262,-4.2172837,14075.853525161743
1276000,0.0057153082,0.10717585,37.709987090146605,2552,9902,477.32,0.9850056869909167,0.057215497,127600000,0.42766616,0.20514654,-4.1673174,14081.433599948883
1276500,0.0013630213,0.12386515,34.271034673681385,2553,9929,462.64,0.9846627013757825,0.039166454,127650000,0.37832597,0.32644948,-4.1192417,14086.904961109161
1277000,-0.00071153115,0.090398625,33.36966656416032,2554,9918,471.13,0.9865703545510769,0.043369062,127700000,0.39314392,0.24962509,-4.1036415,14092.499104738235
1277500,-0.0033381642,0.24110802,34.9584474274472,2555,9821,465.86,0.9811274129897356,0.041020762,127750000,0.40901992,0.40768987,-4.0955143,14097.843220472336
1278000,-0.004040382,0.7072008,35.88953537308419,2556,9931,465.34,0.9618940949440002,0.040704567,127800000,0.32311806,0.870767,-4.1171303,14103.479681968689
1278500,0.003941773,0.07891491,35.22773159047488,2557,9947,470.34,0.9913220023736358,0.046452966,127850000,0.425742,0.14798006,-4.1023903,14108.904553890228
1279000,0.002079455,0.07812492,34.45222626025688,2558,9925,474.95,0.9888776512816548,0.04927153,127900000,0.45426005,0.17768855,-4.0444813,14114.215274810791
1279500,0.0023352923,0.09295154,35.92696674814164,2559,9942,473.58,0.9951988896355033,0.050426703,127950000,0.404956,0.07010376,-4.018394,14119.663930177689
1280000,0.0063866437,0.12609132,35.53028427790767,2560,9930,471.38,0.9901359137147665,0.04842322,128000000,0.40527996,0.16647625,-4.0013123,14125.218915462494
1280500,0.0035755078,0.10336072,35.617359931798276,2561,9931,472.92,0.9835151042789221,0.049072422,128050000,0.4013059,0.2732605,-3.9678636,14130.800456523895
1281000,0.00069584703,0.08793204,37.45872600837045,2562,9895,469.3,0.9851901540532708,0.050028425,128100000,0.32246003,0.26569003,-3.9393637,14136.413448095322
1281500,0.0020912904,0.15492788,35.91866940644366,2563,9910,454.23,0.9865659167990088,0.034960926,128150000,0.37645,0.31411326,-3.9428492,14141.977760791779
1282000,-0.009883597,9.939793,33.67282655251688,2564,9900,466.83,0.5453900992870331,0.0008455409,128200000,0.27729398,40.73689,-3.9975038,14147.59640288353
1282500,0.000601026,0.09450927,36.682801600309574,2565,9909,464.14,0.9876347118988633,0.044298027,128250000,0.428998,0.2418037,-4.020632,14153.202949285507
1283000,0.0012849097,0.11631033,36.004262788649754,2566,9903,478.52,0.9769032020121813,0.055037588,128300000,0.44115603,0.31684658,-3.968457,14158.770918130875
1283500,0.0022553683,0.13501638,36.38137116304674,2567,9917,469.1,0.9854849455878139,0.047803488,128350000,0.34982207,0.27089387,-3.9447684,14164.37238073349
1284000,-0.0022955297,0.81621605,32.079208774348956,2568,9856,466.51,0.9469039477407932,0.032851994,128400000,0.306138,1.4636025,-3.9576645,14169.82264661789
