serial_timesteps,clipfrac,ep_len_mean,n_updates,true_reward,total_timesteps,value_loss,ep_reward_mean,approxkl,policy_entropy,policy_loss,explained_variance,fps,time_elapsed
1747500,0.44776607,494.45,3495,0.073117584,174750000,0.17669527,39.23778338639269,0.38427925,-5.5983095,0.004355545,0.9692808352410793,8283,22864.592419862747
1748000,0.54832995,497.05,3496,0.074891575,174800000,0.13789165,39.03375690676419,0.25507635,-5.609565,0.0063432767,0.969820037484169,8625,22870.879832983017
1748500,0.29969394,491.35,3497,0.0730077,174850000,0.22336829,40.7798035108817,0.3307401,-5.607734,-0.0010326332,0.9676084592938423,8261,22877.16898202896
1749000,0.291372,491.22,3498,0.069368266,174900000,0.28771418,39.23024203895973,0.74878615,-5.617678,0.0026347688,0.9646496400237083,8226,22883.865631580353
1749500,0.36646008,494.31,3499,0.0757247,174950000,0.17934273,40.60402076819433,0.417136,-5.6188707,0.0019426021,0.964593943208456,8328,22890.48845410347
1750000,0.649196,498.29,3500,0.08089741,175000000,0.06918463,41.32812793584064,0.25520983,-5.570329,0.008977896,0.9720925725996494,8406,22897.062052726746
1750500,0.366512,492.16,3501,0.071815476,175050000,0.1285889,39.526963172855524,0.24687177,-5.512771,0.00635013,0.979290159419179,8104,22903.365243196487
1751000,0.37527797,494.64,3502,0.0735712,175100000,0.32849652,39.430737917586924,0.42078626,-5.5005465,0.001170047,0.9478982388973236,8506,22910.097700834274
1751500,0.35442802,494.18,3503,0.07285675,175150000,0.18793644,39.272350935351945,0.30141264,-5.5150886,0.0012853444,0.9713353756815195,8514,22916.270404815674
1752000,0.40099007,493.06,3504,0.0721661,175200000,0.16362052,39.59598461983691,0.23294991,-5.529378,0.0033163533,0.9770206790417433,8425,22922.67081141472
1752500,0.40864196,496.81,3505,0.075554594,175250000,0.084800914,39.283633704649766,0.21494107,-5.5198364,0.004624147,0.9813178367912769,8439,22929.058224916458
1753000,0.28401202,488.7,3506,0.064114764,175300000,0.36294806,37.92397976803968,0.26042995,-5.512028,-0.0011367879,0.9673075377941132,8487,22935.418751716614
1753500,0.463142,493.85,3507,0.072325364,175350000,0.27930328,39.311145817183345,0.23903118,-5.5333366,0.0010906598,0.9578596130013466,8356,22941.635774374008
1754000,0.40059403,492.01,3508,0.07075666,175400000,0.29654405,38.98502380532174,0.37056687,-5.556954,5.984098e-05,0.9584121741354465,8431,22947.82818365097
1754500,0.42801192,495.65,3509,0.074478865,175450000,0.27365947,39.384317985387405,0.16799034,-5.5838814,-0.0008741964,0.951994676142931,8435,22954.31013941765
1755000,0.467298,494.58,3510,0.07380695,175500000,0.18925789,39.452461566996064,0.18849143,-5.565994,0.0084973965,0.9659987203776836,8118,22960.731298685074
1755500,0.428168,494.93,3511,0.07694103,175550000,0.077868365,40.74255122487618,0.2846643,-5.504261,0.0052372455,0.9817183557897806,8769,22967.170780658722
1756000,0.41339803,497.01,3512,0.07353633,175600000,0.11903868,38.18564815654792,0.12635402,-5.4710107,0.00035793532,0.9756370261311531,8494,22973.358769655228
1756500,0.382632,493.08,3513,0.06844095,175650000,0.77080256,38.49068552953725,0.79909676,-5.499717,-0.0029892297,0.9177538007497787,8398,22979.80653810501
1757000,0.328392,492.75,3514,0.06831933,175700000,1.0582997,39.62287547950793,2.1083791,-5.562771,-0.006519461,0.9065272361040115,8604,22986.273524045944
1757500,0.512062,494.6,3515,0.07129504,175750000,0.36780277,38.33439495552644,0.1825808,-5.5857263,0.001697636,0.9517260119318962,8670,22992.40903520584
1758000,0.369692,491.99,3516,0.06371838,175800000,0.60367924,36.75236693802883,0.9551924,-5.580348,-0.0010473618,0.9447098672389984,8154,22998.649003505707
1758500,0.512112,492.12,3517,0.07265625,175850000,0.4744421,38.13941874704394,0.09501699,-5.59365,0.0015830976,0.9224587976932526,8227,23005.34709239006
1759000,0.45575806,497.22,3518,0.07579021,175900000,0.104538776,39.314293981101656,0.10351942,-5.5698614,0.0035765695,0.9734729789197445,8430,23011.718135118484
1759500,0.42370996,493.97,3519,0.07161023,175950000,0.18208864,38.65148586516454,0.4689001,-5.5603046,0.0013301912,0.9733295626938343,8189,23018.17332482338
1760000,0.38693008,497.18,3520,0.07709084,176000000,0.12933774,39.850900825310966,0.3511831,-5.565262,-0.00021889497,0.9714480191469193,8348,23024.858924627304
1760500,0.47164595,495.1,3521,0.071470834,176050000,0.20821697,38.22261690394907,0.62910724,-5.5732894,0.010613068,0.9676239266991615,8523,23031.13005924225
1761000,0.36034793,491.21,3522,0.07011456,176100000,0.2281035,39.303205373682374,0.16294466,-5.599627,0.0003002009,0.9715888351202011,8172,23037.571938753128
1761500,0.30703008,492.16,3523,0.07292667,176150000,0.3566784,41.08028643524975,1.8640518,-5.6435533,0.000703492,0.9583758376538754,8242,23044.294905662537
1762000,0.41084412,493.0,3524,0.07221024,176200000,0.20936169,39.55818779360126,0.3414689,-5.6724834,0.004012419,0.9684863574802876,7985,23050.811165094376
1762500,0.44107997,496.26,3525,0.0762613,176250000,0.1652461,39.89249291809974,0.49723583,-5.677192,0.0030829266,0.9642899371683598,8141,23057.613085508347
1763000,0.4088701,495.43,3526,0.0748022,176300000,0.17053822,39.62410554328471,0.42091942,-5.687453,0.0049799173,0.9647776260972023,8038,23064.246310710907
1763500,0.46481594,495.65,3527,0.074031,176350000,0.17614813,39.27136159742907,0.98547685,-5.6591797,0.009462341,0.968082845211029,8233,23071.05702805519
1764000,0.38302213,497.42,3528,0.07652121,176400000,0.16399841,39.53976770230154,0.35664624,-5.650406,0.0014587481,0.9566114731132984,8442,23077.327484607697
1764500,0.30506396,492.04,3529,0.070664786,176450000,0.30896023,39.26214295003094,0.31854084,-5.646083,-0.0025980368,0.960014458745718,8335,23083.63194513321
1765000,0.45268604,494.71,3530,0.07454683,176500000,0.23591387,39.788692183178746,0.24947144,-5.6697044,0.0048017413,0.9559897258877754,8189,23090.101605415344
1765500,0.35183403,494.42,3531,0.07056427,176550000,0.1404487,37.75463052610994,0.23757541,-5.6581254,0.0024289042,0.9794504065066576,8482,23096.837722301483
