n_updates,policy_loss,policy_entropy,total_timesteps,approxkl,clipfrac,explained_variance,true_reward,ep_reward_mean,fps,value_loss,time_elapsed,ep_len_mean,serial_timesteps
149,-0.009311844,2.5367904,7450000,0.006301744,0.076962,0.9692062940448523,0.08424065,3.72944651073165,8067,0.2145443,996.0651295185089,56.95,74500
150,-0.008912232,2.5232244,7500000,0.006571999,0.08142198,0.9672817327082157,0.08239189,4.309611639455906,8053,0.23424932,1002.7206087112427,59.82,75000
151,-0.008231209,2.5073497,7550000,0.0060963756,0.073394,0.9697388559579849,0.08517652,4.722701745984814,7811,0.22500311,1009.4872217178345,66.81,75500
152,-0.00884192,2.4806352,7600000,0.0066280346,0.081974,0.9649451412260532,0.084373444,4.230877731034343,7729,0.24148615,1016.1170318126678,55.74,76000
153,-0.009378108,2.4587893,7650000,0.006951356,0.087232016,0.9697913844138384,0.08490994,3.996793509615236,8182,0.22082333,1023.0638728141785,61.05,76500
154,-0.009108051,2.4382102,7700000,0.006291092,0.075644,0.9678773134946823,0.08321738,4.258736186352253,8008,0.23929714,1029.650059223175,63.69,77000
155,-0.008805389,2.4186356,7750000,0.00661299,0.08142199,0.9680824689567089,0.08531154,3.5775486241935868,7977,0.23180932,1036.4541463851929,57.49,77500
156,-0.009104011,2.3960268,7800000,0.0063808723,0.07751401,0.9693829137831926,0.08874497,3.5755200681783026,7802,0.22067627,1043.277322769165,52.86,78000
157,-0.008929128,2.3670652,7850000,0.00707653,0.088726,0.9690026771277189,0.08903115,4.755009219589701,7818,0.21179451,1050.0247037410736,58.75,78500
158,-0.008856627,2.341832,7900000,0.0068859267,0.085256,0.9678538627922535,0.08854898,4.68520513551688,8474,0.2136488,1056.9757018089294,62.06,79000
159,-0.008335068,2.3184938,7950000,0.0069968905,0.08740199,0.9671470150351524,0.08401242,4.685274804016953,8154,0.23443633,1063.395435333252,69.88,79500
160,-0.008686055,2.2983336,8000000,0.0067978906,0.084729984,0.9687792994081974,0.09277456,3.6021059636255086,8006,0.20691833,1070.0896401405334,57.56,80000
161,-0.009161693,2.2728944,8050000,0.0067783105,0.083882004,0.9696971271187067,0.08588596,3.877131670891249,8030,0.21493635,1076.8561387062073,59.61,80500
162,-0.008297244,2.2460878,8100000,0.006537688,0.07920801,0.9685264714062214,0.08766964,3.9116887313948245,8487,0.2286676,1083.5936188697815,60.72,81000
163,-0.009340344,2.2115257,8150000,0.0071090283,0.088865995,0.9697732105851173,0.088599294,4.484898699818878,7866,0.20238578,1090.0698597431183,60.59,81500
164,-0.00893749,2.1863437,8200000,0.006661095,0.08222801,0.971806675195694,0.091017626,5.110384033324663,7971,0.20954983,1096.9654977321625,63.21,82000
165,-0.009303896,2.1690307,8250000,0.0069647618,0.087981984,0.9708485323935747,0.09093697,4.248596809235023,8252,0.21550226,1103.8393123149872,55.22,82500
166,-0.009150787,2.1504788,8300000,0.0069135195,0.08637,0.9717703200876713,0.09249084,4.543171770122572,7602,0.19011219,1110.3989443778992,58.73,83000
167,-0.0086360555,2.1284666,8350000,0.0068306867,0.08513801,0.9683213569223881,0.0844444,3.53768750671632,8027,0.210227,1117.4831495285034,54.87,83500
168,-0.0093519045,2.1111453,8400000,0.007078749,0.08927202,0.9746631905436516,0.09148881,4.703193417229341,7941,0.17726722,1124.2363150119781,62.51,84000
169,-0.0082763955,2.09611,8450000,0.0068436023,0.085499994,0.9708296675235033,0.0887375,3.9871016104017327,7981,0.20722714,1130.9963655471802,64.4,84500
170,-0.009189073,2.071592,8500000,0.007093942,0.08877199,0.9717282131314278,0.09301277,5.009482845699022,7825,0.19950265,1137.847169160843,64.52,85000
171,-0.008382773,2.0454693,8550000,0.0065299547,0.079500005,0.9719273895025253,0.08989319,4.530584612348175,8026,0.19728959,1144.8124284744263,64.48,85500
172,-0.009280542,2.0258775,8600000,0.006867338,0.08571198,0.9733248390257359,0.09368985,3.806493568371279,7727,0.18143831,1151.5230445861816,54.3,86000
