serial_timesteps,explained_variance,approxkl,ep_reward_mean,policy_entropy,value_loss,true_reward,policy_loss,fps,total_timesteps,time_elapsed,ep_len_mean,n_updates,clipfrac
482000,0.8610475212335587,0.024106326,42.16861699397847,-0.26573053,0.40352723,0.081871994,-0.00623525,8501,48200000,6298.552433490753,499.2,964,0.11604598
482500,0.9566906355321407,0.01024225,41.80676825119221,-0.27017632,0.09078197,0.08221671,-0.004290868,8243,48250000,6304.83647274971,498.9,965,0.12590598
483000,0.9033175259828568,0.011241147,43.69435304824019,-0.27888206,0.14331482,0.085994914,-0.005279935,8415,48300000,6311.284346580505,498.21,966,0.10791403
483500,0.9467192962765694,0.013316993,41.92913564987159,-0.28865692,0.11148849,0.08222486,-0.00494209,8493,48350000,6317.74262046814,498.48,967,0.15411596
484000,0.9472274035215378,0.0104132,41.45832774614695,-0.29116383,0.12189095,0.08199265,-0.006805392,8226,48400000,6324.1467661857605,499.4,968,0.10764799
484500,0.9596562795341015,0.012663955,43.25841312985476,-0.3027705,0.09309097,0.084686786,-0.0038179278,7963,48450000,6330.662322282791,498.44,969,0.16248403
485000,0.9530395902693272,0.011801392,42.27711819478131,-0.30664966,0.10411174,0.08269255,-0.0045556515,8684,48500000,6337.542264699936,498.18,970,0.14914998
485500,0.9434738755226135,0.014062979,42.24856731756498,-0.2912766,0.07843508,0.08402067,-0.005511658,8408,48550000,6343.765176057816,499.42,971,0.17981197
486000,0.956670954823494,0.011545449,42.97581480363604,-0.29073295,0.06226809,0.08539856,-0.004685477,8435,48600000,6350.190541505814,499.48,972,0.15179998
486500,0.9690604079514742,0.00975215,42.6493074784097,-0.30994183,0.048609205,0.0845549,-0.006085701,8159,48650000,6356.51869726181,499.35,973,0.113849975
487000,0.9699896369129419,0.013161323,42.4274275550315,-0.3145193,0.032985035,0.08438141,-0.0056790086,8229,48700000,6363.0911865234375,499.48,974,0.177432
487500,0.9499851129949093,0.010521252,42.85511459770998,-0.31797722,0.06322943,0.08508503,-0.0047148867,8340,48750000,6369.749403953552,499.41,975,0.13170798
488000,0.9730161484330893,0.011836768,41.64820302127695,-0.33071706,0.04010873,0.0832964,-0.00612909,8613,48800000,6376.15864443779,500.0,976,0.15872198
488500,0.9694165196269751,0.012550899,42.381402654154336,-0.3452527,0.042185925,0.08432999,-0.003666272,7956,48850000,6382.50640463829,499.42,977,0.166962
489000,0.9511150158941746,0.009514471,42.59201038345957,-0.3383702,0.076713264,0.08467642,-0.005651183,8325,48900000,6389.334189414978,499.44,978,0.11512198
489500,0.9451008774340153,0.0130541595,42.883844026291136,-0.3362784,0.11618628,0.08400439,-0.0056937267,8626,48950000,6395.975299358368,498.21,979,0.15091601
490000,0.9261970445513725,0.008879381,42.94778011061707,-0.34082252,0.16848382,0.08353036,-0.0048824777,8422,49000000,6402.246333122253,497.67,980,0.10430401
490500,0.9746432434767485,0.011395381,42.657076515208246,-0.3441737,0.031471547,0.08531415,-0.0056695016,8441,49050000,6408.780624389648,500.0,981,0.10697801
