n_updates,clipfrac,true_reward,total_timesteps,value_loss,explained_variance,time_elapsed,approxkl,fps,ep_reward_mean,policy_entropy,policy_loss,serial_timesteps,ep_len_mean
2768,0.43302003,0.08636091,138400000,0.047400646,0.9588493630290031,18072.56751871109,0.060662955,7782,43.42598112055966,-5.826333,0.0027787664,1384000,499.51
2769,0.34020603,0.08660248,138450000,0.082838036,0.9487229362130165,18079.59517455101,0.07061598,8118,43.885548873085824,-5.8290257,-0.00056902727,1384500,498.87
2770,0.28291404,0.08263139,138500000,0.18665886,0.9458145759999752,18086.18019747734,0.42386392,8335,43.32500937928249,-5.8432765,-0.0041720066,1385000,497.31
2771,0.31949,0.08139586,138550000,0.051470995,0.9775805063545704,18092.59597849846,0.15563959,8022,40.996812585461356,-5.8599715,-0.00071871816,1385500,499.36
2772,0.322398,0.08348733,138600000,0.09509546,0.9592052549123764,18099.30049920082,0.26383325,8618,42.49482878588418,-5.8595057,0.0020577565,1386000,498.54
2773,0.284702,0.08531252,138650000,0.04485481,0.9577712379395962,18105.562901973724,0.03732118,8091,42.97435611031571,-5.8600407,-0.0028166089,1386500,499.23
2774,0.3376861,0.08353996,138700000,0.064701416,0.9645073711872101,18112.047835111618,0.09587677,8299,42.389345984941194,-5.8547034,-0.0017862755,1387000,498.93
2775,0.25786006,0.08454384,138750000,0.20142877,0.9141262993216515,18118.716581583023,0.81610376,8754,43.5833681719032,-5.876109,-0.0030924804,1387500,498.39
2776,0.29608804,0.085244544,138800000,0.04442147,0.9700892250984907,18125.0082654953,0.038174096,8151,43.14536171480418,-5.8897047,-0.0013869687,1388000,499.0
2777,0.37863803,0.08566655,138850000,0.036743596,0.9703440610319376,18131.67095541954,0.05711809,8291,43.115939004547165,-5.8742456,0.00080862717,1388500,499.37
2778,0.32166404,0.08401225,138900000,0.10878226,0.9329722821712494,18138.008274793625,0.048937265,8406,42.56258916495399,-5.8537755,-0.0026518195,1389000,498.88
2779,0.39943597,0.08163199,138950000,0.08256371,0.9658753797411919,18144.56462454796,0.050770015,8329,41.739475511680574,-5.8551526,-0.00049225905,1389500,498.38
2780,0.35166198,0.08432417,139000000,0.080906734,0.9566753804683685,18151.014444589615,0.050127987,8140,42.8171019141561,-5.856947,-0.0022842404,1390000,498.9
2781,0.35053393,0.082910374,139050000,0.05784037,0.9702610317617655,18157.735272169113,0.10953509,8141,41.6861332720405,-5.8508315,0.0005046965,1390500,499.43
2782,0.42623797,0.08293578,139100000,0.06233806,0.9655664637684822,18164.241005659103,0.07894114,8309,42.1017276320563,-5.8302946,0.0012536782,1391000,498.92
2783,0.30603004,0.085188985,139150000,0.0117403185,0.9863742617890239,18170.83350086212,0.031850938,8378,42.594494144071795,-5.8225646,-0.00026995328,1391500,500.0
2784,0.23255001,0.082936466,139200000,0.18332589,0.9315917566418648,18177.109556674957,0.3267258,8099,42.55943268201331,-5.8169427,-0.006453363,1392000,498.48
2785,0.269194,0.085649356,139250000,0.06537311,0.9670011438429356,18183.907781362534,0.05082097,8361,43.63602137906312,-5.8304687,-0.0040599494,1392500,498.65
2786,0.30409408,0.083330065,139300000,0.12239171,0.9546482339501381,18190.42845416069,0.0610401,8297,43.306358632749905,-5.8499646,-0.0002789778,1393000,496.49
2787,0.30135608,0.08500815,139350000,0.074195445,0.9523123875260353,18197.068916082382,0.040063053,8061,43.09055556151727,-5.8503594,-0.0015797232,1393500,498.88
2788,0.31184387,0.08316851,139400000,0.085224286,0.9547385759651661,18203.835708618164,0.05011931,8073,42.091543560706484,-5.8601184,-0.0005393466,1394000,498.98
2789,0.26700005,0.08350561,139450000,0.05679668,0.9711069650948048,18210.51506304741,0.039232276,8151,42.531336366233425,-5.864538,-0.003465776,1394500,498.34
2790,0.32794002,0.08253206,139500000,0.10365101,0.9544065855443478,18217.164905786514,0.08952343,8038,42.109939148058494,-5.863885,0.0019306046,1395000,498.47
2791,0.38967597,0.087095164,139550000,0.06479538,0.9486871361732483,18223.9654443264,0.065851375,8321,44.07257772218664,-5.8606935,0.0027444141,1395500,498.78
2792,0.31844994,0.08240007,139600000,0.1200302,0.9431343451142311,18230.508782863617,0.048206367,8303,41.77835259889827,-5.853879,-0.0009951546,1396000,498.88
2793,0.23346397,0.081797175,139650000,0.06933525,0.9713773503899574,18237.013476133347,0.05181938,8406,41.48724061747316,-5.8550625,-0.0033231347,1396500,498.79
2794,0.44497994,0.08392604,139700000,0.06862165,0.9649753160774708,18243.45023059845,0.07082315,8850,42.50071702581694,-5.8565135,0.0024879833,1397000,498.8
2795,0.35667205,0.083584756,139750000,0.07892014,0.9580279923975468,18249.595459222794,0.050909225,8372,42.62294098732913,-5.8553314,-0.0016343656,1397500,498.32
2796,0.32079598,0.0817293,139800000,0.066756465,0.973791416734457,18256.06074142456,0.04794954,8715,41.376580340187445,-5.8501806,-0.0028217349,1398000,498.93
2797,0.40699404,0.08374835,139850000,0.050490055,0.9647416993975639,18262.437970638275,0.072821334,8393,42.135806299255634,-5.850266,0.0002368648,1398500,499.5
2798,0.30341208,0.08611643,139900000,0.08214892,0.9408056885004044,18268.955641031265,0.04449326,8452,43.59982443644749,-5.8546376,-0.00094559265,1399000,498.66
2799,0.318024,0.08305053,139950000,0.10668048,0.9580331854522228,18275.467867136,0.056508813,8390,42.73584322406328,-5.8566394,-0.002011822,1399500,497.83
2800,0.31938398,0.08191585,140000000,0.08096481,0.9685037471354008,18281.802511692047,0.05136158,8450,41.49826536735174,-5.864001,-0.0021547333,1400000,498.99
2801,0.314746,0.08458127,140050000,0.041105065,0.973383380100131,18288.189077854156,0.09202392,8266,42.6309009635738,-5.877878,-0.0011086393,1400500,499.33
2802,0.39789408,0.084413424,140100000,0.04363092,0.9681333005428314,18294.73054075241,0.049912043,8487,42.20671873641164,-5.8831587,-0.000664623,1401000,500.0
2803,0.41946203,0.08443407,140150000,0.041055486,0.9701808765530586,18300.953626155853,0.058402006,8699,42.21703308938039,-5.886721,-8.962782e-05,1401500,500.0
2804,0.38733205,0.08402829,140200000,0.06694806,0.9682520031929016,18307.193338155746,0.054831192,8260,42.80687352114663,-5.8841386,-0.0013428159,1402000,498.46
2805,0.292376,0.086084776,140250000,0.0655096,0.9633461497724056,18313.766127824783,0.056170255,8613,44.05586120477294,-5.8803587,-0.0006584721,1402500,497.71
2806,0.33950803,0.08468681,140300000,0.033892307,0.975787241011858,18319.933547258377,0.06379547,8427,42.59786929368349,-5.882819,-0.00091704575,1403000,499.51
2807,0.279702,0.08565832,140350000,0.094021276,0.9447446390986443,18326.077926635742,0.039935097,8255,43.730816845553235,-5.8666267,-0.0007649487,1403500,498.31
2808,0.31794795,0.0837866,140400000,0.08811107,0.9604251049458981,18332.637412071228,0.09094028,8205,42.466913870622285,-5.8568068,-0.00035059455,1404000,498.81
2809,0.33322597,0.08123776,140450000,0.09896936,0.9666213653981686,18339.26463985443,0.09496202,7692,41.69635386607241,-5.8614974,0.00036216798,1404500,498.2
2810,0.306934,0.08107139,140500000,0.055216018,0.9757976680994034,18346.185863256454,0.048956785,8446,41.01343186444345,-5.850296,0.00031158217,1405000,499.0
2811,0.42858613,0.08384267,140550000,0.06194713,0.9593732915818691,18352.566761255264,0.054034386,8228,42.434534695237524,-5.837004,-7.0401143e-06,1405500,498.91
2812,0.21203798,0.080663264,140600000,0.3869678,0.9098996594548225,18359.196491003036,0.32892242,8406,42.7147214932822,-5.8357406,-0.00356543,1406000,496.56
2813,0.29754198,0.08573397,140650000,0.03370448,0.9680557101964951,18365.619569778442,0.048769757,7786,43.15667014759947,-5.8386173,-0.0009977535,1406500,499.27
2814,0.405394,0.08445804,140700000,0.05780419,0.963214386254549,18372.57613515854,0.15198155,8104,42.229018706777005,-5.8355513,-0.0016490382,1407000,500.0
