ep_len_mean,time_elapsed,true_reward,policy_loss,clipfrac,approxkl,policy_entropy,total_timesteps,value_loss,serial_timesteps,explained_variance,ep_reward_mean,fps,n_updates
49.8,659.6994898319244,-11.78,-0.005518592,0.027301993,0.0031663864,6.4434614,4950000,41634.785,49500,6.330013275146484e-05,-49.8,7877,99
51.45,666.620570898056,-11.9,-0.004638718,0.025522001,0.0030218596,6.456358,5000000,42037.45,50000,5.894899368286133e-05,-51.45,7896,100
52.32,673.4933974742889,-11.78,-0.005118783,0.02676,0.0032905552,6.4558544,5050000,41517.848,50500,5.179643630981445e-05,-52.32,7876,101
41.84,680.4670269489288,-12.5,-0.0052643614,0.027553998,0.00323525,6.456205,5100000,44228.434,51000,4.6312808990478516e-05,-41.84,7893,102
46.87,687.3324365615845,-12.18,-0.0051725833,0.029396003,0.0034004706,6.4672127,5150000,42944.105,51500,4.4405460357666016e-05,-46.87,8075,103
48.32,693.9004955291748,-11.94,-0.005330376,0.029380005,0.003396163,6.48303,5200000,42053.047,52000,4.470348358154297e-05,-48.32,8008,104
51.17,700.7521212100983,-11.94,-0.00577695,0.03237199,0.003663573,6.4858046,5250000,41939.285,52500,5.888938903808594e-05,-51.17,8086,105
50.08,707.5175065994263,-11.8,-0.0051810085,0.029073996,0.003446699,6.481992,5300000,41347.97,53000,4.6372413635253906e-05,-50.08,8196,106
48.63,714.0114316940308,-11.82,-0.0056194942,0.031378,0.0035967263,6.4773817,5350000,41365.1,53500,4.7266483306884766e-05,-48.63,7680,107
50.53,721.0326452255249,-11.64,-0.005014818,0.026269997,0.0031404123,6.482151,5400000,40625.113,54000,4.6133995056152344e-05,-50.53,8103,108
46.85,727.7192149162292,-11.96,-0.005509975,0.030844,0.0033039653,6.4973755,5450000,41787.023,54500,4.088878631591797e-05,-46.85,7684,109
46.77,734.6122879981995,-11.78,-0.0056384234,0.032330003,0.0036691823,6.510186,5500000,41037.695,55000,4.661083221435547e-05,-46.77,7995,110
42.72,741.431967496872,-11.86,-0.0055116666,0.028067997,0.0032259843,6.5173388,5550000,41294.98,55500,-5.841255187988281e-06,-42.72,7965,111
48.68,748.2029504776001,-12.2,-0.005349927,0.031277996,0.0034955302,6.522788,5600000,42517.504,56000,3.30805778503418e-05,-48.68,8047,112
46.59,754.881432056427,-11.68,-0.005305276,0.02832,0.0033566826,6.524519,5650000,40498.227,56500,3.314018249511719e-05,-46.59,8195,113
48.12,761.479335308075,-11.5,-0.0054516303,0.03195,0.0035436153,6.5214195,5700000,39764.633,57000,5.793571472167969e-05,-48.12,8034,114
50.9,768.2148749828339,-11.48,-0.005258015,0.029191997,0.0033125335,6.5243335,5750000,39638.05,57500,3.540515899658203e-05,-50.9,7991,115
56.4,774.9144475460052,-11.52,-0.005877607,0.031303998,0.0034682876,6.524066,5800000,39737.87,58000,-1.2636184692382812e-05,-56.4,8110,116
48.38,781.6632504463196,-11.74,-0.0055984543,0.03362,0.003657735,6.5246186,5850000,40517.59,58500,2.9385089874267578e-05,-48.38,8248,117
49.26,788.2845304012299,-11.74,-0.005115876,0.023797998,0.002994945,6.5242333,5900000,40457.15,59000,2.86102294921875e-05,-49.26,8121,118
47.7,794.790605545044,-11.86,-0.005601893,0.029249988,0.0033615448,6.5272017,5950000,40859.766,59500,2.8908252716064453e-05,-47.7,7958,119
48.18,801.5576910972595,-11.3,-0.005376361,0.029224,0.0034788067,6.5288024,6000000,38708.31,60000,3.415346145629883e-05,-48.18,8257,120
48.51,808.0029180049896,-11.56,-0.005224743,0.028454004,0.0033450944,6.5331573,6050000,39624.11,60500,3.713369369506836e-05,-48.51,8146,121
49.84,814.61971783638,-11.54,-0.005414925,0.028752001,0.0033794043,6.536159,6100000,39497.84,61000,4.214048385620117e-05,-49.84,7959,122
48.24,821.446426153183,-11.64,-0.0054607363,0.027675996,0.0031774505,6.5453324,6150000,39826.492,61500,2.9325485229492188e-05,-48.24,8002,123
51.98,828.19549036026,-11.6,-0.0055782753,0.029954001,0.0033444848,6.5684843,6200000,39614.42,62000,2.3305416107177734e-05,-51.98,8233,124
60.27,834.6664044857025,-11.38,-0.0056529045,0.030737998,0.0033498239,6.585519,6250000,38747.516,62500,3.0159950256347656e-05,-60.27,8397,125
59.64,841.2370615005493,-11.28,-0.0053543258,0.028557999,0.0033078045,6.5883856,6300000,38321.926,63000,3.349781036376953e-05,-59.64,7904,126
54.29,848.2207589149475,-11.12,-0.0055584447,0.029287994,0.0033838537,6.5857286,6350000,37677.176,63500,2.5033950805664062e-05,-54.29,8147,127
50.45,854.8978350162506,-11.54,-0.0051353793,0.024778,0.002947781,6.5858,6400000,39190.734,64000,2.5272369384765625e-05,-50.45,8213,128
56.81,861.5722410678864,-11.16,-0.0055641443,0.027541997,0.0032094298,6.5878453,6450000,37723.62,64500,2.3484230041503906e-05,-56.81,8020,129
62.4,868.2945075035095,-11.0,-0.0032622358,0.01871,0.002734359,6.5878077,6500000,37255.22,65000,5.924701690673828e-05,-62.4,8122,130
56.26,874.894049167633,-10.98,-0.00530886,0.025307996,0.0029360754,6.585622,6550000,36983.758,65500,1.8656253814697266e-05,-56.26,8170,131
50.72,881.6112031936646,-11.22,-0.005438973,0.027112,0.0031875113,6.5921955,6600000,37822.82,66000,1.4007091522216797e-05,-50.72,8073,132
53.59,888.2425961494446,-11.44,-0.0052234503,0.027579995,0.0032570884,6.6085253,6650000,38587.125,66500,1.633167266845703e-05,-53.59,7917,133
49.81,895.0052623748779,-11.34,-0.00547464,0.029695999,0.0033843357,6.62415,6700000,38172.363,67000,6.67572021484375e-06,-49.81,8171,134
47.1,901.4823670387268,-11.4,-0.0052685165,0.028178,0.003266222,6.637974,6750000,38347.26,67500,1.6927719116210938e-05,-47.1,8184,135
57.43,908.2472620010376,-11.52,-0.00564648,0.030540004,0.0033714739,6.648923,6800000,38747.984,68000,1.3768672943115234e-05,-57.43,8005,136
56.32,914.9193727970123,-11.04,-0.0052113044,0.028993998,0.0034291763,6.648043,6850000,36935.164,68500,1.2278556823730469e-05,-56.32,8089,137
54.78,921.4486343860626,-11.36,-0.0056592524,0.028069997,0.003200614,6.653785,6900000,38060.51,69000,1.4126300811767578e-05,-54.78,8028,138
60.83,928.1068961620331,-10.7,-0.0054176236,0.026886001,0.0032333462,6.666194,6950000,35593.63,69500,1.5974044799804688e-05,-60.83,7953,139
57.13,934.973219871521,-11.02,-0.005404127,0.028759997,0.0033198232,6.6661468,7000000,36717.445,70000,1.4603137969970703e-05,-57.13,8333,140
55.67,941.4024498462677,-11.1,-0.0032943515,0.021438003,0.0028438955,6.6699767,7050000,37142.246,70500,1.519918441772461e-05,-55.67,7885,141
51.32,948.0985584259033,-10.9,-0.0052620675,0.026374001,0.0030768635,6.673981,7100000,36216.28,71000,4.887580871582031e-05,-51.32,7835,142
58.95,954.8961663246155,-10.86,-0.0054828334,0.030263998,0.0034570608,6.6771235,7150000,36023.69,71500,2.110004425048828e-05,-58.95,7827,143
64.07,961.596951007843,-11.26,-0.0056262617,0.029674001,0.0033869732,6.6815867,7200000,37435.684,72000,1.615285873413086e-05,-64.07,8039,144
62.56,968.2359325885773,-10.94,-0.005403286,0.028557999,0.0033250316,6.676581,7250000,36225.934,72500,2.4080276489257812e-05,-62.56,7767,145
62.37,975.0975277423859,-10.84,-0.0057179444,0.029661998,0.0033949655,6.6756477,7300000,35820.73,73000,2.3365020751953125e-05,-62.37,7963,146
58.96,982.0038714408875,-10.66,-0.0056287576,0.030917995,0.0034035074,6.683308,7350000,35121.266,73500,3.2842159271240234e-05,-58.96,7926,147
58.89,988.8233470916748,-10.68,-0.005948133,0.029706003,0.0033165235,6.692055,7400000,35151.684,74000,2.944469451904297e-05,-58.89,7699,148
61.24,995.8704159259796,-10.68,-0.005409866,0.028336,0.0033028892,6.7014117,7450000,35108.727,74500,2.6404857635498047e-05,-61.24,8153,149
56.98,1002.4033057689667,-10.66,-0.0053769136,0.026465997,0.0031463373,6.7124314,7500000,34994.71,75000,2.6464462280273438e-05,-56.98,8186,150
64.94,1008.8308277130127,-10.32,-0.005312917,0.028243994,0.0031576646,6.7250037,7550000,33725.16,75500,2.4020671844482422e-05,-64.94,8061,151
72.01,1015.625951051712,-10.18,-0.00525747,0.02648,0.0031173995,6.730739,7600000,33178.832,76000,4.202127456665039e-05,-72.01,8232,152
67.04,1022.3133103847504,-10.42,-0.005530289,0.026759997,0.0031920085,6.730377,7650000,34002.24,76500,3.0994415283203125e-05,-67.04,8189,153
63.87,1029.0260229110718,-10.18,-0.006084711,0.031771995,0.003616758,6.732213,7700000,33101.33,77000,9.298324584960938e-06,-63.87,7730,154
61.25,1036.113137960434,-10.46,-0.005128131,0.024330003,0.0030115014,6.7349687,7750000,34066.465,77500,2.4378299713134766e-05,-61.25,8064,155
69.2,1042.7418439388275,-9.9,-0.006180352,0.033049993,0.003575799,6.740664,7800000,32015.38,78000,2.9802322387695312e-05,-69.2,8167,156
67.25,1049.2356882095337,-10.0,-0.0054810042,0.028752001,0.0032903187,6.7570915,7850000,32333.537,78500,2.110004425048828e-05,-67.25,7880,157
69.42,1056.0389363765717,-10.46,-0.005842129,0.029703999,0.0033401866,6.771494,7900000,33945.996,79000,3.039836883544922e-05,-69.42,8033,158
66.34,1062.7669456005096,-10.6,-0.0058730314,0.03046,0.0034851488,6.7761607,7950000,34407.754,79500,2.1755695343017578e-05,-66.34,8346,159
64.89,1069.31458735466,-9.98,-0.0053251665,0.029801996,0.0033424622,6.7855973,8000000,32149.25,80000,2.4616718292236328e-05,-64.89,7902,160
73.83,1076.2183811664581,-9.92,-0.0027118088,0.01563,0.0025230064,6.7901177,8050000,32071.363,80500,2.2709369659423828e-05,-73.83,8042,161
59.19,1083.0162291526794,-10.02,-0.006103583,0.032772,0.0034237069,6.800938,8100000,32239.033,81000,1.8835067749023438e-05,-59.19,8073,162
67.56,1089.6763610839844,-10.24,-0.0056186873,0.026967995,0.0030783524,6.8073688,8150000,32984.527,81500,1.5139579772949219e-05,-67.56,7763,163
74.15,1096.5322108268738,-10.24,-0.005750618,0.029727997,0.0033317918,6.813043,8200000,32947.04,82000,1.043081283569336e-05,-74.15,8199,164
62.58,1102.8859033584595,-9.94,-0.005891716,0.030783996,0.003502027,6.8211384,8250000,31849.03,82500,1.704692840576172e-05,-62.58,8110,165
69.86,1109.5780944824219,-9.92,-0.00556925,0.026447996,0.0031152868,6.823693,8300000,31744.35,83000,1.9669532775878906e-05,-69.86,7988,166
50.85,1116.277949810028,-10.48,-0.0061422265,0.032346003,0.0035053876,6.833664,8350000,33697.867,83500,1.3947486877441406e-05,-50.85,8074,167
62.63,1122.92915725708,-10.44,-0.0064746146,0.035090007,0.0035570455,6.854244,8400000,33525.74,84000,1.5616416931152344e-05,-62.63,8155,168
63.87,1129.692216873169,-10.46,-0.005663604,0.031088,0.003455584,6.866966,8450000,33562.8,84500,1.1682510375976562e-05,-63.87,7952,169
80.54,1136.4735960960388,-9.58,-0.0059128357,0.032932,0.0035682204,6.8703265,8500000,30410.125,85000,2.3663043975830078e-05,-80.54,8166,170
74.93,1142.977688074112,-9.92,-0.0055446755,0.028318005,0.003263189,6.869221,8550000,31589.8,85500,1.5854835510253906e-05,-74.93,7891,171
69.19,1149.7619564533234,-9.4,-0.0057796007,0.027668005,0.0031489616,6.8724437,8600000,29724.738,86000,2.2232532501220703e-05,-69.19,8128,172
87.42,1156.1316685676575,-9.46,-0.0033126972,0.020494001,0.0027784556,6.884778,8650000,30083.123,86500,1.4841556549072266e-05,-87.42,8095,173
73.98,1162.9354972839355,-10.28,-0.005431199,0.030908,0.003415429,6.8927283,8700000,32793.055,87000,8.404254913330078e-06,-73.98,7854,174
67.32,1169.8247497081757,-9.54,-0.0058312984,0.030688003,0.003302747,6.9063044,8750000,30157.078,87500,8.463859558105469e-06,-67.32,8068,175
69.37,1176.6277072429657,-9.76,-0.0031090654,0.021707997,0.0029032805,6.915437,8800000,31082.37,88000,1.0967254638671875e-05,-69.37,7957,176
65.78,1183.41867685318,-9.82,-0.0054964633,0.029086001,0.0032892278,6.9090767,8850000,31109.283,88500,1.1980533599853516e-05,-65.78,8093,177
67.39,1190.08127617836,-9.66,-0.005099495,0.029348006,0.0033477098,6.913371,8900000,30522.627,89000,9.357929229736328e-06,-67.39,8106,178
67.21,1196.7695457935333,-10.3,-0.0058897156,0.031960003,0.0034328867,6.930729,8950000,32761.67,89500,7.033348083496094e-06,-67.21,7904,179
69.68,1203.5697329044342,-9.78,-0.005788218,0.032902,0.003627116,6.9407253,9000000,30913.336,90000,6.318092346191406e-06,-69.68,7949,180
71.83,1210.3283622264862,-9.38,-0.0055525317,0.028879998,0.0033284095,6.937916,9050000,29490.24,90500,6.794929504394531e-06,-71.83,7631,181
